"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20244","U","관광특구","3001496","강남 마이스 관광특구","105501","51291","54210","8292","21082","28422","23967","14276","9461","5632","20051","25914","26401","22128","5374","15171","15776","16688","17391","17045","12783","10645"
"20244","U","관광특구","3001495","잠실 관광특구","4181494","1996679","2184817","430402","945691","1036795","708170","500745","559694","731416","748427","631261","667544","910719","492128","569052","583764","599398","594045","615489","641563","578187"
"20244","U","관광특구","3001494","종로?청계 관광특구","8476380","4475812","4000568","326892","1520888","1626760","1597051","1473359","1931431","924248","1641816","1746155","1774637","1699782","689744","1311887","1320980","1313344","1342843","1359653","1043305","784369"
"20244","U","관광특구","3001493","동대문패션타운 관광특구","3554720","1649372","1905348","194252","694513","811563","699979","535342","619071","628333","694103","557490","565050","686476","423268","550339","553138","557934","562536","535496","403003","392274"
"20244","U","관광특구","3001492","명동 남대문 북창동 다동 무교동 관광특구","7581802","3596807","3984995","367731","1318922","1802898","1704350","1222482","1165420","400485","1559160","1871525","1877577","1489640","383415","1198319","1208639","1213693","1223545","1227561","843398","666646"
"20244","U","관광특구","3001491","이태원 관광특구","2134393","1106579","1027814","124936","534830","537116","375000","258649","303861","478514","361216","287471","310226","418574","278392","267693","274041","287878","284659","312406","371342","336374"
"20244","R","전통시장","3130327","평화시장(남평화시장, 제일평화시장, 신평화패션타운)","60185","27971","32215","2473","8866","13857","13343","10149","11497","13727","11875","9006","8452","9332","7792","9815","9828","9770","9856","8807","5637","6473"
"20244","R","전통시장","3130326","고덕 골목형상점가","102589","46433","56156","19150","8472","18069","20815","12651","23433","23197","22702","12252","12514","18951","12972","14254","14362","14674","14496","14571","15168","15064"
"20244","R","전통시장","3130325","명일전통시장","329425","146100","183326","58337","34962","41762","58716","47225","88425","67171","64695","44101","44531","67608","41321","45984","45910","46806","45692","47336","47948","49750"
"20244","R","전통시장","3130324","길동복조리시장","499142","219227","279916","72235","54204","66238","83204","83002","140257","153150","103427","53096","49987","72195","67287","71029","71277","71665","70400","70850","71777","72143"
"20244","R","전통시장","3130323","둔촌역전통시장","281328","138870","142458","36235","34568","34030","46077","51272","79147","78222","56392","31539","32476","46821","35877","40093","39764","39858","39389","40132","41063","41031"
"20244","R","전통시장","3130322","고분다리전통시장","154049","76167","77882","19229","17284","21090","21653","27073","47721","44962","30982","16311","16555","24522","20719","21358","21476","21537","21499","21436","22814","23929"
"20244","R","전통시장","3130321","장신구 특화거리 상점가","211285","98565","112720","42459","22194","28319","36692","31748","49874","44787","45943","31244","29158","36311","23842","31214","30728","30794","30830","30702","28076","28943"
"20244","R","전통시장","3130320","암사종합시장","198330","94372","103958","17889","21617","31154","34682","36026","56962","37336","36478","27049","29992","42830","24646","27908","27647","27714","27684","28236","30281","28861"
"20244","R","전통시장","3130319","성내전통시장","663260","319996","343265","106338","75005","107583","100709","101138","172487","191360","131742","68042","72580","111648","87888","90429","89848","91320","89915","89644","103618","108486"
"20244","R","전통시장","3130318","로데오거리상점가","505079","237207","267872","37638","106262","100052","78790","76080","106255","81942","88115","74713","82998","113230","64083","66049","67520","69608","68339","73671","81974","77918"
"20244","R","전통시장","3130317","마천중앙시장","636978","306194","330784","95472","58096","79466","86980","108374","208590","172260","125412","73342","74291","108232","83439","88545","88878","89316","88235","89096","94868","98039"
"20244","R","전통시장","3130316","마천시장","81997","39855","42142","12329","7845","10337","11108","14093","26284","23583","16134","9047","8892","13216","11125","11491","11555","11646","11500","11553","12063","12187"
