상호명,지점명,TRDAR_CD,TRDAR_CD_N,지번주소,도로명주소,층정보,경도,위도,지하철_거리(m),지하철_역명,지하철_호선,버스_거리(m),버스정류장명
가비수구.거니는집,,3130284,관악종합시장(신원시장),서울특별시 관악구 신림동 1602-1,서울특별시 관악구 신원로 23,,126.928058757351,37.4815694015989,323,신림,2,156,서원동승리교앞
카페인중독잠실,방이점,3120233,몽촌토성역,서울특별시 송파구 방이동 48-2,서울특별시 송파구 위례성대로2길 11,1,127.113453056366,37.5159822871706,200,몽촌토성,8,98,몽촌토성역.한성백제역
제이든커피로스터스JDCR,,3111080,굽은다리역 3번,서울특별시 강동구 명일동 338-17,서울특별시 강동구 상암로51길 31,1,127.146069550707,37.5479770216037,400,굽은다리,5,235,굽은다리사거리
커피가게동경연희점,,3130174,연희사러가,서울특별시 서대문구 연희동 131-1,서울특별시 서대문구 연희맛로 23,1,126.929663080986,37.5671475587255,1272,홍대입구,2,356,연희104고지앞.구성산회관(중)
컴포즈커피강남,시장점,3130302,강남시장(강남구 강남시장),서울특별시 강남구 신사동 510-11,서울특별시 강남구 압구정로2길 46,1,127.020677958375,37.5187650050546,262,신사,3,188,신사역6번출구
컴포즈커피은평서북,병원점,3110450,시립서북병원,서울특별시 은평구 구산동 190-8,서울특별시 은평구 갈현로11길 12,1,126.909230864566,37.6054618442717,947,응암,6,127,시립서북병원세현교회앞
더치앤빈흑리단길점,,3110842,흑리단길,서울특별시 동작구 흑석동 43-5,서울특별시 동작구 서달로14길 40,1,126.96498404004,37.5073098626657,1403,동작,4,25,흑석역.명수대현대아파트
세운나다방,,3130033,대림상가(청계상가),서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,4,126.995427058491,37.5675198109677,258,을지로4가,2,116,을지로4가
브라운컬렉션,,3130033,대림상가(청계상가),서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,3,126.995427058491,37.5675198109677,258,을지로4가,2,116,을지로4가
서울바나나커피,을지로4가점,3130033,대림상가(청계상가),서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,3,126.995427058491,37.5675198109677,258,을지로4가,2,116,을지로4가
챔프커피,,3130033,대림상가(청계상가),서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,3,126.995427058491,37.5675198109677,258,을지로4가,2,116,을지로4가
이프프커피,,3130033,대림상가(청계상가),서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,3,126.995427058491,37.5675198109677,258,을지로4가,2,116,을지로4가
헤일리스커피,을지로점,3130033,대림상가(청계상가),서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,3,126.995427058491,37.5675198109677,258,을지로4가,2,116,을지로4가
리오네커피,,3130033,대림상가(청계상가),서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,3,126.995427058491,37.5675198109677,258,을지로4가,2,116,을지로4가
해피클럽,,3130033,대림상가(청계상가),서울특별시 중구 산림동 207-2,서울특별시 중구 을지로 157,3,126.995427058491,37.5675198109677,258,을지로4가,2,116,을지로4가
