iter	Passed	Remaining
0	3	331
1	5	318
2	9	338
3	12	319
4	15	324
5	18	319
6	21	309
7	24	313
8	27	311
9	30	306
10	31	287
11	34	284
12	37	281
13	42	288
14	85	543
15	90	529
16	93	512
17	107	547
18	110	526
19	112	508
20	116	493
21	119	478
22	125	473
23	128	462
24	132	449
25	136	441
26	139	430
27	142	418
28	145	407
29	149	397
30	153	390
31	157	383
32	161	375
33	165	369
34	170	364
35	173	356
36	175	346
37	178	338
38	181	330
39	184	322
40	187	315
41	189	307
42	193	301
43	196	294
44	199	287
45	202	281
46	204	274
47	207	267
48	210	261
49	212	255
50	215	249
51	218	243
52	221	238
53	223	232
54	226	226
55	229	221
56	232	216
57	236	212
58	239	207
59	242	201
60	244	196
61	248	192
62	251	187
63	254	182
64	256	177
65	259	173
66	262	168
67	266	164
68	268	159
69	271	154
70	273	150
71	276	145
72	279	141
73	282	137
74	285	133
75	288	128
76	290	124
77	293	120
78	297	116
79	299	112
80	302	108
81	304	104
82	307	99
83	311	96
84	314	92
85	316	88
86	319	84
87	322	80
88	326	76
89	328	73
90	331	69
91	334	65
92	336	61
93	339	57
94	343	54
95	346	50
96	348	46
97	351	43
98	354	39
99	356	35
100	360	32
101	363	28
102	366	24
103	369	21
104	372	17
105	375	14
106	378	10
107	381	7
108	384	3
109	387	0
