상가업소번호,상호명,도로명주소,위도,경도,검색어,카카오맵ID
MA010120220800672495,가비수구.거니는집,서울특별시 관악구 신원로 23,37.4815694015989,126.928058757351,서울특별시 관악구 신원로 23 가비수,236751227
MA0101202406A0465702,카페인중독잠실,서울특별시 송파구 위례성대로2길 11,37.5159822871706,127.113453056366,서울특별시 송파구 위례성대로2길 11 카페인중독잠실,
MA0106202410A0428092,제이든커피로스터스JDCR,서울특별시 강동구 상암로51길 31,37.5479770216037,127.146069550707,서울특별시 강동구 상암로51길 31 제이든커피로스터스JDCR,
MA010120220803375113,커피가게동경연희점,서울특별시 서대문구 연희맛로 23,37.5671475587255,126.929663080986,서울특별시 서대문구 연희맛로 23 커피가게동경연희점,1088457640
MA010120220813491137,컴포즈커피강남,서울특별시 강남구 압구정로2길 46,37.5187650050546,127.020677958375,서울특별시 강남구 압구정로2길 46 컴포즈커피강남,
MA0101202310A0083403,컴포즈커피은평서북,서울특별시 은평구 갈현로11길 12,37.6054618442717,126.909230864566,서울특별시 은평구 갈현로11길 12 컴포즈커피은평서북,
MA010120220814115583,더치앤빈흑리단길점,서울특별시 동작구 서달로14길 40,37.5073098626657,126.96498404004,서울특별시 동작구 서달로14길 40 더치앤빈흑리단길점,1334924338
MA010120220807123745,세운나다방,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 세운나다방,9129225
MA010120220813241715,브라운컬렉션,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 브라운컬렉션,591403953
MA0101202303A0114093,서울바나나커피,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 서울바나나커피,622859578
MA010120220803699812,챔프커피,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 챔프커피,1982412866
MA0101202307A0001081,이프프커피,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 이프프커피,215574132
MA0101202305A0155336,헤일리스커피,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 헤일리스커피,566367427
MA0101202406A0288695,리오네커피,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 리오네커피,226338817
MA010120220807113501,해피클럽,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 해피클럽,
MA0101202409A0004940,톤즈,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 톤즈,1975778921
MA010120220806525068,빈티지라이언,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 빈티지라이언,1778482102
MA010120220810045634,호랑이,서울특별시 중구 을지로 157,37.5675198109677,126.995427058491,서울특별시 중구 을지로 157 호랑이,1709558766
MA0101202209A0021984,아르팡,서울특별시 용산구 효창원로 270,37.5513324117351,126.963695983216,서울특별시 용산구 효창원로 270 아르팡,1651064187
MA0106202303A1044347,멀티커피,서울특별시 성동구 마조로 17,37.5595571643077,127.040473015086,서울특별시 성동구 마조로 17 멀티커피,401618498
MA010120220805143379,티아트커피로스터스,서울특별시 성동구 마조로 17,37.5595571643077,127.040473015086,서울특별시 성동구 마조로 17 티아트커피로스터스,1659384473
MA010120220802972784,카페쏙,서울특별시 성북구 장월로1길 66,37.6058216854875,127.044609030077,서울특별시 성북구 장월로1길 66 카페쏙,1311701584
MA010120220804964341,단조,서울특별시 중랑구 중랑천로10길 68,37.5923443233976,127.07680336661,서울특별시 중랑구 중랑천로10길 68 단조,1721808079
MA010120220812595260,이디야커피,서울특별시 도봉구 방학로 171,37.6621640603055,127.033252539557,서울특별시 도봉구 방학로 171 이디야커피,15775630
MA010120220807929010,카페숲,서울특별시 동대문구 고산자로36길 3,37.5790371332837,127.039147690267,서울특별시 동대문구 고산자로36길 3 카페숲,247334325
MA0106202406A2465633,스타벅스,서울특별시 동대문구 고산자로36길 3,37.5790371332837,127.039147690267,서울특별시 동대문구 고산자로36길 3 스타벅스,609996995
MA010120220800600549,이디아,서울특별시 서대문구 신촌로 87-20,37.5565106454592,126.936463576904,서울특별시 서대문구 신촌로 87-20 이디아,24757193
MA0101202409A0021931,에나꼬레,서울특별시 서대문구 가재울로6길 53-87,37.5770093670864,126.923110501294,서울특별시 서대문구 가재울로6길 53-87 에나꼬레,
MA010120220810199262,태무든TAEMOODEN,서울특별시 서대문구 세검정로1길 105,37.5950149200007,126.946078325775,서울특별시 서대문구 세검정로1길 105 태무든TAEMOODEN,
MA0101202311A0083488,두번째디저트,서울특별시 동작구 사당로28길 13,37.4834276222441,126.979727510488,서울특별시 동작구 사당로28길 13 두번째디저트,
MA0106202406A2465517,스타벅스,서울특별시 서대문구 연세로 10-1,37.5564839669554,126.937120014026,서울특별시 서대문구 연세로 10-1 스타벅스,10538396
MA010120220803658119,이디야사가정점,서울특별시 중랑구 면목로 325,37.5811370338552,127.088181000117,서울특별시 중랑구 면목로 325 이디야사가정점,
MA010120220810433268,로스토,서울특별시 종로구 숭인동길 68,37.577951370222,127.022007520491,서울특별시 종로구 숭인동길 68 로스토,1639027676
MA0101202311A0016316,청림무역,서울특별시 종로구 숭인동길 68,37.577951370222,127.022007520491,서울특별시 종로구 숭인동길 68 청림무역,
MA010120220812360152,9카페,서울특별시 동대문구 장한로 3,37.5621323047926,127.064571166229,서울특별시 동대문구 장한로 3 9카페,17884754
MA010120220803705421,쥬씨삼호가든,서울특별시 서초구 고무래로10길 5,37.5021067382711,127.010902145789,서울특별시 서초구 고무래로10길 5 쥬씨삼호가든,
MA0101202305A0094771,몹시,서울특별시 종로구 자하문로 36,37.5792745036982,126.971754251522,서울특별시 종로구 자하문로 36 몹시,1040902057
MA010120220800795375,마룬여유,서울특별시 서대문구 연희로26가길 14,37.5736386573439,126.936607509442,서울특별시 서대문구 연희로26가길 14 마룬여유,
MA0101202212A0069021,탐앤탐스홍제역점,서울특별시 서대문구 통일로 484,37.5915986934433,126.942955695997,서울특별시 서대문구 통일로 484 탐앤탐스홍제역점,76859324
MA010120220810013229,홍제동냇길,서울특별시 서대문구 통일로 484,37.5915986934433,126.942955695997,서울특별시 서대문구 통일로 484 홍제동냇길,2124022564
MA010120220804670501,아케디뜨,서울특별시 용산구 신흥로 95-15,37.5452462908367,126.985017889339,서울특별시 용산구 신흥로 95-15 아케디뜨,
MA0101202210A0069909,잇푸쿠,서울특별시 마포구 성암로3길 34,37.5681349817406,126.910883512791,서울특별시 마포구 성암로3길 34 잇푸쿠,
MA0101202411A0148010,메가엠지씨커피북한산,서울특별시 도봉구 도봉로136가길 4,37.6588458345437,127.041501492526,서울특별시 도봉구 도봉로136가길 4 메가엠지씨커피북한산,
MA010120220811453534,까페캠퍼,서울특별시 송파구 백제고분로15길 16,37.5067707632389,127.085186787057,서울특별시 송파구 백제고분로15길 16 까페캠퍼,652134369
MA010120220806570363,설빙,서울특별시 관악구 보라매로3길 29,37.491181303006,126.925075633006,서울특별시 관악구 보라매로3길 29 설빙,26644160
MA0101202308A0030688,매머드익스프레스보라매대교점,서울특별시 관악구 보라매로3길 29,37.491181303006,126.925075633006,서울특별시 관악구 보라매로3길 29 매머드익스프레스보라매대교점,
MA0101202303A0088204,커피앤김밥,서울특별시 관악구 보라매로3길 29,37.491181303006,126.925075633006,서울특별시 관악구 보라매로3길 29 커피앤김밥,
MA0101202212A0063472,원두볶는사람들,서울특별시 강동구 성내로9길 45,37.5307475382295,127.12455142814,서울특별시 강동구 성내로9길 45 원두볶는사람들,18590263
MA0101202406A0348730,이디야커피창동학원가점,서울특별시 도봉구 해등로16길 61,37.6551421306195,127.043357952721,서울특별시 도봉구 해등로16길 61 이디야커피창동학원가점,18300341
MA0106202406A2465527,스타벅스,서울특별시 성북구 고려대로24길 51,37.5839232718027,127.029707997016,서울특별시 성북구 고려대로24길 51 스타벅스,7961278
MA010120220800594420,앨리스,서울특별시 서대문구 이화여대길 52-31,37.559452057211,126.944734493466,서울특별시 서대문구 이화여대길 52-31 앨리스,17830839
MA010120220814090613,아키비스트,서울특별시 종로구 효자로13길 52,37.5822209714781,126.972681492123,서울특별시 종로구 효자로13길 52 아키비스트,1429224581
MA010120220812595540,멜로드,서울특별시 동작구 상도로49길 7,37.4992232780056,126.951993954439,서울특별시 동작구 상도로49길 7 멜로드,1443480854
MA0101202307A0029658,요거요거요거트,서울특별시 강서구 공항대로53가길 54,37.5556238147849,126.859144142145,서울특별시 강서구 공항대로53가길 54 요거요거요거트,
MA010120220807372753,바스크,서울특별시 성북구 삼양로9길 10-2,37.6086030104203,127.022548841789,서울특별시 성북구 삼양로9길 10-2 바스크,956088782
MA010120220804283432,커피인페르노,서울특별시 송파구 거마로9길 24,37.4972086106228,127.143584508145,서울특별시 송파구 거마로9길 24 커피인페르노,
MA010120220811802533,커피볶는김여사,서울특별시 서대문구 세검정로1길 107,37.5950870044681,126.946089597096,서울특별시 서대문구 세검정로1길 107 커피볶는김여사,24074017
MA010120220813194426,구루구루,서울특별시 동작구 서달로14길 42,37.5072828659929,126.965097153251,서울특별시 동작구 서달로14길 42 구루구루,616273201
MA0101202308A0087121,미쉐,서울특별시 마포구 홍익로3길 35,37.5528166816497,126.921675477842,서울특별시 마포구 홍익로3길 35 미쉐,1265792725
MA010120220814138033,디자인정인플러스,서울특별시 성북구 성북로15길 32,37.5927026758791,126.999252683636,서울특별시 성북구 성북로15길 32 디자인정인플러스,
MA0101202306A0098791,봉명동내커피,서울특별시 노원구 공릉로41나길 31,37.6259590974341,127.078525814571,서울특별시 노원구 공릉로41나길 31 봉명동내커피,1673935835
MA0101202310A0014635,이디야팀이공사점,서울특별시 중구 마장로 30,37.5677173808739,127.0131981779,서울특별시 중구 마장로 30 이디야팀이공사점,
MA010120220804369500,메가엠지씨커피창동역점,서울특별시 도봉구 마들로11가길 13,37.6529054005183,127.049204020521,서울특별시 도봉구 마들로11가길 13 메가엠지씨커피창동역점,134004806
MA010120220813450022,공활,서울특별시 강서구 개화동로27나길 43,37.5653823012426,126.808440065993,서울특별시 강서구 개화동로27나길 43 공활,396520957
MA010120220800992852,어깨동무,서울특별시 금천구 금하로24길 46,37.4488760896794,126.908358079226,서울특별시 금천구 금하로24길 46 어깨동무,287233316
MA010120220812381987,커피온리,서울특별시 서초구 서초대로 302,37.4937179581437,127.014689111269,서울특별시 서초구 서초대로 302 커피온리,1286637872
MA0101202406A0006355,메가엠지씨커피남부터미널역점,서울특별시 서초구 효령로 310,37.4851578971696,127.018192519742,서울특별시 서초구 효령로 310 메가엠지씨커피남부터미널역점,
MA010120220803746048,카페다인,서울특별시 성동구 왕십리로24길 19,37.5642803655338,127.034216344927,서울특별시 성동구 왕십리로24길 19 카페다인,608623066
MA010120220805528341,남산#52LAB,서울특별시 중구 퇴계로14길 19,37.559689126884,126.983781338379,서울특별시 중구 퇴계로14길 19 남산#52LAB,
MA010120220812223813,베비아모,서울특별시 노원구 동일로184길 37,37.6244202326764,127.075737561419,서울특별시 노원구 동일로184길 37 베비아모,
MA010120220813622947,오루베,서울특별시 성동구 왕십리로31길 8,37.5640657959461,127.027866490253,서울특별시 성동구 왕십리로31길 8 오루베,322824382
MA010120220812249653,프리커피,서울특별시 관악구 낙성대역길 88,37.4744046121276,126.963473208204,서울특별시 관악구 낙성대역길 88 프리커피,1768420598
MA0101202210A0089507,노브.,서울특별시 도봉구 도당로27길 38,37.6690811232512,127.041087812415,서울특별시 도봉구 도당로27길 38 노브.,
MA010120220810325777,히든아일렛,서울특별시 중구 세종대로14길 17-5,37.5630848930081,126.97770257261,서울특별시 중구 세종대로14길 17-5 히든아일렛,576333634
MA010120220812816297,피카워크샵,서울특별시 성동구 상원10길 23,37.5502821105106,127.050324717774,서울특별시 성동구 상원10길 23 피카워크샵,534239541
MA010120220812692268,셀렉토커피방학역점,서울특별시 도봉구 도봉로152길 16,37.6690978107092,127.04474888802,서울특별시 도봉구 도봉로152길 16 셀렉토커피방학역점,136013316
MA010120220814131733,미러볼커피스탠드,서울특별시 종로구 창경궁로 142,37.5750071461478,126.997634058273,서울특별시 종로구 창경궁로 142 미러볼커피스탠드,2049972099
MA010120220808471611,단미제과,서울특별시 강북구 삼양로98길 49,37.6388946688691,127.01994076776,서울특별시 강북구 삼양로98길 49 단미제과,1194886961
MA010120220806750334,파크사이드,서울특별시 마포구 백범로16안길 31,37.5463240840824,126.943816278318,서울특별시 마포구 백범로16안길 31 파크사이드,1644811137
MA010120220807072648,코지,서울특별시 송파구 올림픽로32길 18,37.5144096047334,127.109129823767,서울특별시 송파구 올림픽로32길 18 코지,307482568
MA010120220805629360,데이데이,서울특별시 성북구 동소문로22길 14,37.5923409699007,127.017595818238,서울특별시 성북구 동소문로22길 14 데이데이,21402278
MA010120220803903262,라운드테이블,서울특별시 성북구 보문로30길 40-2,37.5892232136225,127.019644447322,서울특별시 성북구 보문로30길 40-2 라운드테이블,17467459
MA010120220812684551,리예몬,서울특별시 동대문구 답십리로 159-16,37.5736323733601,127.058094685171,서울특별시 동대문구 답십리로 159-16 리예몬,
MA0101202406A0003591,미학당,서울특별시 동작구 상도로37길 81,37.4972957932486,126.953668854214,서울특별시 동작구 상도로37길 81 미학당,499460914
MA0101202406A0354707,커피베이베이크앤비스트로서순라길점,서울특별시 종로구 율곡로10길 27-13,37.5758087307137,126.991249317907,서울특별시 종로구 율곡로10길 27-13 커피베이베이크앤비스트로서순라길점,
MA0101202306A0081109,컴포즈커피숭실대점,서울특별시 동작구 상도로 357,37.4969353285439,126.953510757922,서울특별시 동작구 상도로 357 컴포즈커피숭실대점,1731621724
MA010120220812045492,집생로커피,서울특별시 광진구 아차산로51길 90,37.5409275739793,127.08544062045,서울특별시 광진구 아차산로51길 90 집생로커피,1016541790
MA010120220805502965,에그허그,서울특별시 광진구 천호대로143길 8-5,37.5460490136718,127.10328034094,서울특별시 광진구 천호대로143길 8-5 에그허그,
MA010120220804498801,뷰파트너스주,서울특별시 강남구 봉은사로 107,37.5050237707242,127.025390320936,서울특별시 강남구 봉은사로 107 뷰파트너스주,
MA0101202212A0097331,현욱기획,서울특별시 강남구 학동로101길 26,37.5224468696354,127.05762510496,서울특별시 강남구 학동로101길 26 현욱기획,
MA0106202201A0722612,커피를만드는사람들,서울특별시 강남구 학동로101길 26,37.5224468696354,127.05762510496,서울특별시 강남구 학동로101길 26 커피를만드는사람들,225978520
MA010120220803865372,카페오,서울특별시 광진구 자양로13나길 27,37.5341740814199,127.079707971849,서울특별시 광진구 자양로13나길 27 카페오,
MA0101202409A0141583,퐁치커피익스프레스,서울특별시 노원구 동일로176길 19-20,37.620879136864,127.076073786327,서울특별시 노원구 동일로176길 19-20 퐁치커피익스프레스,1606760114
MA0106202406A2464980,스타벅스,서울특별시 강남구 강남대로 302-2,37.4903449038053,127.03150271231,서울특별시 강남구 강남대로 302-2 스타벅스,20494135
MA010120220812515182,하우스브란트,서울특별시 서초구 신반포로3길 8,37.5021425556459,126.98690384767,서울특별시 서초구 신반포로3길 8 하우스브란트,
MA010120220806653613,카페301,서울특별시 서초구 신반포로3길 8,37.5021425556459,126.98690384767,서울특별시 서초구 신반포로3길 8 카페301,
MA010120220803675047,퀼트카페인,서울특별시 서초구 신반포로3길 8,37.5021425556459,126.98690384767,서울특별시 서초구 신반포로3길 8 퀼트카페인,
MA0101202406A0075604,컴포즈양천신곡점,서울특별시 양천구 신월로 170,37.5181572218856,126.842484605036,서울특별시 양천구 신월로 170 컴포즈양천신곡점,
MA0101202311A0105550,스타트카페,서울특별시 중구 남대문시장4길 9,37.5596610992437,126.977669639015,서울특별시 중구 남대문시장4길 9 스타트카페,62930054
MA010120220800117732,커피집,서울특별시 중구 남대문시장4길 9,37.5596610992437,126.977669639015,서울특별시 중구 남대문시장4길 9 커피집,87323834
MA010120220814124659,나를위한하루날위한커피,서울특별시 동작구 동작대로35길 53,37.4918700726253,126.979759152172,서울특별시 동작구 동작대로35길 53 나를위한하루날위한커피,
