,상권_코드,상권_코드_명,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율
0,3001496,강남 마이스 관광특구,16414.2,11714.0,0.7136503758940429
1,3001495,잠실 관광특구,592349.6,609875.0,1.0295862443394914
2,3001494,종로?청계 관광특구,1329741.4,913837.0,0.68722911086321
3,3001493,동대문패션타운 관광특구,551888.6,397638.5,0.7205050077135132
4,3001492,명동 남대문 북창동 다동 무교동 관광특구,1214351.4,755022.0,0.6217491905555509
5,3001491,이태원 관광특구,285335.4,353858.0,1.24014755967889
6,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",9615.2,6055.0,0.6297320908561443
7,3130326,고덕 골목형상점가,14471.4,15116.0,1.04454302969996
8,3130325,명일전통시장,46345.6,48849.0,1.054015915210937
9,3130324,길동복조리시장,71044.2,71960.0,1.012890566717621
10,3130323,둔촌역전통시장,39847.2,41047.0,1.03011002027746
11,3130322,고분다리전통시장,21461.2,23371.5,1.0890117980355245
12,3130321,장신구 특화거리 상점가,30853.6,28509.5,0.9240250732491508
13,3130320,암사종합시장,27837.8,29571.0,1.0622606671504213
14,3130319,성내전통시장,90231.2,106052.0,1.1753362473290836
15,3130318,로데오거리상점가,69037.4,79946.0,1.1580100061705685
16,3130317,마천중앙시장,88814.0,96453.5,1.086016844191231
17,3130316,마천시장,11549.0,12125.0,1.0498744480041562
18,3130315,문정동 로데오거리 상점가(문정동 로데오거리),92535.6,83134.0,0.898400183280813
19,3130314,풍납시장,207763.4,223900.5,1.077670561802512
20,3130313,방이시장,157117.4,160685.5,1.0227097698918135
21,3130312,석촌시장,39522.0,40045.5,1.0132457871565204
22,3130311,새마을시장,154100.8,163229.5,1.0592384984373866
23,3130310,강남개포시장,35382.6,34077.5,0.9631146382685275
24,3130309,은마종합상점가,3104.2,1555.5,0.5010952902519168
25,3130308,청담삼익시장,3262.6,2282.5,0.6995954146999326
26,3130307,도곡시장,11896.4,14441.5,1.2139386705221749
27,3130306,강남언주로,40208.0,30472.0,0.7578591325109431
28,3130305,논현종합시장,4771.4,3839.5,0.8046904472481872
29,3130304,신사상가,3020.6,2726.5,0.902635238032179
30,3130303,영동전통시장,56575.8,45497.5,0.8041865956822528
31,3130302,강남시장(강남구 강남시장),7556.8,6510.0,0.861475756934152
32,3130301,양재시장,8739.8,6353.5,0.7269617153710611
33,3130296,남부종합시장,4673.6,4959.0,1.061066415611092
34,3130295,인헌시장(원당종합시장),34824.6,38770.0,1.113293476450555
35,3130294,관악중부시장,53287.4,53757.0,1.0088125898430023
36,3130293,봉천중앙시장,16835.4,17344.5,1.0302398517409743
37,3130292,봉천현대시장,14983.0,17755.5,1.1850430487886272
38,3130291,봉천제일종합시장,3497.6,3796.0,1.0853156450137238
39,3130290,영림시장,64972.8,63692.5,0.9802948310677698
40,3130289,봉일시장,8501.4,9123.0,1.0731173689039453
41,3130288,신림현대종합상가,2059.8,2575.0,1.2501213710068937
42,3130287,삼성동 시장(삼성동시장),168369.4,171780.0,1.020256649961335
43,3130286,신신림시장(삼성동시장),15917.2,16522.5,1.0380280451335662
44,3130285,서원동상점가,145673.6,166822.5,1.1451800463501967
45,3130284,관악종합시장(신원시장),9545.8,11187.0,1.1719290159022817
46,3130283,신원시장,100104.8,117928.5,1.17805040317747
47,3130282,난곡 골목형상점가,12295.0,13340.5,1.0850345668971126
48,3130281,우림시장,6757.2,7496.5,1.1094092227549872
49,3130280,신림종합시장,3990.4,4679.0,1.1725641539695268
50,3130279,관악신사시장,83582.8,89869.0,1.0752092535784874
51,3130278,미성동 도깨비시장 골목형상점가,38905.4,42388.0,1.0895145661013639
52,3130277,조원동 펭귄시장(신림중앙시장),26830.4,29827.5,1.111705378973105
53,3130276,신림중앙시장(조원동 펭귄시장),17212.6,18189.5,1.0567549353380663
54,3130275,강남골목시장,65212.6,59607.5,0.9140488187865535
55,3130274,사당1동먹자골목상점가(사당1동먹자골목),119318.4,120379.0,1.0088888218413925
56,3130273,남성사계시장(남성시장),132906.4,138200.0,1.0398295341684072
57,3130272,사당시장,4533.6,4844.0,1.0684665607905417
58,3130271,남성역골목시장,82945.8,87818.0,1.0587395624612699
59,3130270,흑석시장,11092.2,10379.0,0.9357025657669352
60,3130269,강남시장(동작구 강남시장),6201.4,6763.5,1.0906408230399587
61,3130268,상도전통시장,27921.8,32540.5,1.165415553438532
62,3130267,본동인정시장(기능상실),27487.2,28204.5,1.026095782764341
63,3130266,만양로상점가,15150.6,14697.5,0.9700935936530566
64,3130265,노량진중앙시장,27342.0,27043.5,0.98908272986614
65,3130264,상도약수골목형상점가,22854.6,23727.5,1.0381936240406746
