query,found_name,score,reviewCount
가비수구.거니는집,,,
카페인중독잠실,카페인중독 잠실방이점,,6
제이든커피로스터스JDCR,제이든 커피 로스터스,4.62,235
커피가게동경연희점,커피가게동경 연희점,4.55,214
컴포즈커피강남,컴포즈커피 개포동점,4.5,15
컴포즈커피은평서북,컴포즈커피 은평서북병원점,,2
더치앤빈흑리단길점,더치앤빈 흑리단길점,4.38,10
세운나다방,세운나다방,,138
브라운컬렉션,브라운 컬렉션,4.46,63
서울바나나커피,서울바나나커피 을지로4가점,,862
챔프커피,챔프커피 제3작업실,4.46,"1,396"
이프프커피,이프프커피,,448
헤일리스커피,헤일리스커피,4.6,26
리오네커피,리오네커피,,125
해피클럽,해피디쉬클럽 청량리점,4.47,400
톤즈,톤즈,,392
빈티지라이언,빈티지라이언,4.28,241
호랑이,호랑이,4.42,"3,190"
아르팡,아르팡,,4
멀티커피,멀티커피,,32
티아트커피로스터스,,,
카페쏙,카페쏙,,27
단조,단조,4.69,206
이디야커피,이디야커피 정릉중앙점,4.21,11
카페숲,카페 숲,4.63,216
스타벅스,스타벅스 미아뉴타운점,4.38,93
이디아,이디아커피,,0
에나꼬레,,,
태무든TAEMOODEN,,,
두번째디저트,서울서둘째로잘하는집,4.44,"1,260"
이디야사가정점,이디야커피 중랑역점,4.43,29
로스토,로스토,,19
청림무역,,,
9카페,9카페,4.41,13
쥬씨삼호가든,쥬씨 반포삼호가든사거리점,4.58,4
몹시,몹시,,139
마룬여유,,,
탐앤탐스홍제역점,탐앤탐스 홍제역점,4.29,22
홍제동냇길,홍제동냇길,,0
아케디뜨,아케디뜨 바,4.62,12
잇푸쿠,잇푸쿠,,42
메가엠지씨커피북한산,메가엠지씨커피 은평갈현시장점,,7
까페캠퍼,카페 해피캠퍼,,38
설빙,설빙 미아점,4.33,121
매머드익스프레스보라매대교점,매머드익스프레스 보라매대교점,,3
커피앤김밥,커피앤김밥,,0
원두볶는사람들,원두볶는사람들,4.31,5
이디야커피창동학원가점,이디야커피 창동학원가점,4.43,7
앨리스,앨리스 청담,4.47,261
아키비스트,아키비스트,4.5,"2,704"
멜로드,멜로드 도산 신사 아뜰리에,4.8,126
요거요거요거트,요거프레소 정릉1호점,4.5,6
바스크,바스크,4.43,163
커피인페르노,커피인페르노,4.43,10
커피볶는김여사,커피볶는김여사 간호대점,4.32,30
구루구루,구루구루,,5
미쉐,미쉐 성균관점,,38
디자인정인플러스,,,
봉명동내커피,봉명동내커피 서울강북구점,,7
이디야팀이공사점,,,
메가엠지씨커피창동역점,메가MGC커피 상계백병원점,4.45,22
공활,공활,,49
어깨동무,어깨동무,4.56,61
커피온리,커피온리 경복궁역점,4.36,4
메가엠지씨커피남부터미널역점,메가엠지씨커피 서초샤르망점,,2
카페다인,카페다인,4.38,6
남산#52LAB,52LAB,4.34,38
베비아모,베비아모,,138
오루베,오루베,,78
프리커피,하비비 밤리단길점,4.61,217
노브.,노브,,102
히든아일렛,히든아일렛,,313
피카워크샵,피카워크샵,4.22,80
셀렉토커피방학역점,셀렉토커피 방학역점,4.44,11
미러볼커피스탠드,미러볼커피스탠드,,47
단미제과,단미제과,,1
파크사이드,파크사이드,4.7,303
코지,코지,,264
데이데이,데이데이,,23
라운드테이블,라운드테이블,,0
리예몬,,,
미학당,미학당,4.64,250
커피베이베이크앤비스트로서순라길점,,,
컴포즈커피숭실대점,컴포즈커피 숭실대점,,5
집생로커피,집생로커피 압구정점,,80
에그허그,에그허그,4.65,13
뷰파트너스주,,,
현욱기획,,,
커피를만드는사람들,,,
카페오,카페오,,6
퐁치커피익스프레스,퐁치 커피익스프레스 수유점,,2
하우스브란트,하우스 브란트 야탑점,4.4,20
카페301,카페301,,0
퀼트카페인,,,
컴포즈양천신곡점,컴포즈커피 양천신곡점,4.34,6
스타트카페,스타트카페,,1
커피집,커피집,4.39,188
나를위한하루날위한커피,나를 위한 하루 날 위한 커피,,12
카페크레프리,카페크레프리,,1
커피프릭COFFEEFREAK,,,
골목카페,서화커피,4.47,888
구움블루스,구움블루스,,64
메가엠지씨커피방배카페,메가MGC커피 방배역점,,22
네스트앤드위스탠연남마포지점,,,
카페청량,카페청량,,507
문보드레,문보드레,,5
커피도가헤리티지,커피도가 헤리티지 신촌이대점,4.77,172
꾸에바마테라,꾸에바마테라,,330
매머드익스프레스,매머드커피익스프레스 국민대후문점,,3
더로비,카페더로비,4.57,141
바바아시,바바아시,,105
수유상점101,,,
커피마마퀸,커피마마퀸 수유점,,5
업사이드커피을지로,업사이드커피 을지로점,,92
그랑카페,그랑카페,4.71,3
이디야커피망우역점,이디야 중화동점,,9
트래버틴용산,트래버틴 용산,4.34,758
디저트39,디저트39 미아사거리역점,,8
사랑방,사랑방칼국수,4.45,"2,744"
로타리휴계실,,,
삼이일공커피공장,삼이일공커피공장,,22
토마토,토마토도시락 광주경안점,4.45,12
수빈70,수빈70 건대점,,14
커피오리진,커피오리진,,0
메가엠지씨커피강동역점,메가MGC커피 길동복조리시장점,,5
카페502호,,,
이앤에스에스,,,
건강한농부사회적협동조합,,,
크레마노,크레마노 월곡점,,9
카페인중독,카페인중독 미아점,,7
카페보보,카페보보,,7
금호알베르,,,
알베르금호,,,
다나제과,다나디저트,,1
커피베이성수세종,커피베이 성수세종타워점,,18
메르센,,,
카페네이,카페네이,,51
카페리브레,커피 리브레 연남점,4.44,"1,044"
커피빈순화점,커피빈 순화점,4.39,21
커피에반하다,커피에반하다 강북미아점,,19
컴포즈커피,컴포즈커피 북한산보국문점,,2
