상가업소번호,상호명,지점명,상권_코드,법정동코드,지번,커버건축물면적,커버연면적,기준_년분기_코드,서비스_업종_코드,당월_매출_금액,상권_내_카페_수,등분_매출,상권_총_커버연면적,면적비율,면적_배분_매출,최종_추정매출
MA010120220800672495,가비수구.거니는집,,3130284,1162010200,1602-1,1041.32,2036.36,,,,1,,2036.36,1.0,,
MA0101202406A0465702,카페인중독잠실,방이점,3120233,1171011100,48-2,0.0,0.0,20241.0,CS100010,236573599.0,76,1556405.2565789474,353122.84,0.0,0.0,1556405.2565789474
MA0101202406A0465702,카페인중독잠실,방이점,3120233,1171011100,48-2,0.0,0.0,20242.0,CS100010,244886403.0,76,1611094.7565789474,353122.84,0.0,0.0,1611094.7565789474
MA0101202406A0465702,카페인중독잠실,방이점,3120233,1171011100,48-2,0.0,0.0,20243.0,CS100010,288845767.0,76,1900301.0986842106,353122.84,0.0,0.0,1900301.0986842106
MA0101202406A0465702,카페인중독잠실,방이점,3120233,1171011100,48-2,0.0,0.0,20244.0,CS100010,293750345.0,76,1932568.0592105263,353122.84,0.0,0.0,1932568.0592105263
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,1174010100,338-17,98.1,494.82,20241.0,CS100010,874064889.0,88,4966277.778409091,219626.32,0.002253008655793167,984637.8803209469,5950915.6587300375
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,1174010100,338-17,98.1,494.82,20242.0,CS100010,1011089430.0,88,5744826.306818182,219626.32,0.002253008655793167,1138996.6187854898,6883822.925603671
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,1174010100,338-17,98.1,494.82,20243.0,CS100010,985146759.0,88,5597424.767045454,219626.32,0.002253008655793167,1109772.0876267925,6707196.854672247
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,1174010100,338-17,98.1,494.82,20244.0,CS100010,863400943.0,88,4905687.176136363,219626.32,0.002253008655793167,972624.8989994915,5878312.075135855
MA010120220803375113,커피가게동경연희점,,3130174,1141011700,131-1,0.0,0.0,,,,1,,0.0,,,
MA010120220813491137,컴포즈커피강남,시장점,3130302,1168010700,510-11,1967.91,14310.12,,,,1,,14310.12,1.0,,
MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,1138010500,190-8,0.0,376.0,20241.0,CS100010,88081138.0,44,1000922.0227272727,60498.840000000004,0.006214995196602117,273711.92479062406,1274633.9475178968
MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,1138010500,190-8,0.0,376.0,20242.0,CS100010,109483267.0,44,1244128.0340909092,60498.840000000004,0.006214995196602117,340218.9892566535,1584347.0233475626
MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,1138010500,190-8,0.0,376.0,20243.0,CS100010,90734817.0,44,1031077.4659090909,60498.840000000004,0.006214995196602117,281958.225909786,1313035.691818877
MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,1138010500,190-8,0.0,376.0,20244.0,CS100010,53929114.0,44,612830.8409090909,60498.840000000004,0.006214995196602117,167584.59223350396,780415.4331425949
MA010120220814115583,더치앤빈흑리단길점,,3110842,1159010500,43-5,84.83,167.37,20241.0,CS100010,286785891.0,32,4481029.546875,24189.8,0.006919031988689448,992140.3768669026,5473169.923741902
MA010120220814115583,더치앤빈흑리단길점,,3110842,1159010500,43-5,84.83,167.37,20242.0,CS100010,345317294.0,32,5395582.71875,24189.8,0.006919031988689448,1194630.7017168393,6590213.420466839
MA010120220814115583,더치앤빈흑리단길점,,3110842,1159010500,43-5,84.83,167.37,20243.0,CS100010,343391131.0,32,5365486.421875,24189.8,0.006919031988689448,1187967.1100106244,6553453.531885624
MA010120220814115583,더치앤빈흑리단길점,,3110842,1159010500,43-5,84.83,167.37,20244.0,CS100010,289650900.0,32,4525795.3125,24189.8,0.006919031988689448,1002051.9213263443,5527847.233826344
MA010120220807123745,세운나다방,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220807123745,세운나다방,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20242.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220807123745,세운나다방,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20243.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220807123745,세운나다방,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20244.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
MA010120220813241715,브라운컬렉션,,3130033,1114015700,207-2,305.81545454545454,2229.402727272727,20241.0,CS100010,78000000.0,48,812500.0,98093.72,0.022727272727272724,886363.6363636362,1698863.6363636362
