상가업소번호,상호명,지점명,TRDAR_CD,법정동코드,지번본번지,지번부번지,건물관리번호,지번,고유번호,연면적,건축물면적(㎡),커버건축물면적,커버연면적
MA010120220800672495,가비수구.거니는집,,3130284,1162010200,1602,1,1162010200116020001019455,1602-1,1.16201020011602e+18,2036.36,1041.32,1041.32,2036.36
MA0101202406A0465702,카페인중독잠실,방이점,3120233,1171011100,48,2,1171011100100480002015879,48-2,1.17101110010048e+18,0.0,0.0,0.0,0.0
MA0106202410A0428092,제이든커피로스터스JDCR,,3111080,1174010100,338,17,1174010100103380017019459,338-17,1.17401010010338e+18,494.82,98.1,98.1,494.82
MA010120220803375113,커피가게동경연희점,,3130174,1141011700,131,1,1141011700101310001021009,131-1,1.14101170010131e+18,0.0,0.0,0.0,0.0
MA010120220813491137,컴포즈커피강남,시장점,3130302,1168010700,510,11,1168010700105100011011812,510-11,1.1680107001051e+18,14310.12,1967.91,1967.91,14310.12
MA0101202310A0083403,컴포즈커피은평서북,병원점,3110450,1138010500,190,8,1138010500101900008046075,190-8,1.1380105001019e+18,376.0,0.0,0.0,376.0
MA010120220814115583,더치앤빈흑리단길점,,3110842,1159010500,43,5,1159010500100430005015760,43-5,1.15901050010043e+18,167.37,84.83,84.83,167.37
MA010120220807123745,세운나다방,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA010120220813241715,브라운컬렉션,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA0101202303A0114093,서울바나나커피,을지로4가점,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA010120220803699812,챔프커피,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA0101202307A0001081,이프프커피,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA0101202305A0155336,헤일리스커피,을지로점,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA0101202406A0288695,리오네커피,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA010120220807113501,해피클럽,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA0101202409A0004940,톤즈,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA010120220806525068,빈티지라이언,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA010120220810045634,호랑이,,3130033,1114015700,207,2,1114015700102070002000001,207-2,1.11401570010207e+18,24523.43,3363.97,305.81545454545454,2229.402727272727
MA0101202209A0021984,아르팡,,3130057,1117010800,260,1,1117010800102600001021669,260-1,1.1170108001026001e+18,4782.84,1286.55,1286.55,4782.84
MA0106202303A1044347,멀티커피,한양대점,3130069,1120010700,19,54,1120010700100190054019225,19-54,1.1200107001001901e+18,701.08,122.22,61.11,350.54
MA010120220805143379,티아트커피로스터스,,3130069,1120010700,19,54,1120010700100190054019225,19-54,1.1200107001001901e+18,701.08,122.22,61.11,350.54
MA010120220802972784,카페쏙,,3110323,1129013700,64,1,1129013700100640001014862,64-1,1.12901370010064e+18,105.66,0.0,0.0,105.66
MA010120220804964341,단조,,3130106,1126010100,185,1,1126010100101850001027900,185-1,1.12601010010185e+18,1047.31,201.79,201.79,1047.31
MA010120220812595260,이디야커피,,3110393,1132010600,670,0,1132010600106700000000391,670,1.1320106001067e+18,616.95,118.8,118.8,616.95
MA010120220807929010,카페숲,,3130088,1123010300,1019,0,1123010300110190000034389,1019,1.12301030011019e+18,15208.91,0.0,0.0,15208.91
MA0106202406A2465633,스타벅스,경동1960,3130088,1123010300,1036,0,,1036,1.12301030011036e+18,7171.24,2426.36,2426.36,7171.24
MA010120220800600549,이디아,,3120094,1141011600,30,20,1141011600100300020021763,30-20,1.1410116001003e+18,450.75,0.0,0.0,450.75
MA0101202409A0021931,에나꼬레,,3130173,1141012000,345,4,1141012000103450004004620,345-4,1.14101200010345e+18,6864.78,1031.28,1031.28,6864.78
MA010120220810199262,태무든TAEMOODEN,,3110525,1141011800,36,6,1141011800100360006013474,36-6,1.1410118001003601e+18,199.89,79.74,79.74,199.89
MA0101202311A0083488,두번째디저트,,3110852,1159010700,1005,1,1159010700110050001010963,1005-1,1.15901070011005e+18,368.44,88.57,88.57,368.44
