articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524603694,일반상가,월세,4/5,160,"2,000",162,66,남서향,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.514359,127.042065
2524604407,일반상가,월세,1/15,"1,650",3억,190,190,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.509285,127.02265
2524645420,일반상가,월세,1/5,250,"5,000",59,39,동향,20250509,"['10년이내', '역세권', '1층', '급매']",37.50674,127.026146
2524627120,일반상가,월세,1/5,250,"3,000",42,42,북서향,20250509,"['25년이내', '역세권', '1층', '총5층']",37.514244,127.03457
2524683955,일반상가,월세,1/5,800,"8,000",314,274,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.515433,127.033348
2524626962,일반상가,월세,1/4,390,"5,000",87,87,남동향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.521143,127.037091
2524639098,단지내상가,매매,B1/2,,"7억 9,000",81,39,북향,20250509,"['10년이내', '역세권', '급매', '지하층']",37.510544,127.035961
2524624068,일반상가,월세,1/6,340,"4,000",186,132,남향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.509651,127.034908
2524641300,일반상가,월세,B1/6,650,1억,184,184,남향,20250509,"['15년이내', '융자금없는', '역세권', '지하층']",37.509262,127.035772
2524626709,일반상가,월세,1/4,155,"3,000",33,33,남서향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.510214,127.02755
2524627952,일반상가,월세,1/4,350,"3,000",67,67,북서향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.508759,127.030011
2524627022,일반상가,월세,1/4,220,"2,000",37,31,동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.514297,127.040487
2524627932,일반상가,월세,2/5,"2,200","2억 2,000",259,243,남향,20250509,"['2년이내', '융자금적은', '역세권', '중층']",37.506663,127.024577
2524627042,단지내상가,월세,B1/1,206,"3,000",81,39,남서향,20250509,"['10년이내', '역세권', '지하층', '주차가능']",37.510544,127.035961
2524627055,일반상가,월세,1/3,286,"5,000",33,33,동향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.507561,127.026949
2524626663,일반상가,월세,3/3,153,"2,000",59,59,북동향,20250509,"['25년이상', '역세권', '고층', '총3층']",37.510761,127.022947
2524624029,일반상가,월세,B2/5,800,1억,562,396,남향,20250509,"['25년이내', '융자금적은', '역세권', '지하층']",37.506319,127.024764
2524626988,일반상가,월세,1/4,200,"2,000",39,39,북서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.51428,127.039542
2524606435,복합상가,월세,3/6,"1,350",2억,314,219,북서향,20250509,"['2년이내', '융자금없는', '테라스', '역세권']",37.509797,127.02312
2524610337,일반상가,월세,2/6,200,"3,000",72,72,남향,20250509,"['25년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.508167,127.034568
2524603397,복합상가,월세,2/6,"2,000",3억,295,262,북서향,20250509,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.509797,127.02312
2524617490,일반상가,월세,1/2,780,1억,162,162,북동향,20250509,"['25년이상', '1층', '총2층', '북동향']",37.521937,127.037186
2524626918,일반상가,월세,B2/7,360,"4,000",132,132,남서향,20250509,"['25년이상', '역세권', '지하층', '남서향']",37.516812,127.038144
2524622565,일반상가,월세,B1/5,350,"3,000",100,100,남동향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.50683,127.029626
2524604057,일반상가,월세,B1/10,"5,690","5억 6,900",576,576,서향,20250509,"['2년이내', '융자금없는', '역세권', '지하층']",37.51558,127.034242
2524626142,일반상가,월세,1/4,700,1억,131,131,서향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.512368,127.021827
2524605695,일반상가,월세,1/5,130,"1,200",44,33,남동향,20250509,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.510953,127.03955
2524606789,일반상가,월세,1/6,900,"1억 5,000",171,171,서향,20250509,"['15년이내', '역세권', '1층', '주차가능']",37.512258,127.023233
2524617633,일반상가,월세,2/6,400,"5,000",94,76,북동향,20250509,"['2년이내', '지상층(1층제외)', '주차가능', '북동향']",37.519346,127.029259
2524627090,일반상가,월세,1/5,300,"3,000",27,20,북서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.506818,127.025692
2524624514,일반상가,월세,4/6,85,"2,000",128,39,북동향,20250509,"['25년이내', '융자금적은', '역세권', '중층']",37.507226,127.028662
2524300660,일반상가,월세,B1/5,320,"3,000",112,112,남향,20250508,"['15년이내', '역세권', '지하층', '주차가능']",37.51747,127.038044
2524305019,일반상가,월세,4/7,"1,580","1억 5,000",323,264,동향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.511047,127.02192
2524305596,일반상가,월세,1/6,350,"5,000",33,28,동향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.521445,127.039475
2524308621,일반상가,월세,1/5,750,1억,196,165,남향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.521654,127.03882
2524315291,일반상가,월세,1/6,100,"1,000",11,11,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.505335,127.025489
2524304658,일반상가,월세,B1/5,250,"5,000",146,145,남향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.509878,127.026556
2524310618,일반상가,월세,1/3,200,"2,000",46,46,남향,20250508,"['25년이내', '1층', '주차가능', '총3층']",37.507353,127.028033
2524316997,일반상가,월세,B1/6,200,"3,000",125,125,북서향,20250508,"['25년이내', '지하층', '관리비10만원이하', '주차가능']",37.519336,127.031941
2524314066,일반상가,월세,1/3,315,"4,000",237,49,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.510761,127.022947
2524306751,일반상가,월세,6/7,"1,580","1억 5,000",323,264,동향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.511047,127.02192
2524311585,일반상가,월세,1/3,170,"2,000",120,29,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.512851,127.034394
2524318263,일반상가,월세,B1/5,260,"3,000",137,137,북향,20250508,"['25년이상', '지하층', '주차가능', '총5층']",37.521977,127.038283
2524303219,일반상가,월세,1/4,350,"5,000",148,115,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.51797,127.038625
2524309903,일반상가,월세,1/4,230,"3,000",110,33,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.508265,127.025343
2524316840,일반상가,월세,1/6,270,"5,000",289,33,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.509578,127.025838
2524310877,일반상가,월세,1/3,210,"3,000",36,36,동향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.519503,127.029109
2524310749,일반상가,월세,B2/6,445,"5,000",309,238,동향,20250508,"['25년이상', '융자금적은', '역세권', '지하층']",37.515717,127.021442
2524311933,일반상가,월세,1/6,190,"2,000",33,26,남향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.510086,127.024135
2524301945,일반상가,월세,1/4,"1,200","1억 5,000",310,224,북향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.514859,127.036797
2524301986,일반상가,월세,B1/5,290,"3,000",190,188,남향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.517143,127.03658
2524302091,일반상가,월세,1/6,275,"3,000",91,72,남향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.509185,127.032563
2524404447,일반상가,월세,B1/4,250,"3,000",284,99,북향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.511286,127.023894
2524439790,일반상가,월세,3/10,"1,500",3억,411,383,북향,20250508,"['25년이상', '지상층(1층제외)', '주차가능', '엘리베이터']",37.520553,127.03217
2524322511,일반상가,월세,1/4,200,"2,000",31,31,남향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.514297,127.040487
2524325379,일반상가,월세,B2/5,280,"3,500",139,139,북서향,20250508,"['15년이내', '역세권', '지하층', '주차가능']",37.517299,127.039456
2524358083,일반상가,월세,1/5,160,"2,000",172,49,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.50831,127.032365
2524322127,일반상가,월세,1/4,350,"5,000",134,115,남동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.515609,127.040867
2524356652,일반상가,월세,3/6,650,1억,340,237,서향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.505265,127.025262
2524597121,일반상가,월세,B1/5,200,"2,000",66,66,남향,20250508,"['25년이상', '역세권', '지하층', '천장에어컨']",37.514795,127.032333
2524509019,일반상가,월세,3/7,850,"1억 5,000",206,187,남향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.510464,127.039829
2524305204,일반상가,월세,1/5,475,"4,000",227,91,북향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.514361,127.028874
2524306239,단지내상가,월세,B1/8,70,"1,000",16,16,북향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.518457,127.038048
2524312987,일반상가,월세,B1/15,130,"1,500",35,35,남향,20250508,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.516689,127.040603
2524323936,일반상가,월세,2/15,600,1억,127,127,북서향,20250508,"['25년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.516132,127.02049
2524319873,일반상가,월세,1/3,270,"6,000",50,40,남동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.5096,127.026317
2524360753,일반상가,월세,1/4,700,"8,000",155,148,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.509512,127.036515
2524352027,일반상가,월세,2/4,"1,100","1억 5,000",117,110,남향,20250508,"['15년이내', '역세권', '중층', '총4층']",37.506622,127.024254
2524351458,일반상가,월세,1/3,120,"2,000",49,39,남향,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.520411,127.036117
2524324466,일반상가,월세,1/3,"1,000","1억 5,000",111,111,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.506828,127.024502
2524346976,일반상가,월세,B1/5,480,"6,000",329,329,동향,20250508,"['25년이상', '역세권', '지하층', '엘리베이터']",37.513769,127.042281
2524325338,일반상가,월세,B1/10,400,"5,000",304,226,북향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.517351,127.039625
2524324962,일반상가,월세,1/4,350,"5,000",114,114,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.51797,127.038625
2524322452,일반상가,월세,1/2,550,"7,000",161,160,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.512077,127.030825
2524343010,일반상가,월세,1/7,630,"8,000",165,90,북향,20250508,"['25년이내', '테라스', '역세권', '1층']",37.514569,127.033683
2524321165,일반상가,월세,1/5,350,"3,000",227,36,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.514361,127.028874
2524333111,일반상가,월세,3/6,"1,000",1억,260,214,동향,20250508,"['25년이내', '융자금없는', '중층', '주차가능']",37.521874,127.03929
2524346678,일반상가,월세,B1/5,600,"6,000",236,231,남향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.513962,127.027554
2524351650,일반상가,월세,1/6,"2,300",2억,360,360,동향,20250508,"['25년이내', '1층', '주차가능', '동향']",37.521874,127.03929
2524349605,일반상가,월세,1/4,"1,200","1억 5,000",241,224,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.514859,127.036797
2524379022,일반상가,월세,1/5,350,"4,000",99,89,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.516901,127.030214
2524388184,일반상가,월세,B1/5,700,"7,000",396,330,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.512722,127.025727
2524394220,일반상가,월세,1/3,300,"4,000",186,59,북향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.519124,127.040348
2524399563,일반상가,월세,2/2,580,"5,000",96,89,남향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.508389,127.023721
2524399705,일반상가,월세,B1/6,"1,250","1억 7,000",193,164,동향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.519338,127.040216
2524392342,단지내상가,월세,B1/19,180,"2,000",28,28,북동향,20250508,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.510544,127.035961
2524397576,일반상가,월세,4/5,700,1억,336,280,서향,20250508,"['25년이내', '고층', '주차가능', '총5층']",37.512018,127.036079
2524397099,일반상가,월세,3/5,"1,000","1억 3,000",314,231,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.508248,127.033128
