articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524609496,일반상가,월세,4/9,"1,040","1억 5,000",255,162,서향,20250509,"['2년이내', '융자금없는', '테라스', '역세권']",37.499911,127.051551
2524609848,일반상가,월세,6/9,"1,060","1억 5,000",239,164,서향,20250509,"['2년이내', '융자금없는', '역세권', '중층']",37.499911,127.051551
2524620401,일반상가,매매,B1/3,,"3억 5,000",10,9,남향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.497175,127.061352
2524609692,일반상가,월세,5/9,930,"1억 3,000",213,143,서향,20250509,"['2년이내', '융자금없는', '테라스', '역세권']",37.499911,127.051551
2524681541,일반상가,월세,B1/20,150,"2,000",77,37,남향,20250509,"['25년이상', '융자금없는', '역세권', '지하층']",37.504412,127.049726
2524619351,단지내상가,월세,B1/3,285,"3,500",68,46,남서향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.497414,127.065309
2524663544,일반상가,월세,1/4,460,1억,112,89,동향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.503491,127.056145
2524651746,일반상가,월세,2/6,530,"5,000",121,100,북향,20250509,"['4년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.499171,127.053218
2524627923,일반상가,월세,B1/9,220,"5,000",165,115,남동향,20250509,"['25년이내', '지하층', '주차가능', '남동향']",37.505898,127.058331
2524620804,일반상가,월세,2/4,580,"9,000",247,247,남향,20250509,"['25년이상', '융자금없는', '중층', '주차가능']",37.499244,127.063576
2524628047,일반상가,월세,3/8,"1,030","1억 3,500",230,170,남서향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.501638,127.050864
2524645231,일반상가,월세,1/3,400,"5,000",33,33,서향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.498293,127.05223
2524643711,단지내상가,월세,2/3,150,"3,000",50,30,북향,20250509,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.500835,127.060986
2524623925,일반상가,매매,1/3,,20억,53,52,남향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.499206,127.063091
2524646656,일반상가,월세,1/6,650,1억,125,104,남서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.498609,127.053495
2524627036,일반상가,월세,1/5,323,"5,000",34,26,남동향,20250509,"['25년이상', '1층', '총5층', '남동향']",37.506108,127.058994
2524620503,일반상가,월세,1/3,130,"2,000",45,44,남향,20250509,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.499206,127.063091
2524647384,일반상가,월세,1/9,550,1억,160,81,서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.500187,127.051563
2524641866,일반상가,월세,1/4,430,1억,41,30,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.497827,127.056788
2524627154,일반상가,월세,1/5,100,"1,000",18,18,북서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.496256,127.060624
2524603478,일반상가,매매,5/6,,58억,523,278,남향,20250509,"['25년이내', '테라스', '역세권', '고층']",37.493823,127.062934
2524635270,복합상가,매매,1/4,,"6억 7,000",22,21,동향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.493144,127.059079
2524666361,일반상가,월세,1/6,140,"1,000",36,33,남향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.501671,127.056953
2524652250,일반상가,월세,1/5,670,1억,112,80,북향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.505968,127.059388
2524606300,일반상가,월세,1/5,350,"5,000",99,99,남향,20250509,"['25년이내', '1층', '주차가능', '총5층']",37.502508,127.054057
2524618123,일반상가,매매,3/3,,45억,210,195,북향,20250509,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.499206,127.063091
2524607813,일반상가,월세,2/5,"1,380","1억 8,200",236,134,서향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.501638,127.050864
2524617447,일반상가,월세,1/3,250,"3,000",49,49,동향,20250509,"['25년이상', '1층', '총3층', '동향']",37.502204,127.056684
2524627045,일반상가,월세,1/5,295,"5,000",33,33,남서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.502261,127.05034
2524619892,일반상가,월세,1/3,250,"4,000",39,27,남향,20250509,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.498948,127.062495
2524619614,일반상가,매매,1/3,,13억,55,45,남서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.498353,127.068258
2524620675,일반상가,월세,1/3,500,1억,52,47,남향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.49783,127.061017
