articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524645693,단지내상가,매매,2/26,,"6억 9,000",111,51,,20250509,"['25년이상', '지상층(1층제외)', '주차가능', '관리비40만원이하']",37.487084,127.05106
2524627102,일반상가,월세,1/4,180,"1,000",26,18,남동향,20250509,"['25년이상', '1층', '총4층', '남동향']",37.489659,127.032866
2524627011,일반상가,월세,1/5,130,"1,500",48,48,북동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.487107,127.035353
2524626827,일반상가,월세,B1/4,170,"2,000",132,132,남서향,20250509,"['25년이상', '지하층', '총4층', '남서향']",37.489157,127.033182
2524604056,단지내상가,매매,1/5,,"7억 8,000",41,20,남향,20250509,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.495316,127.052681
2524618151,일반상가,월세,1/4,180,"2,000",36,36,북향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.484009,127.042623
2524617856,일반상가,월세,1/4,450,"4,000",116,116,북향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.484009,127.042623
2524661297,복합상가,월세,3/4,300,"3,500",158,158,,20250509,"['25년이상', '융자금없는', '역세권', '고층']",37.485466,127.044722
2524634565,일반상가,월세,1/5,450,"5,000",155,115,남서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.483365,127.046022
2524626982,일반상가,월세,1/4,260,"3,000",46,46,북서향,20250509,"['25년이상', '1층', '총4층', '북서향']",37.487609,127.039888
2524682791,일반상가,월세,1/4,398,"3,900",59,59,북향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.489659,127.032866
2524653011,일반상가,월세,1/6,980,"1억 1,000",250,132,남향,20250509,"['4년이내', '융자금없는', '역세권', '1층']",37.485625,127.035919
2524609504,일반상가,월세,B1/4,180,"3,000",146,132,남동향,20250509,"['25년이상', '융자금없는', '지하층', '주차가능']",37.482229,127.044939
2524498193,일반상가,월세,6/6,250,"3,000",169,101,북향,20250508,"['25년이내', '융자금없는', '고층', '주차가능']",37.491695,127.039793
2524497716,일반상가,매매,1/6,,22억,110,66,북향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.491695,127.039793
2524543453,일반상가,월세,B1/6,270,"5,000",189,148,북서향,20250508,"['25년이내', '지하층', '주차가능', '엘리베이터']",37.488766,127.033155
2524419597,일반상가,월세,1/5,300,"3,000",112,92,북동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.483345,127.046288
2524487882,일반상가,월세,1/5,350,"5,000",103,75,남동향,20250508,"['25년이상', '1층', '주차가능', '천장에어컨']",37.488656,127.034103
2524494497,일반상가,월세,1/1,70,"1,000",10,10,서향,20250508,"['2년이내', '마당', '역세권', '1층']",37.486384,127.038322
2524581232,일반상가,월세,1/4,240,"4,000",88,88,북서향,20250508,"['25년이상', '1층', '관리비20만원이하', '천장에어컨']",37.490443,127.03534
2524540262,일반상가,월세,1/4,480,"8,000",100,100,북향,20250508,"['25년이상', '1층', '총4층', '북향']",37.489659,127.032866
2524589914,일반상가,월세,1/6,398,"3,900",100,59,북서향,20250508,"['25년이상', '1층', '주차가능', '북서향']",37.489659,127.032866
2524555683,일반상가,월세,1/5,330,"3,000",112,112,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.483345,127.046288
2524597627,일반상가,월세,1/10,170,"3,000",92,44,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.484302,127.042447
2524527581,일반상가,월세,1/4,351,"3,900",480,59,북서향,20250508,"['25년이상', '1층', '총4층', '북서향']",37.489659,127.032866
2524527032,일반상가,월세,1/5,350,"4,000",82,82,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.485353,127.044273
2524519273,일반상가,월세,1/6,500,"6,000",265,210,남동향,20250508,"['25년이상', '1층', '주차가능', '남동향']",37.48177,127.044883
2524460325,일반상가,월세,1/4,180,"1,000",19,19,남향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.489659,127.032866
2524502294,일반상가,월세,1/10,453,"6,000",99,99,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.484302,127.042447
2524355971,복합상가,월세,1/20,"1,500",5억,365,145,남향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.48531,127.034414
2524481038,일반상가,월세,1/5,350,"5,000",103,76,북동향,20250508,"['25년이상', '1층', '주차가능', '천장에어컨']",37.488656,127.034103
2524384497,단지내상가,월세,B1/5,350,"5,000",63,33,남향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.495316,127.052681
2524481718,일반상가,월세,1/7,285,"5,500",114,56,북서향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.489735,127.034695
2524527802,일반상가,월세,1/8,340,"3,000",91,72,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.485072,127.042114
2524582970,일반상가,월세,1/5,400,"5,000",139,97,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.486247,127.035181
2524520084,일반상가,월세,B1/7,"1,000",3억,471,396,북서향,20250508,"['15년이내', '지하층', '주차가능', '북서향']",37.489805,127.033301
2524484640,일반상가,월세,1/3,378,"4,000",86,86,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.484443,127.044608
2524520928,일반상가,월세,1/15,"1,400",2억,104,104,남서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.486478,127.033539
2524481089,일반상가,월세,6/6,600,"1억 2,000",154,148,남동향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.486121,127.03769
2524475366,일반상가,월세,1/6,980,"1억 1,000",274,129,남동향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.485625,127.035919
2524415061,일반상가,월세,B1/10,"1,053","1억 5,000",631,348,북향,20250508,"['25년이상', '융자금적은', '지하층', '주차가능']",37.49154,127.039333
2524480732,일반상가,월세,1/2,380,"5,000",43,43,북향,20250508,"['4년이내', '1층', '주차가능', '총2층']",37.489319,127.033314
