articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524656154,복합상가,월세,1/20,220,"3,500",89,33,동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.48802,127.101856
2524665840,일반상가,월세,1/5,150,"1,000",43,43,북향,20250509,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.488664,127.103198
2524626684,복합상가,월세,B2/20,260,"3,000",338,122,남동향,20250509,"['25년이내', '역세권', '지하층', '주차가능']",37.48802,127.101856
2524426618,단지내상가,매매,2/3,,3억,29,15,남향,20250508,"['25년이상', '중층', '주차가능', '총3층']",37.484899,127.090704
2524549363,단지내상가,월세,1/1,140,"2,000",63,32,북향,20250508,"['10년이내', '융자금없는', '1층', '주차가능']",37.481302,127.095091
2524373406,단지내상가,월세,1/3,120,"3,000",64,32,남향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.484899,127.090704
2524427725,단지내상가,매매,B1/3,,"3억 8,000",31,23,남향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.489472,127.103584
2524284373,복합상가,월세,B2/20,230,"2,500",53,19,,20250507,"['25년이내', '역세권', '지하층', '주차가능']",37.48802,127.101856
2524038628,단지내상가,월세,1/3,130,"3,000",49,24,남향,20250507,"['25년이상', '1층', '주차가능', '총3층']",37.484899,127.090704
2524282135,복합상가,월세,B2/20,250,"5,000",176,74,서향,20250507,"['25년이내', '역세권', '지하층', '주차가능']",37.487328,127.103144
2524036334,복합상가,월세,B2/20,151,"2,000",31,13,북서향,20250507,"['25년이내', '역세권', '지하층', '주차가능']",37.487328,127.103144
2524289082,일반상가,월세,B2/20,160,"2,000",98,39,,20250507,"['25년이내', '역세권', '지하층', '주차가능']",37.487328,127.103144
2524093092,단지내상가,매매,B1/2,,"4억 5,000",21,14,남향,20250507,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.489165,127.100955
2524285814,일반상가,월세,1/5,280,"3,000",47,23,남향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.488372,127.102479
2524286085,복합상가,월세,1/20,230,"3,000",103,58,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.486772,127.103179
2523908378,일반상가,매매,B1/2,,5억,21,15,서향,20250505,"['25년이상', '역세권', '지하층', '주차가능']",37.489165,127.100955
2523698901,단지내상가,매매,B1/1,,6억,50,32,서향,20250503,"['10년이내', '지하층', '관리비20만원이하', '주차가능']",37.481302,127.095091
2523235445,복합상가,매매,1/17,,6억,68,33,남향,20250502,"['25년이내', '역세권', '1층', '주차가능']",37.488458,127.104196
2523290478,단지내상가,월세,1/2,75,"2,000",19,14,북향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.484739,127.08764
2523437601,단지내상가,매매,B1/2,,"4억 5,000",22,15,동향,20250502,"['25년이상', '역세권', '지하층', '총2층']",37.489165,127.100955
2523488767,일반상가,월세,1/5,280,"3,000",41,23,남향,20250502,"['25년이내', '역세권', '1층', '주차가능']",37.488372,127.102479
2523235575,복합상가,월세,1/17,330,"4,000",140,69,남향,20250502,"['25년이내', '역세권', '1층', '주차가능']",37.488458,127.104196
2523025654,단지내상가,월세,1/2,170,"3,000",23,21,남향,20250430,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.485328,127.096525
2523113813,단지내상가,월세,1/20,100,500,20,20,남서향,20250430,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.48802,127.101856
2523147773,일반상가,월세,1/5,147,"1,000",42,42,북서향,20250430,"['25년이내', '융자금없는', '역세권', '1층']",37.488664,127.103198
2523235375,복합상가,매매,1/17,,6억,60,31,북향,20250430,"['25년이내', '역세권', '1층', '주차가능']",37.488458,127.104196
2523048032,단지내상가,월세,1/2,180,"3,000",32,32,동향,20250430,"['15년이내', '융자금없는', '1층', '주차가능']",37.481002,127.090827
2522981718,일반상가,월세,1/1,150,"1,000",42,42,남향,20250429,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.488664,127.103198
2522829881,일반상가,매매,B2/20,,"5억 5,000",118,50,북동향,20250429,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.487328,127.103144
2522962465,단지내상가,월세,1/2,230,"5,000",34,24,동향,20250429,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.489165,127.100955
2522977688,복합상가,매매,B2/20,,"5억 4,000",123,50,남향,20250429,"['25년이내', '역세권', '급매', '지하층']",37.487328,127.103144
2522635010,단지내상가,월세,1/2,180,"3,000",47,32,북동향,20250428,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.481002,127.090827
2522192543,복합상가,월세,B2/20,150,"2,500",95,40,동향,20250425,"['25년이내', '역세권', '지하층', '주차가능']",37.487328,127.103144
2522242163,단지내상가,매매,2/2,,"2억 5,000",24,24,동향,20250425,"['15년이내', '고층', '주차가능', '총2층']",37.481002,127.090827
2522191495,복합상가,월세,1/20,120,"2,000",48,18,동향,20250425,"['25년이내', '역세권', '1층', '주차가능']",37.48802,127.101856
2522141220,일반상가,매매,B2/20,,"4억 5,000",65,23,,20250425,"['25년이내', '역세권', '급매', '지하층']",37.48802,127.101856
2521916357,단지내상가,매매,2/3,,3억,25,15,남서향,20250424,"['25년이상', '중층', '주차가능', '총3층']",37.484899,127.090704
2521911238,단지내상가,매매,2/3,,"6억 5,000",73,51,동향,20250424,"['25년이상', '역세권', '중층', '주차가능']",37.489472,127.103584
2521627273,단지내상가,월세,2/2,100,"1,000",24,24,남향,20250423,"['25년이상', '융자금없는', '역세권', '고층']",37.489165,127.100955
2520752269,복합상가,월세,1/5,280,"3,000",23,23,남향,20250418,"['25년이내', '역세권', '1층', '주차가능']",37.488372,127.102479
2520489476,단지내상가,월세,1/3,92,"1,000",36,25,남향,20250417,"['25년이상', '융자금없는', '역세권', '1층']",37.489472,127.103584
2520070479,단지내상가,매매,B1/3,,4억,27,21,남향,20250415,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.489472,127.103584
2520160027,일반상가,월세,2/7,550,1억,197,197,남향,20250415,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.488376,127.102772
2519883741,단지내상가,월세,2/2,100,"1,000",34,24,남향,20250414,"['25년이상', '융자금없는', '역세권', '고층']",37.489165,127.100955
2519885163,단지내상가,매매,B2/20,,5억,166,70,남향,20250414,"['25년이내', '역세권', '지하층', '주차가능']",37.487328,127.103144
2519275653,단지내상가,월세,B1/3,40,"2,000",13,13,북향,20250411,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.484899,127.090704
2518643523,일반상가,월세,2/2,280,"4,000",126,98,북향,20250409,"['10년이내', '고층', '주차가능', '총2층']",37.484017,127.09431
2518742358,일반상가,월세,1/1,150,"2,000",62,32,북향,20250409,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.481302,127.095091
