articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524686296,일반상가,월세,B1/4,320,1억,94,76,동향,20250509,"['25년이상', '융자금적은', '지하층', '주차가능']",37.522071,127.021524
2524646896,일반상가,월세,1/6,500,"5,000",103,76,북향,20250509,"['2년이내', '융자금적은', '1층', '주차가능']",37.519639,127.025955
2524626637,일반상가,월세,3/5,180,"2,000",69,69,남동향,20250509,"['25년이상', '중층', '주차가능', '총5층']",37.522214,127.020898
2524621851,일반상가,월세,1/5,200,"3,000",26,26,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.523162,127.025528
2524617081,일반상가,월세,1/6,400,"5,000",55,55,남향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.527398,127.030976
2524626193,일반상가,월세,1/4,410,"5,000",132,132,남향,20250509,"['25년이상', '융자금적은', '역세권', '1층']",37.517702,127.0201
2524611247,일반상가,월세,2/3,180,"3,000",45,45,서향,20250509,"['10년이내', '역세권', '중층', '천장에어컨']",37.525646,127.036625
2524626720,일반상가,월세,4/4,167,"2,000",48,48,남향,20250509,"['25년이내', '역세권', '고층', '총4층']",37.524835,127.036994
2524654048,일반상가,월세,B1/4,400,"6,000",108,105,서향,20250509,"['25년이상', '지하층', '주차가능', '천장에어컨']",37.52201,127.021761
2524664373,일반상가,월세,1/3,"8,500",20억,1664,1664,동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.526634,127.033035
2524661771,일반상가,월세,2/4,500,"7,000",93,82,북서향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.52483,127.025438
2524662123,일반상가,월세,3/6,"3,000",7억,664,512,동향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.523342,127.038141
2524662606,일반상가,월세,2/4,550,1억,194,194,북서향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.52483,127.025438
