articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524324500,일반상가,월세,2/5,600,"6,000",137,137,남동향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.507341,127.038771
2524626973,일반상가,월세,1/2,190,"2,000",26,26,북서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.505402,127.033663
2524628126,일반상가,월세,B2/11,550,"7,000",351,351,북서향,20250509,"['10년이내', '역세권', '지하층', '주차가능']",37.505056,127.047294
2524626942,일반상가,월세,4/5,300,"1,000",128,128,남동향,20250509,"['25년이상', '역세권', '고층', '총5층']",37.49711,127.037435
2524630471,일반상가,월세,1/4,105,"1,500",50,44,남향,20250509,"['25년이내', '1층', '관리비10만원이하', '엘리베이터']",37.494067,127.04324
2524626745,일반상가,월세,B1/6,140,"2,000",119,115,북서향,20250509,"['25년이상', '지하층', '북서향']",37.491907,127.032172
2524626548,일반상가,월세,B1/6,210,"3,000",132,99,남향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.509245,127.043827
2524621286,일반상가,월세,1/4,200,"3,000",70,60,남향,20250509,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.504971,127.039676
2524607043,단지내상가,월세,B2/10,"5,250",6억,871,871,서향,20250509,"['25년이상', '융자금적은', '역세권', '지하층']",37.500377,127.026932
2524611857,일반상가,월세,6/10,800,1억,190,190,남향,20250509,"['15년이내', '역세권', '중층', '주차가능']",37.499052,127.028533
2524626676,일반상가,월세,2/2,350,"4,000",92,61,북동향,20250509,"['25년이상', '역세권', '고층', '총2층']",37.505107,127.03382
2524611152,일반상가,월세,3/4,650,"1억 5,000",122,95,남향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.502423,127.026537
2524617648,일반상가,월세,B1/3,130,"1,500",60,60,서향,20250509,"['25년이상', '지하층', '총3층', '현관보안']",37.494684,127.033322
2524626871,일반상가,월세,B1/4,100,"3,000",113,113,남서향,20250509,"['25년이상', '지하층', '총4층', '남서향']",37.493596,127.038681
2524641251,일반상가,월세,B1/8,250,"4,000",178,124,남향,20250509,"['25년이상', '지하층', '남향']",37.490596,127.032634
