articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524634018,복합상가,월세,3/3,310,"5,000",250,250,남동향,20250509,"['25년이내', '융자금적은', '고층', '주차가능']",37.470253,127.118473
2524486313,일반상가,월세,B1/2,380,1억,200,200,남향,20250508,"['2년이내', '융자금없는', '테라스', '지하층']",37.470515,127.104666
2524451875,일반상가,월세,3/4,700,1억,363,296,북향,20250508,"['10년이내', '고층', '주차가능', '엘리베이터']",37.474253,127.11439
2524200468,일반상가,월세,B1/2,180,"3,000",75,62,남향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.47198,127.105489
2524055020,일반상가,월세,1/3,80,"1,000",49,29,북동향,20250507,"['25년이내', '융자금없는', '1층', '총3층']",37.469253,127.118844
2523203140,일반상가,월세,2/2,500,"5,000",281,210,서향,20250430,"['10년이내', '융자금적은', '고층', '주차가능']",37.471751,127.107098
2521511740,일반상가,월세,1/4,"2,700","4억 6,000",925,724,남향,20250422,"['10년이내', '1층', '주차가능', '엘리베이터']",37.474223,127.11463
2521120351,일반상가,매매,1/3,,70억,575,241,동향,20250421,"['10년이내', '1층', '주차가능', '총3층']",37.471171,127.118457
2520909567,일반상가,월세,4/4,280,"5,000",161,92,남향,20250419,"['10년이내', '고층', '주차가능', '총4층']",37.474253,127.11439
2520532276,일반상가,월세,3/4,500,"6,000",209,156,남향,20250417,"['10년이내', '고층', '주차가능', '엘리베이터']",37.474223,127.11463
2520569479,일반상가,월세,4/4,270,"5,000",299,93,북향,20250417,"['10년이내', '테라스', '고층', '주차가능']",37.474253,127.11439
2519793472,일반상가,월세,1/4,"1,300",3억,390,314,남향,20250414,"['10년이내', '1층', '세대당 1.5대이상', '엘리베이터']",37.474223,127.11463
2519792237,일반상가,월세,2/4,900,1억,323,323,남향,20250414,"['2년이내', '테라스', '중층', '주차가능']",37.474223,127.11463
2519830873,일반상가,월세,1/4,650,"1억 5,000",391,173,남향,20250414,"['10년이내', '1층', '주차가능', '엘리베이터']",37.474253,127.11439
2518851982,단지내상가,월세,B1/2,330,1억,200,180,남향,20250410,"['2년이내', '융자금없는', '테라스', '지하층']",37.470515,127.104666
2518992551,일반상가,매매,1/10,,"15억 6,000",125,59,남향,20250410,"['10년이내', '1층', '남향']",37.471891,127.10859
2518650802,일반상가,매매,1/3,,3억,47,35,서향,20250409,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.469253,127.118844
