articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524613927,단지내상가,매매,1/2,,"9억 5,000",38,22,북동향,20250509,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.490922,127.075108
2524627128,일반상가,월세,1/4,255,"5,000",82,82,남서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.490647,127.081517
2524474435,단지내상가,매매,2/2,,14억,53,38,북향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.482116,127.081008
2524594910,단지내상가,월세,1/2,300,"5,000",43,24,북동향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.490922,127.075108
2524555614,단지내상가,월세,1/2,300,"5,000",58,24,북동향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.490922,127.075108
2524594764,단지내상가,월세,1/2,310,"5,000",45,25,북동향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.490922,127.075108
2524407502,단지내상가,매매,B1/2,,"3억 8,000",10,5,남향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.482116,127.081008
2524541779,일반상가,월세,B1/5,140,"2,000",149,149,남향,20250508,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.490812,127.08696
2524433398,단지내상가,매매,1/2,,13억,42,28,남동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.484854,127.08529
2524552775,일반상가,월세,1/5,200,"3,000",82,82,남향,20250508,"['25년이상', '1층', '총5층', '남향']",37.491032,127.087698
2524418081,단지내상가,매매,1/2,,12억,25,18,남향,20250508,"['25년이상', '1층', '주차가능', '총2층']",37.480505,127.082523
2524364011,단지내상가,월세,1/2,230,"5,000",63,36,북향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.490922,127.075108
2524553074,일반상가,월세,1/5,260,"4,000",39,39,남서향,20250508,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.491208,127.087635
2524547399,일반상가,월세,1/4,140,"3,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.491099,127.082437
2524524060,일반상가,월세,1/5,200,"3,000",79,78,북향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.491032,127.087698
2524347286,단지내상가,월세,1/2,400,"5,000",60,35,북향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.490922,127.075108
2524586291,단지내상가,매매,1/3,,10억,20,13,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.482116,127.081008
2524545627,일반상가,월세,1/42,160,"3,000",40,40,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.490648,127.086406
