articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524672087,단지내상가,월세,1/10,600,1억,155,103,북향,20250509,"['15년이내', '1층', '주차가능', '북향']",37.47474,127.104808
2524658308,단지내상가,매매,1/10,,"2억 5,000",50,25,북서향,20250509,"['15년이내', '1층', '급매', '북서향']",37.47474,127.104808
2524546901,일반상가,월세,1/5,123,"3,000",54,32,,20250508,"['10년이내', '1층', '주차가능', '엘리베이터']",37.471967,127.095378
2524213944,단지내상가,월세,1/5,200,"3,000",72,38,서향,20250507,"['10년이내', '융자금적은', '1층', '주차가능']",37.472121,127.096511
2524102723,일반상가,매매,3/5,,"9억 5,000",227,116,북향,20250507,"['10년이내', '중층', '주차가능', '총5층']",37.472121,127.096511
2524045441,일반상가,월세,1/10,150,"3,000",41,41,남향,20250507,"['10년이내', '융자금없는', '1층', '관리비20만원이하']",37.473814,127.107297
2524027539,일반상가,월세,1/10,230,"3,000",81,40,북향,20250507,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.474399,127.104058
2524066408,일반상가,매매,1/10,,11억,114,65,북서향,20250507,"['15년이내', '1층', '주차가능', '북서향']",37.473596,127.103031
2524037863,일반상가,월세,1/5,250,"3,000",75,38,북향,20250507,"['10년이내', '1층', '주차가능', '총5층']",37.472025,127.096009
2523856117,일반상가,월세,1/10,210,"3,000",119,56,남향,20250505,"['10년이내', '융자금없는', '1층', '관리비20만원이하']",37.473814,127.107297
2523794120,단지내상가,월세,1/10,120,"2,000",57,29,남동향,20250503,"['15년이내', '1층', '주차가능', '남동향']",37.474399,127.104058
2523403824,일반상가,월세,1/10,260,"5,200",114,50,남동향,20250502,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.474017,127.103531
2523404403,일반상가,월세,1/10,210,"4,000",88,39,남동향,20250502,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.474017,127.103531
2523391263,일반상가,월세,1/10,100,"2,000",38,26,남향,20250502,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.47474,127.104808
2523405037,일반상가,월세,1/10,200,"4,000",86,38,북서향,20250502,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.474017,127.103531
2523039984,단지내상가,월세,1/10,108,"2,000",67,38,남향,20250430,"['15년이내', '1층', '주차가능', '남향']",37.473596,127.103031
2523133825,일반상가,매매,1/10,,"6억 9,000",90,72,동향,20250430,"['15년이내', '1층', '급매', '관리비20만원이하']",37.47474,127.104808
2523039903,단지내상가,월세,1/10,365,"4,000",175,87,동향,20250430,"['10년이내', '1층', '주차가능', '동향']",37.472618,127.102955
2523108919,단지내상가,매매,B2/1,,"9억 5,000",36,30,동향,20250430,"['10년이내', '지하층', '동향', '관리비30만원이하']",37.471276,127.088689
2523104855,단지내상가,매매,1/10,,"7억 3,000",75,38,북서향,20250430,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.474579,127.104386
2522903134,일반상가,매매,3/5,,4억,78,47,동향,20250429,"['10년이내', '중층', '주차가능', '총5층']",37.472025,127.096009
2522814341,복합상가,월세,1/10,600,1억,155,102,북향,20250429,"['15년이내', '1층', '북향']",37.474855,127.105163
2522902316,복합상가,월세,1/9,170,"2,000",67,35,서향,20250429,"['10년이내', '융자금없는', '1층', '주차가능']",37.474717,127.107023
2522519095,일반상가,월세,1/10,220,"4,000",98,43,북서향,20250428,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.474017,127.103531
2522736587,단지내상가,매매,1/10,,8억,94,48,남향,20250428,"['15년이내', '1층', '주차가능', '남향']",37.474399,127.104058
2522531572,일반상가,월세,1/10,320,"6,000",135,60,남동향,20250428,"['4년이내', '1층', '주차가능', '남동향']",37.474017,127.103531
2522344167,단지내상가,월세,1/9,210,"3,000",36,36,서향,20250426,"['10년이내', '융자금적은', '1층', '서향']",37.474717,127.107023
2522416866,일반상가,매매,5/5,,7억,227,116,,20250426,"['10년이내', '고층', '주차가능', '총5층']",37.472121,127.096511
2522214224,단지내상가,매매,1/1,,14억,39,39,서향,20250425,"['15년이내', '1층', '주차가능', '서향']",37.470768,127.090858
2522156630,단지내상가,매매,1/1,,8억,40,31,동향,20250425,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.474673,127.101428
2522137924,단지내상가,월세,1/9,160,"3,000",69,36,서향,20250425,"['10년이내', '1층', '주차가능', '서향']",37.474717,127.107023
2522240631,단지내상가,월세,1/10,450,"5,000",233,118,남향,20250425,"['15년이내', '융자금없는', '1층', '주차가능']",37.474399,127.104058
2522139136,단지내상가,월세,1/10,220,"3,000",88,45,북서향,20250425,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.474399,127.104058
2522117671,단지내상가,매매,B1/10,,"5억 8,000",94,47,남향,20250425,"['15년이내', '지하층', '관리비20만원이하', '주차가능']",37.474993,127.103794
2522164840,단지내상가,매매,1/10,,11억,85,53,북향,20250425,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.473072,127.102441
2522236640,단지내상가,월세,1/10,110,"2,000",38,25,,20250425,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.47474,127.104808
2522166388,단지내상가,월세,1/10,590,"1억 5,000",136,78,북향,20250425,"['15년이내', '1층', '주차가능', '북향']",37.473596,127.103031
2522165515,단지내상가,월세,1/10,520,"7,000",295,186,서향,20250425,"['15년이내', '1층', '주차가능', '서향']",37.47533,127.10448
2522171963,단지내상가,월세,1/10,220,"4,000",107,68,동향,20250425,"['15년이내', '1층', '주차가능', '동향']",37.47533,127.10448
2522160803,단지내상가,매매,2/10,,23억,280,140,서향,20250425,"['10년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.472618,127.102955
2521838326,단지내상가,월세,B1/1,500,1억,112,86,남향,20250424,"['15년이내', '지하층', '주차가능', '남향']",37.474133,127.094087
2521932096,단지내상가,매매,2/2,,"3억 5,000",63,42,서향,20250424,"['15년이내', '고층', '관리비10만원이하', '주차가능']",37.474867,127.109841
2521791607,일반상가,월세,1/9,150,"3,000",85,44,,20250423,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.474409,127.107105
2521778968,일반상가,월세,1/5,260,"6,200",119,70,북향,20250423,"['10년이내', '1층', '주차가능', '총5층']",37.471967,127.095378
2521460181,단지내상가,월세,1/10,130,"2,000",80,40,동향,20250422,"['15년이내', '1층', '동향']",37.47474,127.104808
2521534371,일반상가,월세,1/10,170,"3,000",50,38,북서향,20250422,"['15년이내', '융자금적은', '1층', '관리비20만원이하']",37.474282,127.105391
2521613863,단지내상가,월세,1/10,220,"5,000",102,45,남향,20250422,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.474017,127.103531
2521614645,단지내상가,월세,1/10,770,"1억 5,000",335,150,북향,20250422,"['4년이내', '1층', '주차가능', '북향']",37.474017,127.103531
2521539018,단지내상가,월세,1/10,200,"3,000",82,38,북서향,20250422,"['15년이내', '1층', '북서향']",37.474282,127.105391
2521456504,단지내상가,월세,1/10,330,"5,000",138,81,북서향,20250422,"['15년이내', '1층', '북서향']",37.474282,127.105391
2521536681,일반상가,월세,1/10,330,"5,000",100,81,북서향,20250422,"['15년이내', '융자금적은', '1층', '주차가능']",37.474282,127.105391
2520785599,단지내상가,월세,1/10,150,"2,000",72,32,동향,20250418,"['15년이내', '융자금없는', '1층', '관리비20만원이하']",37.47474,127.104808
2520615915,복합상가,매매,1/10,,"8억 3,000",92,45,서향,20250417,"['10년이내', '1층', '급매', '주차가능']",37.474097,127.107177
2520261272,단지내상가,월세,B1/1,250,"5,000",57,44,남향,20250416,"['15년이내', '지하층', '주차가능', '남향']",37.474133,127.094087
2519737249,단지내상가,월세,B2/1,235,"3,000",57,40,남동향,20250414,"['15년이내', '융자금없는', '지하층', '관리비10만원이하']",37.471276,127.088689
