articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524606378,일반상가,월세,B1/4,350,"7,000",113,50,북향,20250509,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.522691,127.042445
2524614229,일반상가,월세,1/5,850,"1억 5,000",103,103,,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.526715,127.046684
2524608265,일반상가,월세,1/5,180,"3,000",33,26,북동향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.522269,127.046118
2524626413,일반상가,월세,1/7,430,"5,000",53,33,북동향,20250509,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.521307,127.057409
2524612229,일반상가,월세,B1/3,"1,200",2억,224,224,북향,20250509,"['25년이상', '지하층', '주차가능', '총3층']",37.528214,127.048541
2524607339,일반상가,월세,B2/6,200,"2,000",105,105,동향,20250509,"['25년이상', '융자금없는', '지하층', '동향']",37.525494,127.047486
2524627161,일반상가,월세,1/6,"1,150","2억 2,000",178,178,북향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.523997,127.039929
2524652585,일반상가,월세,B1/4,400,"4,500",232,213,남향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.523374,127.055887
2524626213,일반상가,월세,1/4,350,"5,000",107,60,남향,20250509,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.518887,127.041302
2524621872,일반상가,월세,1/5,"2,500",4억,294,280,남향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.524023,127.042796
2524531673,일반상가,월세,B1/6,"1,150","2억 5,000",333,333,서향,20250509,"['25년이내', '역세권', '지하층', '주차가능']",37.524147,127.041432
2524626277,일반상가,월세,1/5,400,"7,000",85,68,남향,20250509,"['10년이내', '1층', '주차가능', '총5층']",37.522375,127.044337
2524611587,일반상가,월세,1/4,"3,000",3억,385,385,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.522241,127.048753
2524652712,일반상가,월세,3/6,450,"6,000",123,105,남동향,20250509,"['10년이내', '역세권', '중층', '주차가능']",37.51845,127.041866
2524613469,일반상가,월세,4/4,290,"5,000",223,102,남향,20250509,"['25년이내', '융자금적은', '고층', '주차가능']",37.522039,127.04186
2524626885,일반상가,월세,B1/5,300,"3,000",153,110,남동향,20250509,"['10년이내', '지하층', '총5층', '남동향']",37.522592,127.044967
2524611276,일반상가,월세,1/6,800,2억,121,121,동향,20250509,"['25년이상', '1층', '주차가능', '동향']",37.525494,127.047486
2524610253,일반상가,월세,6/6,650,"1억 3,000",114,114,남향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.526476,127.043732
2524611762,복합상가,매매,3/6,,28억,164,82,남서향,20250509,"['25년이내', '중층', '주차가능', '엘리베이터']",37.525288,127.047262
2524613802,일반상가,월세,3/6,500,"1억 5,000",122,122,,20250509,"['25년이상', '중층', '주차가능']",37.527045,127.046211
2524610168,일반상가,월세,1/3,300,"3,000",94,82,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.522173,127.040781
2524305409,일반상가,월세,B1/2,500,"5,000",83,83,남향,20250508,"['25년이상', '지하층', '총2층', '남향']",37.522174,127.040643
2524573227,일반상가,월세,1/4,850,2억,123,102,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.525239,127.040449
2524573936,일반상가,월세,4/6,"2,000",3억,385,275,서향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.527131,127.0458
2524475098,일반상가,월세,1/2,"1,300","1억 5,000",278,278,남동향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.52251,127.042157
2524482348,일반상가,월세,B1/5,350,"4,000",134,112,서향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.518802,127.040936
2524416818,일반상가,월세,B1/5,200,"3,000",70,70,동향,20250508,"['4년이내', '지하층', '관리비20만원이하', '주차가능']",37.526039,127.051213
2524436946,일반상가,월세,1/4,"1,800",1억,441,441,남향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.523195,127.046366
2524386011,일반상가,월세,3/5,450,"8,000",134,119,서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.524595,127.043015
2524439606,일반상가,월세,2/6,340,"3,000",76,66,북동향,20250508,"['25년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.523207,127.048899
2524477870,일반상가,월세,B1/4,200,"3,000",121,121,북서향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.522194,127.047907
2524333836,일반상가,월세,1/6,"4,000",5억,374,295,북향,20250508,"['25년이내', '융자금없는', '테라스', '역세권']",37.527131,127.0458
2523345868,일반상가,월세,3/5,"1,000",1억,258,232,남향,20250508,"['25년이내', '융자금없는', '중층', '주차가능']",37.527242,127.046454
2524311818,일반상가,월세,5/9,"2,360",3억,406,356,남향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.519276,127.050525
2524305202,일반상가,월세,1/6,"1,250",2억,120,101,북향,20250508,"['2년이내', '1층', '주차가능', '엘리베이터']",37.522461,127.040588
2524307333,일반상가,월세,B1/6,"1,400",2억,366,303,북향,20250508,"['2년이내', '지하층', '주차가능', '엘리베이터']",37.522461,127.040588
2524308360,일반상가,월세,B1/6,550,1억,169,122,남향,20250508,"['25년이상', '지하층', '주차가능', '엘리베이터']",37.522764,127.041372
2524525711,일반상가,월세,1/5,500,1억,108,108,북서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.524744,127.040859
2524571639,일반상가,월세,1/3,"1,200","1억 5,000",224,214,남향,20250508,"['25년이상', '테라스', '1층', '주차가능']",37.528214,127.048541
2524525741,일반상가,월세,B1/4,"2,000",2억,486,486,남향,20250508,"['15년이내', '지하층', '주차가능', '엘리베이터']",37.526906,127.04914
2524571783,일반상가,월세,1/3,800,1억,120,112,남향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.528214,127.048541
2524548374,일반상가,월세,1/5,850,2억,129,129,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.526797,127.041324
2524526626,일반상가,월세,2/5,420,1억,207,178,남향,20250508,"['25년이내', '중층', '주차가능', '엘리베이터']",37.525377,127.05162
2524351993,일반상가,매매,1/3,,45억,74,74,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.527264,127.040762
2524487491,일반상가,월세,B2/5,260,"5,000",130,105,서향,20250508,"['10년이내', '지하층', '주차가능', '엘리베이터']",37.522375,127.044337
2524453889,일반상가,월세,1/5,180,"3,000",28,26,동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.522269,127.046118
2524374942,일반상가,월세,1/15,700,"1억 5,000",136,75,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.522193,127.05532
2524487551,일반상가,월세,B1/4,700,1억,180,180,남향,20250508,"['10년이내', '융자금없는', '지하층', '주차가능']",37.521363,127.044093
2524398661,일반상가,월세,B1/4,500,1억,185,165,동향,20250508,"['15년이내', '역세권', '지하층', '주차가능']",37.51914,127.044274
2524476434,일반상가,월세,1/3,"1,500",2억,224,188,남향,20250508,"['25년이상', '1층', '주차가능', '천장에어컨']",37.528214,127.048541
2524489548,일반상가,월세,1/6,"1,350",5억,169,132,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.522023,127.048275
2524306075,일반상가,월세,3/4,400,"3,000",89,89,서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.522904,127.040284
2524307679,일반상가,월세,1/2,700,1억,246,246,남동향,20250508,"['25년이상', '1층', '주차가능', '총2층']",37.523425,127.045455
2524309427,일반상가,월세,1/4,520,1억,160,160,남향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.527286,127.046269
2524312974,일반상가,월세,1/4,323,"3,000",33,30,서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.521881,127.039789
2524306855,일반상가,월세,B2/5,400,"7,000",153,132,남향,20250508,"['25년이내', '지하층', '주차가능', '엘리베이터']",37.524758,127.043977
2524306494,일반상가,월세,1/4,500,"2,000",160,160,동향,20250508,"['25년이내', '1층', '주차가능', '총4층']",37.522532,127.042944
2524333577,일반상가,월세,1/5,"1,600","1억 5,000",361,330,북향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.524977,127.048818
2524365750,일반상가,월세,1/4,850,2억,98,98,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.525239,127.040449
2524383516,단지내상가,월세,1/4,500,"8,000",82,59,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.522309,127.057751
2524333889,일반상가,월세,1/4,"3,500",5억,707,707,서향,20250508,"['25년이내', '테라스', '1층', '주차가능']",37.527455,127.047801
2524364959,일반상가,월세,1/4,"2,350",3억,257,247,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.522241,127.048753
