articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524673540,일반상가,매매,3/10,,"3억 3,000",58,58,남향,20250509,"['15년이내', '지상층(1층제외)', '주차가능', '남향']",37.564782,127.174345
2524603294,일반상가,월세,2/10,300,"3,000",153,153,동향,20250509,"['15년이내', '지상층(1층제외)', '주차가능', '동향']",37.565695,127.173723
2524667393,일반상가,월세,2/5,170,"3,000",73,73,북향,20250509,"['10년이내', '중층', '주차가능', '총5층']",37.572282,127.174883
2524627338,일반상가,매매,4/5,,"4억 2,000",137,68,남향,20250509,"['10년이내', '고층', '엘리베이터', '총5층']",37.572282,127.174883
2524451863,일반상가,매매,4/5,,"6억 5,000",91,69,남향,20250508,"['4년이내', '고층', '주차가능', '총5층']",37.572606,127.176294
2524421977,단지내상가,월세,2/5,500,"6,000",250,167,북동향,20250508,"['10년이내', '융자금적은', '중층', '주차가능']",37.572211,127.174869
2524414944,일반상가,월세,5/5,120,"2,000",52,52,북향,20250508,"['10년이내', '고층', '주차가능', '총5층']",37.572008,127.173952
2524460240,단지내상가,매매,1/1,,6억,39,39,남향,20250508,"['2년이내', '1층', '주차가능', '남향']",37.573542,127.174699
2524441030,단지내상가,월세,1/2,130,"2,000",35,26,서향,20250508,"['15년이내', '융자금없는', '역세권', '1층']",37.559596,127.173112
2524409114,일반상가,월세,2/5,250,"3,000",166,83,북동향,20250508,"['10년이내', '융자금적은', '중층', '주차가능']",37.572279,127.175191
2524429140,일반상가,매매,2/5,,6억,71,71,북향,20250508,"['10년이내', '중층', '관리비20만원이하', '주차가능']",37.572097,127.174694
2524410535,일반상가,월세,4/5,550,"8,000",392,188,북향,20250508,"['2년이내', '고층', '주차가능', '총5층']",37.572467,127.175958
2524427111,단지내상가,월세,1/2,125,"3,000",40,25,북향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.566722,127.174733
2524489468,일반상가,매매,4/5,,"8억 4,000",275,135,남향,20250508,"['10년이내', '고층', '주차가능', '총5층']",37.572282,127.174883
2524411368,일반상가,월세,1/5,280,"5,000",76,41,북향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.572021,127.174024
2524475073,일반상가,월세,1/10,160,"3,000",28,28,동향,20250508,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.565711,127.173194
2524439619,일반상가,월세,4/5,160,"3,000",149,73,남향,20250508,"['10년이내', '고층', '주차가능', '총5층']",37.572282,127.174883
2524589403,단지내상가,매매,1/1,,"6억 5,000",43,34,북향,20250508,"['10년이내', '1층', '주차가능', '북향']",37.571538,127.176219
2524412933,단지내상가,월세,1/1,170,"3,000",50,50,남향,20250508,"['2년이내', '1층', '주차가능', '남향']",37.573542,127.174699
2524438859,일반상가,월세,5/5,120,"2,000",96,54,북향,20250508,"['10년이내', '고층', '주차가능', '총5층']",37.572576,127.172938
2524484698,일반상가,월세,1/10,200,"3,000",23,23,동향,20250508,"['15년이내', '1층', '주차가능', '동향']",37.565376,127.17413
2524353309,일반상가,매매,5/5,,"5억 2,000",166,83,남향,20250508,"['10년이내', '고층', '주차가능', '총5층']",37.572255,127.175178
2524443819,단지내상가,월세,1/1,180,"3,000",35,35,북서향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.571538,127.176219
2524442951,일반상가,월세,B1/5,600,1억,794,794,남향,20250508,"['4년이내', '역세권', '지하층', '주차가능']",37.55751,127.173522
2524347349,일반상가,월세,1/2,90,"2,000",66,41,남향,20250508,"['25년이내', '1층', '주차가능', '천장에어컨']",37.563791,127.176525
2524452530,일반상가,월세,1/5,220,"3,000",60,30,북향,20250508,"['10년이내', '1층', '주차가능', '총5층']",37.572097,127.174694
2524449277,단지내상가,월세,1/1,200,"5,000",36,36,남향,20250508,"['2년이내', '1층', '주차가능', '남향']",37.573542,127.174699
2524453229,일반상가,월세,1/5,190,"3,000",34,34,남향,20250508,"['10년이내', '1층', '주차가능', '총5층']",37.572282,127.174883
2524455617,일반상가,월세,1/5,500,"6,000",134,67,북향,20250508,"['4년이내', '1층', '주차가능', '총5층']",37.572691,127.176172
2524592023,일반상가,월세,3/5,200,"4,000",67,67,북향,20250508,"['4년이내', '중층', '주차가능', '총5층']",37.572589,127.176248
2524489721,일반상가,월세,2/2,480,"7,000",205,205,북향,20250508,"['10년이내', '고층', '주차가능', '총2층']",37.571918,127.174046
2524451545,일반상가,매매,4/5,,"8억 4,000",135,135,북서향,20250508,"['10년이내', '고층', '주차가능', '총5층']",37.572282,127.174883
2524277367,단지내상가,매매,1/1,,"5억 3,000",40,40,남향,20250507,"['2년이내', '1층', '관리비10만원이하', '주차가능']",37.572696,127.175076
2524278510,단지내상가,매매,1/1,,3억,43,43,남향,20250507,"['2년이내', '1층', '급매', '관리비10만원이하']",37.572701,127.174559
2523971726,일반상가,월세,1/10,230,"3,000",34,34,남향,20250507,"['15년이내', '융자금없는', '1층', '관리비20만원이하']",37.564958,127.174622
2523976944,일반상가,월세,1/10,180,"2,500",30,30,서향,20250507,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.565882,127.173554
2524136990,단지내상가,매매,1/2,,"4억 3,000",42,32,북향,20250507,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.559979,127.180795
2524212412,일반상가,매매,3/5,,7억,234,117,북향,20250507,"['10년이내', '중층', '주차가능', '총5층']",37.572298,127.175336
2524226075,일반상가,월세,2/5,160,"3,000",68,68,북향,20250507,"['10년이내', '중층', '주차가능', '총5층']",37.572008,127.173952
2524225423,일반상가,월세,2/5,160,"3,000",65,65,북향,20250507,"['10년이내', '중층', '주차가능', '총5층']",37.572008,127.173952
2523983684,일반상가,매매,3/5,,"8억 8,000",292,146,북향,20250507,"['10년이내', '중층', '주차가능', '총5층']",37.572257,127.175169
2524171647,일반상가,월세,1/5,200,"3,000",67,33,북향,20250507,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.572601,127.176127
2524238766,단지내상가,매매,1/1,,"4억 8,000",46,46,북동향,20250507,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.563791,127.176525
2524227194,단지내상가,월세,1/2,180,"3,000",40,40,동향,20250507,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.570561,127.169713
2524233274,단지내상가,월세,1/1,100,"2,000",30,30,동향,20250507,"['2년이내', '융자금없는', '1층', '관리비10만원이하']",37.563791,127.176525
2524214819,일반상가,월세,5/5,180,"3,000",64,64,북향,20250507,"['10년이내', '고층', '주차가능', '천장에어컨']",37.57269,127.176259
2524310087,단지내상가,월세,1/2,85,"2,000",28,28,남서향,20250507,"['25년이내', '1층', '주차가능', '총2층']",37.56938,127.176288
2524166556,일반상가,매매,5/5,,"9억 5,000",132,132,북향,20250507,"['10년이내', '고층', '관리비20만원이하', '주차가능']",37.571999,127.173716
2524281612,일반상가,월세,2/10,300,"3,000",149,74,남향,20250507,"['2년이내', '지상층(1층제외)', '주차가능', '남향']",37.564782,127.174345
2524102104,일반상가,매매,1/5,,"9억 5,000",85,42,남동향,20250507,"['10년이내', '1층', '총5층', '남동향']",37.572097,127.174694
2524029903,일반상가,월세,1/2,125,"3,000",25,25,북향,20250506,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.566722,127.174733
2524028399,단지내상가,월세,2/2,60,"1,000",28,28,서향,20250506,"['25년이내', '고층', '주차가능', '총2층']",37.567646,127.171992
2523940671,일반상가,매매,1/10,,"7억 3,000",25,25,남향,20250506,"['15년이내', '1층', '주차가능', '남향']",37.565246,127.174362
2523973023,복합상가,월세,1/10,210,"3,000",29,29,동향,20250506,"['15년이내', '융자금없는', '1층', '동향']",37.565376,127.17413
2523948047,단지내상가,월세,1/2,130,"2,000",26,26,동향,20250506,"['15년이내', '역세권', '1층', '주차가능']",37.559596,127.173112
2523917513,일반상가,매매,1/5,,"9억 5,000",87,42,북서향,20250505,"['10년이내', '1층', '총5층', '북서향']",37.572097,127.174694
2523687944,일반상가,월세,3/5,600,"1억 2,000",230,179,남향,20250503,"['2년이내', '역세권', '중층', '주차가능']",37.557518,127.173909
2523814625,일반상가,월세,1/5,220,"3,000",79,38,북향,20250503,"['2년이내', '1층', '관리비10만원이하', '주차가능']",37.572429,127.17589
2523731845,일반상가,월세,1/5,500,"6,000",115,59,북향,20250503,"['2년이내', '1층', '주차가능', '엘리베이터']",37.572573,127.175977
2523531649,일반상가,매매,5/5,,5억,70,70,북향,20250502,"['10년이내', '고층', '관리비20만원이하', '주차가능']",37.572014,127.173792
2523452353,일반상가,월세,2/5,250,"4,000",166,83,북향,20250502,"['10년이내', '융자금없는', '중층', '총5층']",37.572408,127.175146
2523535248,단지내상가,매매,1/2,,7억,41,41,동향,20250502,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.570561,127.169713
2523506808,일반상가,월세,2/5,"1,550","3억 5,000",563,440,남향,20250502,"['2년이내', '역세권', '중층', '주차가능']",37.557518,127.173909
2523536661,일반상가,월세,4/5,550,"8,000",392,188,북향,20250502,"['2년이내', '고층', '주차가능', '총5층']",37.572479,127.175961
2523427320,일반상가,월세,전체층/10,130,"2,000",117,58,남향,20250502,"['15년이내', '주차가능', '엘리베이터', '남향']",37.564782,127.174345
2523382733,일반상가,매매,1/5,,"11억 8,000",134,67,남동향,20250502,"['4년이내', '1층', '주차가능', '총5층']",37.572613,127.176463
2523506962,일반상가,월세,3/5,"1,620",3억,650,650,남향,20250502,"['2년이내', '역세권', '중층', '주차가능']",37.557793,127.17353
2523573194,단지내상가,월세,1/2,140,"3,000",27,27,동향,20250502,"['25년이내', '융자금적은', '1층', '관리비10만원이하']",37.567315,127.176322
