articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524650477,일반상가,월세,1/5,140,"2,000",31,31,남향,20250509,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.559656,127.15372
2524658470,일반상가,월세,1/3,150,"3,000",27,21,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.559346,127.168773
2524629555,일반상가,월세,3/4,170,"2,000",107,105,동향,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.559042,127.170827
2524629502,일반상가,월세,1/5,90,"1,000",30,28,남향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.560458,127.151612
2524629518,일반상가,월세,1/5,360,"4,000",60,49,북서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.558408,127.169318
2524629600,일반상가,월세,1/4,200,"2,000",83,72,남향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.560335,127.155086
2524459702,일반상가,월세,1/4,370,"5,000",91,91,동향,20250508,"['4년이내', '역세권', '1층', '관리비10만원이하']",37.558512,127.168837
2524331930,단지내상가,매매,2/4,,7억,72,30,북동향,20250508,"['10년이내', '중층', '총4층', '북동향']",37.558958,127.147102
2524301260,단지내상가,월세,1/4,160,"3,000",21,21,서향,20250508,"['10년이내', '1층', '주차가능', '총4층']",37.558958,127.147102
2524380357,일반상가,월세,1/5,90,"1,000",43,30,남향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.560458,127.151612
2524515646,일반상가,월세,1/4,150,"2,000",43,43,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.558301,127.170414
2524379455,일반상가,월세,1/4,200,"3,000",45,45,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.558959,127.15203
2524426975,단지내상가,월세,1/4,160,"3,000",21,9,서향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.557955,127.150534
2524339526,일반상가,월세,1/5,600,1억,181,181,,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.560729,127.156364
2524523739,단지내상가,월세,1/2,180,"2,000",31,31,서향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.557718,127.170086
2524598361,단지내상가,월세,1/2,400,"8,000",68,68,남향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.557718,127.170086
2524339327,일반상가,월세,B1/3,60,"1,000",91,91,서향,20250508,"['25년이상', '역세권', '지하층', '총3층']",37.559121,127.16877
2524318750,단지내상가,매매,2/3,,"7억 6,000",85,39,동향,20250508,"['10년이내', '역세권', '중층', '관리비20만원이하']",37.55791,127.162654
2524483163,일반상가,월세,1/4,130,"2,000",66,66,남향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.560547,127.154076
2524375790,단지내상가,월세,2/3,200,"3,000",103,48,남서향,20250508,"['10년이내', '역세권', '중층', '관리비20만원이하']",37.557718,127.170086
2524391907,일반상가,월세,1/5,110,"2,000",21,21,남향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.559656,127.15372
2524425337,일반상가,월세,1/4,450,"5,000",110,110,북동향,20250508,"['4년이내', '융자금적은', '1층', '관리비10만원이하']",37.565022,127.166661
2524537582,단지내상가,월세,1/4,145,"2,000",31,31,북향,20250508,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.558941,127.155271
2523818844,일반상가,월세,1/3,150,"2,000",21,21,남서향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.559346,127.168773
2524051311,일반상가,월세,1/3,350,"5,000",151,151,서향,20250507,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.560971,127.169738
2523914399,일반상가,월세,2/5,350,"5,000",210,210,남향,20250507,"['25년이상', '중층', '주차가능', '엘리베이터']",37.560729,127.156364
2523818670,일반상가,월세,1/3,70,"1,000",27,27,북향,20250507,"['25년이내', '1층', '총3층', '북향']",37.561339,127.169753
2524247601,단지내상가,매매,1/3,,5억,14,14,북향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.55791,127.162654
2524081843,일반상가,월세,15/16,"1,159","1억 3,917",912,385,서향,20250507,"['4년이내', '융자금없는', '고층', '주차가능']",37.566625,127.160528
2524152202,단지내상가,월세,1/3,140,"2,500",37,17,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.55791,127.162654
2524237805,일반상가,월세,B1/4,90,"1,000",109,109,남향,20250507,"['25년이상', '융자금없는', '지하층', '총4층']",37.560563,127.151586
2524318882,단지내상가,매매,2/2,,5억,38,27,동향,20250507,"['10년이내', '역세권', '급매', '고층']",37.55791,127.162654
2524282176,단지내상가,월세,1/4,150,"3,000",49,21,서향,20250507,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.557955,127.150534
2524173591,일반상가,월세,2/5,130,"2,000",91,91,남향,20250507,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.560697,127.161977
2524213877,일반상가,월세,1/5,150,"2,000",26,26,남향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.558317,127.169043
2524116439,단지내상가,매매,1/2,,"7억 5,000",72,52,남동향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.55791,127.162654
2523967474,단지내상가,월세,1/3,200,"5,000",74,45,북향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.557718,127.170086
2523964863,단지내상가,월세,2/3,180,"3,000",87,41,북향,20250507,"['10년이내', '역세권', '중층', '관리비20만원이하']",37.557718,127.170086
2524266726,단지내상가,월세,2/5,70,"1,000",22,22,북동향,20250507,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.557887,127.14599
2524152638,단지내상가,월세,1/3,140,"2,500",38,17,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.55791,127.162654
2523818777,일반상가,월세,1/3,135,"1,000",30,30,북서향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.558964,127.168774
