articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524618806,단지내상가,월세,1/3,600,1억,32,32,남동향,20250509,"['2년이내', '1층', '주차가능', '총3층']",37.526935,127.138757
2524452703,일반상가,월세,1/4,130,"2,000",66,66,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.535292,127.147116
2524357817,일반상가,월세,1/3,100,"1,500",60,40,북향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.529781,127.139405
2524577552,일반상가,매매,1/4,,"9억 7,000",23,23,동향,20250508,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524569110,단지내상가,월세,1/3,"1,000",2억,148,62,남서향,20250508,"['2년이내', '1층', '주차가능', '엘리베이터']",37.526935,127.138757
2524598042,일반상가,월세,1/3,150,"2,000",34,34,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.529648,127.137368
2524600007,단지내상가,월세,B1/4,250,"5,000",69,28,남동향,20250508,"['2년이내', '지하층', '주차가능', '총4층']",37.526935,127.138757
2524317616,단지내상가,월세,1/4,200,1억,40,16,서향,20250508,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524403932,단지내상가,월세,3/3,300,"5,000",44,44,서향,20250508,"['2년이내', '고층', '주차가능', '총3층']",37.526935,127.138757
2524352931,일반상가,월세,1/3,200,"2,000",33,33,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.528858,127.137208
2524366526,일반상가,월세,1/4,80,"1,000",39,39,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.530324,127.140658
2524411732,단지내상가,월세,1/4,300,"5,000",36,17,동향,20250508,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524524762,단지내상가,월세,B1/4,300,"5,000",99,40,동향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.521526,127.136826
2524387362,일반상가,월세,전체층/5,250,"3,000",297,264,동향,20250508,"['25년이상', '주차가능', '총5층', '동향']",37.533774,127.144426
2524309376,단지내상가,월세,1/4,500,1억,56,19,남동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.527491,127.137096
2524434014,단지내상가,월세,B1/3,280,"5,000",39,39,동향,20250508,"['2년이내', '지하층', '주차가능', '총3층']",37.526935,127.138757
2524351755,일반상가,월세,1/4,230,"3,000",63,49,남향,20250508,"['2년이내', '융자금없는', '역세권', '1층']",37.532477,127.147326
2524411152,단지내상가,월세,3/3,320,"5,000",90,3,남향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.521526,127.136826
2524583676,단지내상가,월세,2/4,750,1억,190,79,동향,20250508,"['2년이내', '중층', '주차가능', '엘리베이터']",37.526935,127.138757
2524492065,일반상가,월세,2/4,400,"8,000",380,380,서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.533331,127.138877
2524349008,단지내상가,월세,1/4,400,"5,000",65,27,서향,20250508,"['2년이내', '융자금없는', '1층', '주차가능']",37.526935,127.138757
2524351926,단지내상가,월세,B1/4,280,"5,000",97,40,남향,20250508,"['2년이내', '융자금없는', '역세권', '지하층']",37.521526,127.136826
2524524883,단지내상가,매매,1/4,,"7억 5,000",42,17,서향,20250508,"['2년이내', '1층', '급매', '주차가능']",37.526935,127.138757
2524516804,단지내상가,매매,2/3,,12억,109,44,서향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.521526,127.136826
2524524489,단지내상가,월세,3/3,320,"5,000",109,44,서향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.521526,127.136826
2524577221,일반상가,월세,2/4,350,"5,000",33,33,동향,20250508,"['2년이내', '중층', '주차가능', '총4층']",37.526935,127.138757
2524453289,일반상가,월세,3/6,120,"3,760",99,99,북향,20250508,"['25년이상', '중층', '주차가능', '엘리베이터']",37.534915,127.145763
2524442186,단지내상가,월세,1/3,530,"5,000",33,33,동향,20250508,"['2년이내', '1층', '주차가능', '총3층']",37.526935,127.138757
2524347769,단지내상가,월세,1/4,"1,600",2억,247,104,동향,20250508,"['2년이내', '융자금없는', '1층', '주차가능']",37.526935,127.138757
2524317725,단지내상가,매매,1/4,,"13억 5,100",90,37,서향,20250508,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524423605,단지내상가,매매,1/3,,"9억 9,000",25,25,서향,20250508,"['2년이내', '1층', '급매', '주차가능']",37.526935,127.138757
2523991272,복합상가,월세,2/11,"1,340",3억,569,343,서향,20250507,"['2년이내', '테라스', '지상층(1층제외)', '주차가능']",37.531404,127.142252
2523803581,단지내상가,월세,1/4,550,"7,000",95,39,남서향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2523927665,단지내상가,월세,B1/4,915,"1억 5,000",198,121,동향,20250507,"['2년이내', '지하층', '주차가능', '총4층']",37.526935,127.138757
2524078091,단지내상가,월세,1/3,610,1억,96,39,서향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.527733,127.136923
2524052136,단지내상가,월세,1/3,450,1억,107,44,동향,20250507,"['2년이내', '역세권', '1층', '관리비10만원이하']",37.521526,127.136826
2524180376,단지내상가,월세,B1/4,320,"5,000",99,40,동향,20250507,"['2년이내', '역세권', '지하층', '주차가능']",37.520028,127.138775
2523826849,일반상가,월세,3/3,800,1억,256,231,남서향,20250507,"['10년이내', '역세권', '고층', '주차가능']",37.524652,127.147154
2524276457,단지내상가,월세,2/4,130,"3,000",37,15,동향,20250507,"['2년이내', '융자금없는', '중층', '주차가능']",37.526935,127.138757
2523956589,단지내상가,월세,1/4,500,"5,000",49,20,동향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524271737,일반상가,월세,2/5,250,"3,000",177,177,남향,20250507,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.530605,127.139659
2524246231,단지내상가,월세,1/4,400,"4,000",56,26,북동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.528131,127.137302
2524263801,일반상가,월세,1/5,250,"3,000",67,67,남향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.530605,127.139659
2524193758,단지내상가,월세,1/4,700,1억,32,32,동향,20250507,"['2년이내', '융자금없는', '1층', '주차가능']",37.526935,127.138757
2524294933,단지내상가,월세,1/3,550,1억,26,26,동향,20250507,"['2년이내', '1층', '주차가능', '총3층']",37.526935,127.138757
2524184130,단지내상가,월세,2/4,400,"5,000",90,37,서향,20250507,"['2년이내', '역세권', '중층', '주차가능']",37.527256,127.137069
2524193435,단지내상가,월세,1/4,600,1억,50,23,서향,20250507,"['2년이내', '융자금없는', '1층', '주차가능']",37.526935,127.138757
2524219785,단지내상가,월세,1/4,250,"5,000",47,19,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.527475,127.137045
2524254404,일반상가,월세,1/7,"1,150",1억,389,254,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.528482,127.139239
2524085283,단지내상가,월세,1/3,450,"5,000",44,20,서향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.527784,127.137094
2524105833,단지내상가,월세,1/3,400,"5,000",48,19,서향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.527026,127.136701
2523898254,단지내상가,월세,B1/4,250,"5,000",97,40,동향,20250507,"['2년이내', '융자금없는', '지하층', '주차가능']",37.526935,127.138757
2523956414,단지내상가,월세,2/4,400,"5,000",90,37,동향,20250507,"['2년이내', '중층', '주차가능', '총4층']",37.526935,127.138757
2524078770,단지내상가,월세,1/3,450,"5,000",48,19,서향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.527069,127.13673
2523900351,단지내상가,월세,1/4,400,"7,000",43,18,동향,20250507,"['2년이내', '융자금없는', '1층', '관리비20만원이하']",37.526935,127.138757
2523956287,단지내상가,월세,1/4,350,"5,000",47,19,동향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2523811295,단지내상가,월세,1/4,350,"5,000",22,16,남동향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2523818168,일반상가,월세,1/4,55,"1,000",30,30,남동향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.529827,127.139895
2523803781,단지내상가,월세,2/2,380,"5,000",75,40,남서향,20250507,"['2년이내', '역세권', '고층', '주차가능']",37.521526,127.136826
2523804567,단지내상가,월세,B1/4,750,1억,211,86,남동향,20250507,"['2년이내', '지하층', '주차가능', '총4층']",37.526935,127.138757
2524161569,단지내상가,월세,1/4,200,"5,000",29,12,동향,20250507,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.526935,127.138757
2524149825,단지내상가,월세,B1/4,200,"3,000",35,19,북향,20250507,"['2년이내', '지하층', '관리비20만원이하', '주차가능']",37.526935,127.138757
2524193043,단지내상가,월세,2/4,400,"5,000",36,36,서향,20250507,"['2년이내', '융자금없는', '중층', '주차가능']",37.526935,127.138757
2524285602,단지내상가,월세,1/4,480,"5,000",15,5,북향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.52747,127.137143
2524149411,단지내상가,월세,1/4,"1,000",1억,67,42,서향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524223807,단지내상가,매매,1/4,,"6억 5,000",23,15,서향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524173511,단지내상가,월세,1/4,480,"5,000",44,18,동향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.523454,127.136647
2524109888,단지내상가,월세,3/3,320,"5,000",109,44,동향,20250507,"['2년이내', '역세권', '고층', '주차가능']",37.520308,127.138994
2524107663,단지내상가,월세,1/3,530,"5,000",68,28,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.527154,127.13684
2523804041,단지내상가,월세,B2/4,600,"7,700",159,63,남동향,20250507,"['2년이내', '지하층', '주차가능', '총4층']",37.526935,127.138757
2523804319,단지내상가,월세,1/4,450,"6,000",49,19,남서향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2523853164,일반상가,월세,2/5,240,"5,000",177,175,남서향,20250507,"['25년이상', '융자금적은', '중층', '관리비10만원이하']",37.530605,127.139659
2523833945,일반상가,월세,1/4,132,"1,500",43,33,동향,20250507,"['25년이상', '1층', '주차가능', '총4층']",37.533898,127.144572
2523834935,단지내상가,월세,2/4,"2,400",3억,462,251,동향,20250507,"['2년이내', '중층', '주차가능', '총4층']",37.526935,127.138757
2523804815,단지내상가,월세,1/4,440,"5,000",48,19,남동향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524080569,단지내상가,월세,1/3,320,"5,000",42,17,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.526891,127.136748
2523835128,단지내상가,월세,2/4,"1,600",2억,264,165,동향,20250507,"['2년이내', '중층', '주차가능', '총4층']",37.526935,127.138757
2524141482,단지내상가,매매,1/4,,10억,57,23,남서향,20250507,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.526935,127.138757
2524145048,단지내상가,월세,1/4,400,"4,000",64,26,북동향,20250507,"['2년이내', '마당', '1층', '관리비20만원이하']",37.526935,127.138757
2524192180,단지내상가,매매,2/4,,"9억 8,000",95,39,동향,20250507,"['2년이내', '중층', '주차가능', '총4층']",37.526935,127.138757
2524317384,일반상가,월세,2/7,700,1억,292,247,남동향,20250507,"['10년이내', '융자금적은', '지상층(1층제외)', '주차가능']",37.52927,127.143003
2524052359,단지내상가,월세,1/3,700,1억,95,39,서향,20250507,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.526935,127.138757
2524077348,단지내상가,월세,1/4,500,"5,000",117,42,남향,20250507,"['2년이내', '1층', '주차가능', '총4층']",37.526935,127.138757
2524203063,단지내상가,매매,B1/4,,10억,103,43,남서향,20250507,"['2년이내', '지하층', '주차가능', '총4층']",37.526935,127.138757
2524184171,단지내상가,월세,1/2,150,"3,000",20,20,서향,20250507,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.534159,127.146542
2524142344,단지내상가,월세,1/3,450,1억,44,26,남서향,20250507,"['2년이내', '1층', '관리비10만원이하', '주차가능']",37.526935,127.138757
2524043505,단지내상가,매매,3/4,,"7억 9,000",119,119,남향,20250507,"['25년이상', '고층', '주차가능', '총4층']",37.527861,127.142854
2523901632,단지내상가,월세,B1/4,750,1억,208,86,동향,20250507,"['2년이내', '융자금없는', '지하층', '주차가능']",37.526935,127.138757
2524262017,단지내상가,월세,1/3,550,"5,500",19,19,서향,20250507,"['2년이내', '1층', '주차가능', '총3층']",37.526935,127.138757
2523916686,일반상가,월세,4/6,500,1억,140,120,남향,20250505,"['25년이상', '역세권', '중층', '주차가능']",37.528284,127.139035
2523757248,단지내상가,월세,1/4,"1,200",2억,150,81,남서향,20250503,"['2년이내', '1층', '주차가능', '엘리베이터']",37.526935,127.138757
2523700400,단지내상가,월세,3/4,450,"6,000",108,45,서향,20250503,"['2년이내', '고층', '주차가능', '총4층']",37.526935,127.138757
2523774809,단지내상가,매매,1/4,,20억,39,28,북향,20250503,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.526935,127.138757
