articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524613448,단지내상가,월세,1/2,220,"3,000",38,25,북향,20250509,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.549223,127.167685
2524629620,일반상가,월세,3/5,300,"5,000",105,105,북향,20250509,"['25년이상', '중층', '주차가능', '총5층']",37.550777,127.171799
2524629629,일반상가,월세,B1/5,450,1억,290,290,북향,20250509,"['25년이상', '지하층', '주차가능', '총5층']",37.550777,127.171799
2524629641,일반상가,월세,1/4,80,"1,500",37,32,남서향,20250509,"['25년이상', '융자금없는', '1층', '주차가능']",37.549103,127.171106
2524654363,단지내상가,매매,1/3,,13억,52,26,남서향,20250509,"['10년이내', '테라스', '1층', '관리비20만원이하']",37.552055,127.166764
2524604464,단지내상가,월세,1/3,450,"5,000",64,32,남향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.55627,127.165025
2524629589,일반상가,월세,1/3,"1,660","3억 3,000",344,265,남향,20250509,"['2년이내', '1층', '주차가능', '총3층']",37.545444,127.16838
2524494357,일반상가,월세,1/4,200,"3,500",83,83,동향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.549248,127.172592
2524469645,단지내상가,월세,1/3,120,"2,000",33,16,동향,20250508,"['10년이내', '1층', '주차가능', '총3층']",37.552055,127.166764
2524571079,일반상가,매매,1/7,,"3억 5,000",45,37,동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.556492,127.172794
2524486450,단지내상가,매매,전체층/3,,"3억 2,000",17,17,동향,20250508,"['10년이내', '주차가능', '엘리베이터', '천장에어컨']",37.552055,127.166764
2524520379,일반상가,월세,1/4,80,"1,500",72,32,서향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.549103,127.171106
2524596573,일반상가,매매,1/5,,"4억 3,000",28,28,동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.556835,127.172945
2524417773,단지내상가,월세,1/2,320,"5,000",73,36,북향,20250508,"['10년이내', '융자금없는', '1층', '주차가능']",37.55239,127.170689
2524596308,일반상가,월세,1/4,130,"2,000",18,18,서향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.554874,127.174315
2524544492,일반상가,월세,B1/4,200,"2,500",164,164,,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.546501,127.170939
2524329259,일반상가,월세,1/4,"5,000",10억,2850,1636,남향,20250508,"['2년이내', '1층', '주차가능', '엘리베이터']",37.545444,127.16838
