articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524648321,복합상가,월세,2/5,260,"4,000",137,137,북서향,20250509,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.525464,127.134047
2524668446,일반상가,월세,1/7,"1,300",2억,1078,357,북서향,20250509,"['15년이내', '1층', '주차가능', '엘리베이터']",37.526294,127.130334
2524659734,일반상가,월세,B1/4,40,"1,000",70,66,동향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.529379,127.122444
2524666994,복합상가,월세,1/4,400,"6,000",74,33,남향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.537408,127.125586
2524693308,일반상가,월세,5/6,190,"2,000",141,141,북서향,20250509,"['25년이상', '고층', '관리비20만원이하', '주차가능']",37.525665,127.128917
2524672779,복합상가,월세,3/4,150,"1,500",55,25,동향,20250509,"['2년이내', '역세권', '고층', '주차가능']",37.537408,127.125586
2524641017,일반상가,월세,1/14,"1,100",1억,490,244,남동향,20250509,"['25년이상', '1층', '주차가능', '남동향']",37.525253,127.12646
2524642748,일반상가,월세,4/45,"2,000","2억 6,000",777,354,북동향,20250509,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.537408,127.125586
2524608375,일반상가,월세,B1/4,100,"1,000",103,103,북향,20250509,"['25년이상', '역세권', '지하층', '총4층']",37.536359,127.124877
2524611859,일반상가,월세,1/5,300,"3,000",49,49,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.529304,127.123422
2524608203,일반상가,월세,1/3,85,"2,000",20,13,북서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.527399,127.121825
2524501124,일반상가,월세,1/3,150,"2,000",58,58,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.534744,127.128261
2524441494,일반상가,월세,B1/5,231,"4,000",261,250,동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.525277,127.134233
2524523533,일반상가,월세,1/4,70,"1,000",26,26,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.529038,127.130774
2524571160,일반상가,월세,3/6,163,"5,000",268,112,남서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.524327,127.133879
2524443658,일반상가,월세,2/5,220,"3,000",119,99,남동향,20250508,"['4년이내', '역세권', '중층', '주차가능']",37.533488,127.135965
2524515736,일반상가,월세,1/4,120,"1,000",49,49,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.528534,127.134877
2524397409,일반상가,월세,1/5,240,"5,000",165,109,북동향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.528352,127.122744
2524405353,일반상가,월세,2/5,140,"2,000",121,99,동향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.534601,127.127413
2524301852,일반상가,월세,1/5,70,"3,000",50,47,북향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.531359,127.135365
2524360039,일반상가,월세,1/4,80,"1,000",90,53,남동향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.533614,127.125418
2524389145,일반상가,월세,B1/6,300,"3,000",148,148,북동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.529057,127.134927
2524351442,일반상가,월세,1/4,95,"1,500",65,33,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.528235,127.123652
2524316969,일반상가,월세,1/5,170,"2,000",49,49,남향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.533102,127.137114
2524412088,일반상가,월세,3/3,55,"1,000",26,19,동향,20250508,"['10년이내', '역세권', '고층', '총3층']",37.533271,127.13244
2524378706,일반상가,월세,1/5,80,"1,500",61,26,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.533,127.13253
2524412335,일반상가,월세,1/15,280,"5,000",70,50,북동향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.529733,127.122652
2524376566,단지내상가,월세,1/12,120,"2,000",23,19,남향,20250508,"['10년이내', '1층', '주차가능', 'CCTV']",37.527506,127.128763
2524434185,일반상가,월세,1/6,400,"4,000",132,69,서향,20250508,"['25년이상', '1층', '주차가능', '서향']",37.527591,127.128527
2524390737,일반상가,월세,4/7,350,"5,000",212,198,동향,20250508,"['15년이내', '역세권', '중층', '주차가능']",37.535173,127.124437
2524307130,단지내상가,월세,1/15,132,"1,000",85,73,남동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.53445,127.135649
2524305973,일반상가,월세,1/4,400,"3,500",58,44,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.528395,127.135943
2524400435,일반상가,월세,4/7,350,"5,000",257,198,남서향,20250508,"['15년이내', '역세권', '중층', '주차가능']",37.535173,127.124437
2524397871,일반상가,월세,B1/6,500,1억,535,283,동향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.528086,127.135827
2524409962,일반상가,월세,1/5,180,"2,000",54,49,북향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.53534,127.130152
2524527297,복합상가,월세,3/4,130,"1,500",63,29,북향,20250508,"['2년이내', '융자금없는', '역세권', '고층']",37.537408,127.125586
2524373005,일반상가,월세,1/5,240,"5,000",412,132,북동향,20250508,"['25년이상', '역세권', '1층', '급매']",37.528352,127.122744
2524468600,일반상가,월세,B1/4,600,1억,406,406,동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.526334,127.135156
2524483460,일반상가,월세,1/5,250,"3,000",49,49,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.530812,127.130023
2524424459,일반상가,월세,3/6,450,"5,000",352,211,동향,20250508,"['25년이상', '중층', '주차가능', '동향']",37.527591,127.128527
2524469345,일반상가,월세,B1/5,100,"1,000",127,127,서향,20250508,"['25년이내', '역세권', '지하층', '관리비10만원이하']",37.525771,127.133791
2524437840,단지내상가,월세,1/17,87,"1,000",53,28,북동향,20250508,"['25년이상', '1층', '주차가능', '북동향']",37.527204,127.126637
2524435988,일반상가,월세,1/3,90,"1,000",72,29,남동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.53382,127.122475
2524418073,일반상가,월세,4/6,200,"2,000",165,89,동향,20250508,"['25년이상', '중층', '주차가능', '동향']",37.527591,127.128527
2524494293,일반상가,월세,3/7,"1,300","1억 5,000",274,274,서향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.525234,127.13457
2524422733,일반상가,월세,4/6,200,"2,000",165,85,동향,20250508,"['25년이상', '중층', '주차가능', '동향']",37.527591,127.128527
