articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524655339,단지내상가,월세,1/4,450,1억,95,44,서향,20250509,"['25년이내', '융자금없는', '테라스', '1층']",37.554458,127.140761
2524641894,단지내상가,월세,1/5,300,"5,000",69,31,남향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.555313,127.140402
2524642660,일반상가,월세,1/5,400,"1억 2,000",239,214,남향,20250509,"['25년이상', '1층', '주차가능', '엘리베이터']",37.552068,127.135039
2524642351,단지내상가,월세,2/5,130,"2,000",62,29,동향,20250509,"['25년이내', '융자금없는', '역세권', '중층']",37.555313,127.140402
2524651456,단지내상가,매매,1/4,,"3억 2,000",43,20,남향,20250509,"['25년이내', '1층', '주차가능', '총4층']",37.554458,127.140761
2524652292,일반상가,월세,B1/6,250,"5,000",80,80,북동향,20250509,"['10년이내', '융자금없는', '지하층', '관리비20만원이하']",37.551597,127.134886
2524351599,일반상가,월세,1/5,110,"1,000",66,33,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.549598,127.126098
2524389241,일반상가,월세,2/4,600,1억,196,175,서향,20250508,"['25년이상', '역세권', '중층', '엘리베이터']",37.55182,127.12846
2524425070,일반상가,월세,1/2,84,"1,000",20,20,,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.549085,127.126251
2524579296,일반상가,월세,1/5,60,500,149,27,북향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.550897,127.132105
2524530119,일반상가,월세,1/4,"2,300",14억,478,421,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.552029,127.128538
2524486743,일반상가,월세,1/4,190,"2,500",83,40,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.551999,127.133931
2524412177,단지내상가,매매,1/26,,6억,84,41,남동향,20250508,"['10년이내', '역세권', '1층', '급매']",37.548853,127.125391
2524421585,단지내상가,월세,3/5,600,1억,270,132,북동향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.555313,127.140402
2524569326,단지내상가,매매,3/5,,"3억 8,000",26,26,서향,20250508,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.555313,127.140402
2524599377,일반상가,월세,1/4,"2,400",8억,500,420,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.552029,127.128538
2524422537,일반상가,월세,3/6,590,"1억 5,000",196,132,서향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.551167,127.128231
2524428744,일반상가,월세,2/4,140,"2,000",142,132,서향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.550827,127.135123
2524434287,일반상가,월세,3/6,580,"1억 2,000",199,133,북서향,20250508,"['2년이내', '융자금없는', '역세권', '중층']",37.551167,127.128231
2524592598,단지내상가,매매,3/5,,"3억 5,000",61,29,서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.555313,127.140402
2524388441,일반상가,월세,4/4,220,"4,000",59,56,서향,20250508,"['25년이상', '테라스', '역세권', '고층']",37.55182,127.12846
2524382660,일반상가,매매,3/3,,"3억 7,000",256,256,북동향,20250508,"['25년이상', '고층', '총3층', '북동향']",37.550688,127.134583
2524276315,일반상가,월세,2/5,120,"1,500",92,92,서향,20250507,"['25년이내', '역세권', '중층', '관리비10만원이하']",37.548527,127.131663
2524228440,단지내상가,월세,1/5,200,"5,000",76,29,동향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.555313,127.140402
2523833179,단지내상가,매매,1/24,,11억,109,52,남향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.552402,127.125837
2524166114,단지내상가,월세,1/26,200,"3,000",119,58,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.548853,127.125391
2524137366,일반상가,월세,1/3,180,"2,000",83,74,남향,20250507,"['25년이상', '1층', '주차가능', '총3층']",37.552075,127.136231
2524160008,일반상가,월세,B1/4,40,500,125,85,북향,20250507,"['25년이상', '지하층', '총4층', '북향']",37.55183,127.135696
