articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524641307,단지내상가,월세,2/36,150,"3,000",60,33,북동향,20250509,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.541231,127.127268
2524641156,단지내상가,월세,1/36,160,"3,000",55,29,남동향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.541231,127.127268
2524641043,단지내상가,월세,2/36,150,"2,000",60,32,북동향,20250509,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.541231,127.127268
2524640977,단지내상가,월세,2/3,220,"5,000",109,58,북동향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.541231,127.127268
2524641514,단지내상가,월세,2/36,280,"5,000",150,79,남동향,20250509,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.541231,127.127268
2524630092,일반상가,월세,1/6,150,"5,000",66,66,동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.547494,127.143077
2524673853,일반상가,월세,1/2,470,"3,500",75,75,서향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.549463,127.127557
2524676171,일반상가,월세,1/5,280,"4,500",85,85,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.549272,127.143469
2524610027,단지내상가,매매,1/1,,9억,75,34,동향,20250509,"['2년이내', '1층', '주차가능', '동향']",37.54186,127.126168
2524646831,단지내상가,월세,1/12,331,"4,900",48,43,동향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.543145,127.124718
2524640957,일반상가,월세,1/4,550,"6,000",112,79,동향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.549675,127.143543
2524699306,일반상가,월세,1/5,230,"3,500",46,46,북동향,20250509,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.548895,127.130126
2524645286,일반상가,월세,21/22,700,"8,000",422,151,남향,20250509,"['10년이내', '역세권', '고층', '주차가능']",37.536622,127.133339
2524644340,일반상가,월세,20/22,800,1억,487,174,남향,20250509,"['10년이내', '역세권', '고층', '주차가능']",37.536622,127.133339
2524444854,일반상가,월세,1/3,600,1억,96,96,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.53944,127.12543
2524374835,단지내상가,월세,1/3,500,1억,100,76,북동향,20250508,"['2년이내', '1층', '주차가능', '엘리베이터']",37.54159,127.127805
2524361280,일반상가,월세,1/3,90,"2,000",31,28,남향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.541234,127.140178
2524383709,단지내상가,월세,B1/22,400,1억,828,379,북동향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.540614,127.124963
2524331903,일반상가,월세,1/5,80,"1,000",35,35,서향,20250508,"['10년이내', '융자금없는', '1층', '주차가능']",37.542166,127.137714
2524352001,일반상가,월세,1/5,45,"1,000",26,19,남향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.539574,127.135009
2524585198,일반상가,월세,1/4,"1,000",2억,148,148,북동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.540489,127.126389
2524490027,일반상가,월세,1/5,100,"1,000",33,33,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.53817,127.132324
2524533550,일반상가,월세,1/10,450,1억,155,75,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.53776,127.135321
2524516132,복합상가,월세,2/11,500,"5,000",160,122,남향,20250508,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.539753,127.123365
2524477693,일반상가,월세,1/4,270,"2,500",79,79,서향,20250508,"['10년이내', '1층', '주차가능', '총4층']",37.541927,127.131119
2524582286,일반상가,월세,1/6,130,"2,000",60,51,북향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.5434,127.141052
2524579898,일반상가,월세,1/3,65,700,35,33,북향,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.542945,127.131976
2524492912,일반상가,월세,1/4,"1,000",3억,297,297,남향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.54473,127.125277
2524517220,복합상가,월세,1/12,500,"1억 5,000",129,54,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.539947,127.123491
2524540835,일반상가,월세,4/6,150,"2,000",200,178,남향,20250508,"['25년이상', '중층', '주차가능', '남향']",37.545417,127.124727
2524564630,단지내상가,월세,1/2,450,1억,71,41,남향,20250508,"['2년이내', '1층', '주차가능', '엘리베이터']",37.540705,127.128125
2524567076,일반상가,월세,1/5,280,"4,500",89,85,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.549272,127.143469
2524581305,일반상가,월세,1/4,50,"1,000",32,20,서향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.547113,127.132139
2524400670,일반상가,월세,1/1,150,"5,000",110,39,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.540512,127.126599
2524309429,일반상가,월세,3/3,90,"1,000",197,197,서향,20250508,"['25년이상', '융자금없는', '고층', '주차가능']",37.549368,127.137
2524506344,일반상가,월세,1/3,100,"2,000",42,42,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.541449,127.133135
2524508204,일반상가,월세,1/2,70,"1,000",36,36,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.544003,127.141744
2524493712,단지내상가,월세,2/35,115,"3,000",123,59,동향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.540355,127.125836
2524513687,일반상가,월세,1/10,330,"5,000",81,69,남동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.53776,127.135321
2524519605,일반상가,월세,1/10,450,1억,533,73,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.53776,127.135321
2524520947,단지내상가,월세,1/13,155,"2,000",46,46,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.538685,127.134237
2524316383,일반상가,월세,1/14,435,1억,64,49,동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.540296,127.123549
2524562125,일반상가,월세,2/3,150,"1,500",131,130,남서향,20250508,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.543297,127.123175
2524585538,일반상가,월세,2/4,600,1억,208,145,남서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.544047,127.142052
