articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524646391,일반상가,월세,7/7,350,1억,281,281,동향,20250509,"['25년이내', '융자금없는', '역세권', '고층']",37.62758,127.025201
2524648917,일반상가,월세,2/5,"1,000",2억,386,314,남동향,20250509,"['25년이상', '융자금없는', '역세권', '중층']",37.61185,127.030818
2524604067,일반상가,월세,1/1,220,"2,000",94,94,서향,20250509,"['25년이상', '1층', '서향']",37.632603,127.024029
2524610506,일반상가,월세,1/1,270,"7,000",69,69,북향,20250509,"['25년이상', '역세권', '1층', '북향']",37.624637,127.018674
2524613180,일반상가,월세,1/4,450,1억,461,461,동향,20250509,"['10년이내', '1층', '주차가능', '총4층']",37.616564,127.035052
2524607885,일반상가,월세,3/7,900,1억,654,654,남서향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.620552,127.021112
2524498679,일반상가,월세,1/2,"1,000","1억 5,000",148,148,동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.626756,127.025655
2524492515,일반상가,월세,1/6,65,"1,500",30,26,남향,20250508,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.633887,127.0258
2524412194,일반상가,월세,1/4,125,"2,000",45,38,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.630274,127.022806
2524400692,일반상가,월세,2/20,150,"2,000",81,55,서향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.634196,127.023873
2524367022,일반상가,월세,3/6,736,"1억 4,000",304,304,남서향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.624907,127.027083
2524419306,일반상가,월세,1/3,100,"1,000",50,45,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.62966,127.022979
2524407305,복합상가,매매,1/5,,3억,37,37,동향,20250508,"['15년이내', '역세권', '1층', '급매']",37.618564,127.018904
2524594950,일반상가,월세,1/3,150,"3,000",154,154,남향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.61443,127.022415
2524389904,일반상가,월세,1/4,175,"3,200",106,106,,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.613658,127.0338
2524391996,일반상가,월세,1/5,250,"3,000",151,151,,20250508,"['25년이상', '융자금없는', '1층', '총5층']",37.612421,127.034878
2524389623,일반상가,월세,1/4,80,"1,000",28,28,,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.615791,127.033691
2524390700,일반상가,월세,2/4,285,"5,000",189,189,,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.614397,127.031415
2524388560,일반상가,월세,2/3,220,"4,000",117,117,,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.612995,127.031365
2524484895,단지내상가,월세,1/1,110,"1,000",61,36,남향,20250508,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.619798,127.033046
2524473101,단지내상가,월세,1/1,180,"3,000",66,58,남향,20250508,"['15년이내', '융자금없는', '마당', '역세권']",37.612754,127.025839
2524402039,일반상가,월세,6/8,500,1억,276,276,북서향,20250508,"['25년이내', '융자금적은', '역세권', '고층']",37.625857,127.026756
2524352232,일반상가,월세,6/10,756,2억,655,396,남동향,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.621104,127.028721
2524390945,일반상가,월세,1/4,250,"5,000",107,107,,20250508,"['15년이내', '융자금없는', '역세권', '1층']",37.615664,127.031039
2524441755,일반상가,월세,1/4,100,"2,000",48,46,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.627359,127.017833
2524407090,일반상가,월세,3/4,200,"3,000",176,176,북동향,20250508,"['25년이상', '고층', '주차가능', '총4층']",37.622583,127.031729
2524461622,일반상가,월세,1/4,350,"7,000",70,70,남향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.620361,127.014628
2524484978,일반상가,월세,B1/9,200,"3,000",230,230,동향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.622741,127.027019
2524611328,일반상가,월세,2/4,500,1억,185,185,남향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.612701,127.027552
2524389375,일반상가,월세,1/4,160,"2,000",29,28,,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.612555,127.033691
2524442828,일반상가,월세,5/7,864,"1억 5,000",409,409,남동향,20250508,"['25년이상', '융자금없는', '테라스', '역세권']",37.623623,127.02688
2524390426,일반상가,월세,1/3,155,"2,500",23,23,,20250508,"['25년이상', '융자금없는', '1층', '총3층']",37.611932,127.03537
2524497581,일반상가,월세,1/4,200,"3,000",43,43,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.620253,127.016207
2524408824,일반상가,월세,8/9,400,1억,250,209,남동향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.612594,127.030472
2524500930,일반상가,월세,2/14,300,"3,000",125,83,서향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.633555,127.02376
2524419839,일반상가,월세,1/4,230,"3,000",53,50,동향,20250508,"['10년이내', '역세권', '1층', '총4층']",37.625667,127.025538
2524501172,일반상가,월세,1/6,330,"1억 3,000",115,115,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.612507,127.030667
2524498226,일반상가,월세,1/3,300,"4,000",97,97,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.612767,127.032216
2524492850,일반상가,월세,10/14,"1,120","2억 6,000",234,234,서향,20250508,"['10년이내', '융자금적은', '역세권', '고층']",37.613721,127.030532
2524492887,일반상가,월세,1/1,140,"1,500",31,31,남서향,20250508,"['25년이상', '마당', '역세권', '1층']",37.612658,127.034697
2524501913,복합상가,월세,10/10,160,"1,500",90,90,남서향,20250508,"['10년이내', '역세권', '고층', '관리비10만원이하']",37.612294,127.030858
2524495449,일반상가,월세,1/6,240,"3,000",83,83,남향,20250508,"['25년이상', '역세권', '1층', '남향']",37.616337,127.029195
2524503760,일반상가,월세,1/3,300,"4,000",72,72,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.632066,127.024243
2524502374,일반상가,월세,1/2,130,"2,000",29,29,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.612693,127.0324
2524434513,일반상가,월세,1/4,"1,150",2억,140,140,남서향,20250508,"['4년이내', '역세권', '1층', '총4층']",37.612373,127.032026
2524482869,일반상가,월세,B1/9,500,1억,262,191,서향,20250508,"['25년이상', '역세권', '지하층', '엘리베이터']",37.612594,127.030472
2524510210,일반상가,월세,1/8,400,"5,000",128,128,북동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.616021,127.030598
2524511565,일반상가,월세,5/8,400,"5,000",197,197,북동향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.616021,127.030598
2524489764,복합상가,월세,B1/9,200,"3,000",247,247,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.622741,127.027019
2524361394,일반상가,월세,B1/5,500,"5,000",145,124,남동향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.619655,127.015455
2524364632,일반상가,월세,4/4,500,"6,000",196,165,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.625095,127.020997
2524508816,일반상가,월세,1/2,200,"3,000",26,26,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.625999,127.025637
2524437429,단지내상가,월세,1/12,280,"5,000",98,98,북서향,20250508,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",37.617469,127.036592
2524418987,일반상가,월세,1/3,130,"1,500",50,50,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.62966,127.022979
2524416758,일반상가,월세,3/6,"1,100","2억 1,000",457,457,남서향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.624907,127.027083
2524418643,일반상가,월세,1/2,150,"2,000",60,60,남동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.613497,127.031354
2524364937,일반상가,월세,1/9,130,"1,700",24,19,동향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.628521,127.02494
2524358649,일반상가,월세,2/5,170,"3,000",148,148,동향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.626754,127.017986
2524485886,단지내상가,매매,3/4,,"1억 7,000",38,38,남동향,20250508,"['25년이내', '고층', '관리비10만원이하', '주차가능']",37.616788,127.017486
2524332628,일반상가,월세,1/2,400,"4,000",116,116,남동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.611894,127.033288
2524362266,일반상가,월세,1/1,270,"7,000",96,96,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.624637,127.018674
2524388475,일반상가,월세,6/7,504,"9,000",297,185,남동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.623623,127.02688
2524300673,일반상가,월세,1/4,80,"1,000",33,29,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.621504,127.027707
2524441738,일반상가,월세,1/4,140,"1,000",66,60,남서향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.625293,127.025971
2524371008,일반상가,월세,1/4,135,"2,000",27,27,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.625902,127.025336
