articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524611115,일반상가,월세,2/5,300,"7,000",228,228,남서향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.635888,127.024399
2524647903,일반상가,월세,5/5,"1,700","2억 4,000",528,495,남동향,20250509,"['2년이내', '역세권', '고층', '주차가능']",37.637646,127.026371
2524645656,일반상가,월세,1/5,756,"1억 6,800",92,92,남서향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.637646,127.026371
2524604460,일반상가,월세,1/2,130,"2,500",33,33,북서향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.640421,127.0287
2524608205,일반상가,월세,1/5,440,"8,000",99,99,북서향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.640646,127.028936
2524610305,일반상가,월세,2/4,440,"5,000",94,81,북서향,20250509,"['25년이상', '역세권', '중층', '총4층']",37.637674,127.025713
2524604850,일반상가,월세,3/4,90,"1,000",80,80,남서향,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.635235,127.025395
2524418193,일반상가,월세,B1/15,650,1억,371,299,남향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.636563,127.025359
2524501135,일반상가,월세,2/15,400,"5,000",112,90,남동향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.636648,127.025233
2524405545,일반상가,월세,3/7,400,1억,248,215,남향,20250508,"['4년이내', '역세권', '중층', '주차가능']",37.634985,127.024344
2524522972,일반상가,월세,1/15,150,"2,000",28,23,남동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.636648,127.025233
2524396694,일반상가,월세,1/4,300,"3,000",245,165,서향,20250508,"['25년이내', '융자금적은', '1층', '주차가능']",37.628204,127.043076
2524418538,일반상가,월세,14/14,300,"5,000",230,230,북서향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.636773,127.024908
2524488906,일반상가,월세,B1/3,90,"1,000",139,139,북동향,20250508,"['25년이상', '융자금없는', '지하층', '총3층']",37.636481,127.031814
2524476723,일반상가,월세,1/5,55,"1,000",33,33,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.636331,127.029309
2524488392,일반상가,월세,1/2,50,500,25,25,남향,20250508,"['25년이상', '1층', '총2층', '남향']",37.636543,127.031542
2524448098,일반상가,월세,3/8,950,1억,405,405,북서향,20250508,"['25년이내', '융자금적은', '역세권', '중층']",37.64133,127.029648
2524573627,일반상가,월세,1/5,200,1억,49,33,북서향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.63804,127.026431
2524571798,일반상가,월세,1/5,"2,500",5억,165,165,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.63804,127.026431
2524437408,일반상가,월세,1/8,100,"1,500",37,33,남서향,20250508,"['10년이내', '1층', '주차가능', '엘리베이터']",37.637722,127.030853
2524488214,일반상가,월세,5/8,700,3억,352,257,서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.636556,127.024532
2524421426,일반상가,월세,1/5,400,"8,000",110,110,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.635394,127.024519
2524284419,일반상가,월세,1/5,190,"4,000",42,42,북동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.636984,127.026756
2524473907,일반상가,월세,1/5,280,"3,000",73,73,북향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.638263,127.027239
2524418207,일반상가,월세,9/14,400,1억,197,165,북서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.636773,127.024908
2524319954,일반상가,월세,2/6,"1,000",2억,921,921,남향,20250508,"['25년이상', '지상층(1층제외)', '주차가능', '남향']",37.634708,127.027786
2524454765,일반상가,월세,2/7,"1,000",2억,198,198,북서향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '북서향']",37.637539,127.025559
2524431324,일반상가,월세,1/7,"3,000",8억,193,193,북향,20250508,"['25년이상', '역세권', '1층', '북향']",37.637539,127.025559
2524414238,일반상가,월세,5/8,700,3억,352,288,북서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.636556,127.024532
2524532447,일반상가,월세,1/10,140,"2,000",93,58,남서향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.637274,127.031427
2524540079,일반상가,월세,1/2,75,"1,500",33,33,북서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.640171,127.029607
2524538225,일반상가,월세,1/5,748,"1억 6,600",91,91,남서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.637646,127.026371
2524404868,일반상가,월세,1/5,480,1억 680,58,58,남서향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.63772,127.026511
