articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524648640,일반상가,월세,1/4,120,"2,000",70,66,동향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.638928,127.013263
2524664213,일반상가,월세,2/5,85,"1,000",94,94,남동향,20250509,"['25년이상', '중층', '총5층', '남동향']",37.644267,127.027885
2524603267,일반상가,월세,3/3,70,700,111,111,남서향,20250509,"['25년이상', '고층', '총3층', '남서향']",37.64453,127.020911
2524609172,일반상가,월세,1/2,"1,000","1억 5,000",184,184,북향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.638987,127.023326
2524663472,일반상가,월세,7/9,250,"3,000",199,199,동향,20250509,"['25년이상', '융자금적은', '역세권', '고층']",37.631152,127.023923
2524605622,일반상가,월세,B2/10,300,"7,000",666,527,남동향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.638901,127.024918
2524549735,일반상가,월세,1/4,100,"1,000",34,34,북향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.638895,127.022016
2524647540,일반상가,월세,1/4,800,2억,49,49,남동향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.638851,127.026155
2524654872,일반상가,월세,2/3,230,"4,000",110,110,동향,20250509,"['25년이상', '역세권', '중층', '총3층']",37.636105,127.022852
2524655920,일반상가,월세,1/5,210,"2,500",49,49,남동향,20250509,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.642546,127.030091
2524636531,일반상가,월세,1/2,400,"8,000",17,17,남향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.638239,127.025511
2524410932,일반상가,월세,1/4,130,"3,000",73,73,동향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.630892,127.019288
2524407483,일반상가,매매,3/10,,"3억 7,000",100,77,동향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.633198,127.021899
2524414625,일반상가,월세,1/4,350,"5,000",145,145,남동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.639676,127.024357
2524435656,일반상가,월세,1/4,50,"1,500",30,30,북서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.644557,127.01659
2524429822,일반상가,월세,1/3,700,"5,000",249,249,남서향,20250508,"['25년이내', '1층', '주차가능', '총3층']",37.642007,127.02267
2524464003,일반상가,월세,2/16,800,2억,350,340,남동향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.637149,127.024195
2524390829,일반상가,월세,1/3,220,"3,000",102,102,북향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.644467,127.005031
2524394383,일반상가,월세,2/4,200,"4,000",121,121,북동향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.63901,127.023937
2524365745,일반상가,월세,1/3,90,"1,000",49,49,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.634576,127.017653
2524386609,일반상가,월세,1/2,550,1억,213,213,동향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.647331,127.008535
2524362314,일반상가,월세,B1/13,240,"3,000",215,156,동향,20250508,"['2년이내', '지하층', '주차가능', '엘리베이터']",37.632291,127.023121
2524354525,일반상가,월세,2/10,150,"3,000",100,77,북동향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.633198,127.021899
2524394151,일반상가,월세,1/4,70,"1,000",40,40,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.634901,127.01964
2524350521,일반상가,월세,1/2,80,"1,000",35,35,북동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.629829,127.017294
2524396538,일반상가,월세,1/19,400,1억,77,38,북향,20250508,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.634409,127.022868
2524389644,일반상가,월세,4/4,900,"1억 5,000",679,679,남서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.640221,127.027097
2524399333,일반상가,월세,B1/10,920,2억,779,601,남향,20250508,"['25년이상', '역세권', '지하층', '주차가능']",37.638901,127.024918
2524423917,일반상가,월세,4/4,330,"5,000",139,139,남동향,20250508,"['25년이상', '융자금적은', '역세권', '고층']",37.637677,127.024944
2524438435,일반상가,월세,1/5,80,"1,000",33,33,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.64014,127.012282
2524317697,일반상가,월세,1/3,100,"1,000",33,33,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.636406,127.022157
2524332674,일반상가,월세,1/2,70,"1,000",26,26,,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.646559,127.020344
2524354955,일반상가,월세,11/15,530,"9,000",315,280,동향,20250508,"['10년이내', '역세권', '고층', '주차가능']",37.634935,127.022953
2524394326,일반상가,월세,1/3,80,"1,000",41,41,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.63357,127.013688
2524413091,일반상가,월세,1/5,160,"3,000",159,100,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.634626,127.013568
2524401612,일반상가,월세,1/2,150,"3,000",71,71,북향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.637263,127.016961
2524411464,일반상가,월세,1/4,"1,000",1억,170,170,서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.641551,127.02268
2524406858,일반상가,월세,1/2,300,"5,000",115,115,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.639241,127.024715
2524368350,일반상가,월세,1/2,300,"5,000",98,98,북동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.647424,127.016105
2524393172,일반상가,월세,1/4,200,"3,000",68,68,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.639208,127.024136
2524365860,일반상가,매매,4/8,,"5억 3,000",146,74,남서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.638531,127.024209
2524361183,일반상가,월세,2/7,320,"5,000",240,240,남향,20250508,"['25년이상', '마당', '역세권', '지상층(1층제외)']",37.6349,127.022072
2524398722,일반상가,월세,11/15,530,"9,000",314,314,북동향,20250508,"['10년이내', '역세권', '고층', '주차가능']",37.634935,127.022953
2524375644,일반상가,월세,1/4,"1,600","6,000",132,132,남동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.637035,127.024086
2524364428,복합상가,매매,1/15,,"7억 3,000",73,46,서향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.638608,127.023116
2524387242,일반상가,월세,1/3,140,"1,500",31,31,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.640403,127.022334
2524395784,일반상가,월세,2/5,180,"2,000",85,85,북향,20250508,"['4년이내', '역세권', '중층', '관리비10만원이하']",37.638907,127.022167
2524381663,일반상가,월세,B1/3,60,"1,000",87,87,남서향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.635845,127.019786
2524415532,일반상가,월세,1/15,180,"2,000",49,26,북서향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.634349,127.022177
2524399844,일반상가,월세,1/4,100,"1,000",20,20,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.642691,127.027025
2524417337,일반상가,월세,8/15,500,1억,347,231,남동향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.637239,127.02448
2524436549,일반상가,월세,1/5,"2,200",5억,252,231,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.636846,127.0239
2524408380,일반상가,매매,1/6,,"3억 2,000",33,30,북향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.638676,127.021514
2524405661,일반상가,월세,1/10,280,"5,000",89,66,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.638898,127.023082
2524485572,일반상가,월세,1/5,120,"2,000",61,61,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.64001,127.012939
2524438475,일반상가,월세,1/3,45,"1,000",39,39,서향,20250508,"['25년이상', '1층', '총3층', '서향']",37.631356,127.013955
2524484204,일반상가,월세,1/4,165,"2,000",35,35,서향,20250508,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.643318,127.022699
