articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524480504,일반상가,월세,2/7,216,"3,500",142,110,남향,20250509,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.56137,126.81329
2524609795,일반상가,월세,2/5,100,"1,000",98,98,동향,20250509,"['25년이내', '중층', '관리비10만원이하', '주차가능']",37.554774,126.815876
2524480717,일반상가,월세,1/7,276,"4,000",133,92,남향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.56137,126.81329
2524598117,일반상가,월세,1/3,130,"1,500",73,58,북향,20250508,"['25년이상', '마당', '역세권', '1층']",37.562078,126.815866
2524486650,일반상가,월세,B1/3,220,"5,000",276,276,서향,20250508,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.560311,126.810236
2524373932,일반상가,월세,1/3,160,"2,000",38,38,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.560311,126.810236
2524314934,일반상가,월세,2/3,250,"5,000",115,115,북향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.561131,126.809982
2524314630,일반상가,월세,1/3,130,"2,500",57,57,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.556112,126.812396
2524352067,일반상가,월세,1/3,400,"5,000",74,74,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.560994,126.81193
2524367216,일반상가,월세,B1/7,111,"2,000",210,93,서향,20250508,"['2년이내', '역세권', '지하층', '주차가능']",37.56137,126.81329
2524440216,일반상가,월세,1/5,150,"2,000",89,89,,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.554851,126.81752
2524333486,일반상가,월세,2/7,400,"5,000",210,210,남향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.561466,126.812808
2523880164,일반상가,월세,4/4,50,"1,000",40,40,북향,20250507,"['25년이상', '융자금적은', '역세권', '고층']",37.560963,126.810689
2523881876,일반상가,월세,2/3,130,"1,500",109,109,동향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.560255,126.809865
2523884296,일반상가,월세,B1/4,120,"3,000",211,166,동향,20250507,"['25년이상', '융자금적은', '역세권', '지하층']",37.559439,126.810131
2524232978,일반상가,월세,1/5,150,"2,000",89,80,북향,20250507,"['25년이내', '1층', '관리비10만원이하', '총5층']",37.554851,126.81752
2524084795,복합상가,월세,2/3,350,"5,000",496,211,북향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.561048,126.810287
2524080555,일반상가,월세,1/5,150,"5,000",215,49,남서향,20250507,"['25년이내', '융자금적은', '역세권', '1층']",37.560646,126.809985
2524078723,일반상가,월세,B1/3,243,"5,000",270,270,남향,20250507,"['25년이상', '역세권', '지하층', '총3층']",37.561131,126.809982
2523881999,일반상가,월세,1/7,331,"4,000",133,92,남향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.561316,126.813249
2523913508,일반상가,월세,1/4,65,"1,000",29,29,남서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.556885,126.811822
2523924425,일반상가,월세,1/3,240,"5,000",100,100,서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.560998,126.810971
2524114437,일반상가,월세,B1/3,40,500,82,82,남서향,20250507,"['25년이상', '융자금없는', '역세권', '지하층']",37.562291,126.812957
2523887199,일반상가,월세,1/4,150,"2,000",80,80,북동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.563007,126.814257
2523836258,일반상가,월세,1/2,140,"2,000",56,38,서향,20250505,"['25년이상', '역세권', '1층', '총2층']",37.559898,126.812419
2523899902,단지내상가,월세,1/5,160,"2,000",85,71,동향,20250505,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.555253,126.816048
2523618679,일반상가,월세,6/6,200,"3,000",153,79,북향,20250503,"['25년이내', '융자금적은', '테라스', '역세권']",37.560971,126.811563
2523690337,일반상가,월세,B1/4,240,"2,000",240,240,북향,20250503,"['25년이내', '지하층', '주차가능', '총4층']",37.554626,126.814511
2523605268,일반상가,월세,2/3,183,"2,000",163,163,북향,20250502,"['25년이상', '융자금적은', '역세권', '중층']",37.559789,126.810509
2523571547,일반상가,월세,B1/6,200,"5,000",208,208,서향,20250502,"['25년이내', '지하층', '주차가능', '천장에어컨']",37.555846,126.815923
2523589518,일반상가,월세,B1/3,240,"4,000",74,66,남서향,20250502,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.560994,126.81193
2523553328,일반상가,월세,1/7,"1,000",1억,159,159,남향,20250502,"['2년이내', '융자금없는', '역세권', '1층']",37.561466,126.812808
2523555837,일반상가,월세,1/3,50,"1,000",23,22,남서향,20250502,"['25년이상', '융자금적은', '역세권', '1층']",37.558033,126.811442
2523590988,일반상가,월세,1/3,400,1억,74,66,북서향,20250502,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.560994,126.81193
2523165635,일반상가,월세,1/5,140,"4,000",49,49,서향,20250430,"['25년이내', '융자금적은', '역세권', '1층']",37.560646,126.809985
2523071004,일반상가,월세,B1/3,220,"5,000",276,204,서향,20250430,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.560311,126.810236
2523165995,일반상가,월세,1/4,300,"5,000",90,90,,20250430,"['25년이상', '역세권', '1층', '주차가능']",37.560438,126.81008
2522908615,일반상가,월세,7/7,216,"3,500",142,112,남향,20250429,"['2년이내', '역세권', '고층', '주차가능']",37.561292,126.813257
2522995383,일반상가,월세,B1/3,220,"5,000",276,240,서향,20250429,"['25년이상', '융자금없는', '역세권', '지하층']",37.560311,126.810236
2522896107,일반상가,월세,1/4,120,"2,000",83,83,남향,20250429,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.554483,126.814259
2522683880,일반상가,월세,1/4,130,"1,000",86,86,,20250428,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.554501,126.814421
2522741083,일반상가,월세,1/8,100,"2,000",37,26,서향,20250428,"['10년이내', '융자금없는', '역세권', '1층']",37.560713,126.811044
2522560828,일반상가,월세,1/5,150,"3,000",98,98,북동향,20250428,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.554774,126.815876
2522477090,일반상가,월세,1/15,400,"5,000",135,78,동향,20250428,"['2년이내', '1층', '주차가능', '동향']",37.56165,126.816053
2522534340,일반상가,월세,1/6,230,"4,000",113,113,동향,20250428,"['25년이내', '역세권', '1층', '주차가능']",37.560881,126.811764
2522460345,일반상가,월세,1/4,200,"2,500",95,88,남서향,20250428,"['4년이내', '역세권', '1층', '주차가능']",37.563908,126.811335
2522728336,일반상가,월세,1/2,196,"2,000",122,59,북서향,20250428,"['25년이상', '역세권', '1층', '총2층']",37.563664,126.810889
2522773142,일반상가,월세,1/4,70,"1,000",30,30,동향,20250428,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.556885,126.811822
2522406930,복합상가,월세,1/4,300,"5,000",89,89,서향,20250426,"['25년이상', '융자금적은', '역세권', '1층']",37.560438,126.81008
2522314032,일반상가,월세,B1/3,240,"4,000",74,74,서향,20250426,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.560994,126.81193
2522019267,일반상가,월세,2/3,250,"5,000",100,100,북향,20250425,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.561131,126.809982
