articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524636596,일반상가,월세,1/4,137,"1,000",60,60,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.55277,126.863111
2524633284,일반상가,월세,1/14,280,"6,000",61,61,동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.558574,126.856165
2524642929,복합상가,월세,1/7,120,"2,500",44,34,남향,20250509,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.556875,126.855922
2524636494,일반상가,월세,2/3,80,"1,000",49,49,동향,20250509,"['25년이상', '역세권', '중층', '총3층']",37.554172,126.859385
2524619970,일반상가,월세,3/5,900,"1억 7,500",305,297,서향,20250509,"['4년이내', '역세권', '중층', '관리비10만원이하']",37.550297,126.863481
2524620150,일반상가,월세,1/5,150,"2,000",38,38,동향,20250509,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.557992,126.848905
2524644162,일반상가,월세,1/1,320,"3,000",110,56,북향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.556523,126.855438
2524477242,일반상가,월세,2/5,130,"2,000",132,95,북향,20250508,"['25년이상', '중층', '주차가능', '총5층']",37.561666,126.845013
2524313467,일반상가,매매,1/1,,43억,153,153,남향,20250508,"['25년이상', '1층', '주차가능', '천장에어컨']",37.558534,126.846642
2524453420,일반상가,월세,2/10,120,"3,000",69,52,북서향,20250508,"['2년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.558417,126.845183
2524467534,일반상가,월세,2/20,"1,367","1억 3,677",346,346,북동향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.55671,126.861903
2524376814,일반상가,월세,4/5,130,"4,000",171,125,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.559225,126.841523
2524333554,일반상가,월세,3/5,135,"4,000",145,132,서향,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.558828,126.845273
2524333717,일반상가,월세,2/4,400,"5,000",212,212,서향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.556985,126.853312
2524324152,복합상가,매매,1/10,,11억,126,66,북동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.560519,126.855559
2524427375,일반상가,월세,3/15,500,"8,000",409,204,북향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.562028,126.852503
2524331526,일반상가,월세,1/13,"1,300",3억,595,508,북동향,20250508,"['15년이내', '융자금적은', '마당', '역세권']",37.567331,126.842912
2524420805,복합상가,월세,2/7,225,"4,000",420,181,북서향,20250508,"['25년이상', '지상층(1층제외)', '주차가능', '엘리베이터']",37.560625,126.846613
2524438437,일반상가,월세,1/3,300,"3,000",92,85,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.554731,126.8565
2524490199,일반상가,월세,3/12,100,"1,000",86,43,북향,20250508,"['4년이내', '지상층(1층제외)', '주차가능', '천장에어컨']",37.564203,126.847985
2524482662,일반상가,월세,8/8,400,1억,391,282,남서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.558285,126.84431
2524325090,복합상가,매매,2/15,,"8억 5,000",255,130,북동향,20250508,"['10년이내', '급매', '지상층(1층제외)', '주차가능']",37.565352,126.845916
2524398718,일반상가,매매,1/9,,"3,000",22,10,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.560246,126.845764
2524389850,일반상가,월세,1/3,"1,000",1억,524,363,남향,20250508,"['25년이내', '1층', '주차가능', '총3층']",37.557988,126.847073
2524381523,일반상가,월세,8/8,420,1억,391,280,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.558285,126.84431
2524457996,일반상가,월세,2/12,200,"3,000",227,124,남동향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.558803,126.840044
