articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524632851,복합상가,월세,4/13,855,1억,569,284,남향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.558499,126.834316
2524631366,복합상가,월세,1/11,400,"4,000",127,63,남향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.560956,126.828823
2524631487,복합상가,월세,1/7,250,"2,500",77,38,북동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.558203,126.828065
2524631631,복합상가,월세,1/13,350,"4,000",101,50,북향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.559059,126.828598
2524631703,복합상가,월세,1/12,250,"4,000",93,46,북향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.559025,126.829053
2524658146,복합상가,월세,3/14,65,500,45,22,남향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '관리비10만원이하']",37.560433,126.827527
2524633162,복합상가,월세,1/12,450,"5,000",159,79,북향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.55875,126.831743
2524631891,복합상가,월세,1/12,630,"6,000",183,91,남향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.558979,126.829506
2524635782,복합상가,월세,1/9,600,"6,000",213,106,동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.558599,126.827968
2524632082,복합상가,월세,1/13,250,"3,000",73,36,북향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.559633,126.832001
2524633107,일반상가,월세,B1/10,150,"2,000",111,69,남향,20250509,"['25년이내', '지하층', '관리비20만원이하', '주차가능']",37.573055,126.81852
2524632212,단지내상가,매매,1/14,,45억,317,143,동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.568283,126.840366
2524634671,복합상가,월세,1/8,230,"2,000",69,34,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.559774,126.830432
2524626902,일반상가,월세,1/13,380,"5,000",120,60,북향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.560127,126.832101
2524626924,일반상가,월세,1/11,680,"6,000",196,99,남향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.560101,126.832645
2524607315,복합상가,월세,10/10,160,"2,000",122,55,남향,20250509,"['10년이내', '역세권', '고층', '주차가능']",37.560878,126.829628
2524609564,복합상가,월세,3/13,180,"2,000",135,67,동향,20250509,"['10년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.569041,126.827779
2524611241,복합상가,월세,3/8,800,"1억 5,000",511,227,남향,20250509,"['10년이내', '역세권', '중층', '주차가능']",37.558894,126.830295
2524626887,일반상가,월세,2/10,800,"8,000",430,199,서향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.558496,126.827151
2524607832,복합상가,월세,1/11,210,"3,000",100,37,남향,20250509,"['10년이내', '융자금적은', '역세권', '1층']",37.55875,126.831743
2524630138,복합상가,월세,4/12,550,"8,000",471,198,남향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.558824,126.831011
2524669670,복합상가,월세,1/8,320,"5,000",65,52,동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.562691,126.823617
2524669521,단지내상가,매매,1/2,,"4억 5,000",72,25,남향,20250509,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.559199,126.82294
2524675704,복합상가,월세,4/13,110,"1,000",105,52,북서향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.559684,126.831391
2524625031,일반상가,월세,2/12,720,"7,000",429,193,북향,20250509,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.559935,126.834337
2524647745,복합상가,월세,1/14,830,1억,157,78,동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.559638,126.837229
2524646978,복합상가,월세,4/5,170,"2,000",68,55,서향,20250509,"['10년이내', '융자금적은', '역세권', '고층']",37.557905,126.83495
2524626898,일반상가,월세,1/13,800,"9,000",170,80,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.559466,126.833894
2524617878,복합상가,월세,4/13,150,"2,000",127,63,남향,20250509,"['10년이내', '테라스', '역세권', '지상층(1층제외)']",37.559633,126.832001
2524630389,복합상가,월세,1/10,130,"2,000",61,30,남향,20250509,"['10년이내', '테라스', '역세권', '1층']",37.560878,126.829628
