articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524639922,일반상가,월세,1/1,300,"3,000",174,99,서향,20250509,"['15년이내', '1층', '주차가능', '서향']",37.572833,126.812838
2524639579,일반상가,월세,1/1,"3,000",10억,536,536,북향,20250509,"['25년이내', '1층', '주차가능', '북향']",37.573257,126.81238
2524647067,복합상가,월세,3/3,120,"1,000",99,99,남서향,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.562103,126.80793
2524645359,일반상가,월세,1/3,150,"4,500",110,110,동향,20250509,"['25년이상', '1층', '총3층', '동향']",37.567609,126.809221
2524637795,단지내상가,월세,1/2,80,"1,000",98,31,남향,20250509,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.567259,126.815856
2524601135,일반상가,월세,1/7,300,"5,000",52,52,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.573199,126.81182
2524563727,일반상가,월세,1/3,80,"1,000",36,29,남동향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.572659,126.814107
2524353487,일반상가,월세,1/2,100,"1,500",33,33,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.56782,126.812928
2524441838,일반상가,월세,6/6,270,"3,000",144,112,남향,20250508,"['4년이내', '역세권', '고층', '주차가능']",37.568213,126.816246
2524383914,일반상가,월세,1/5,100,"1,000",81,81,북향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.567623,126.807442
2524377153,단지내상가,월세,1/15,100,"2,000",27,26,동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.569185,126.816104
2524465382,일반상가,월세,1/7,"1,000",3억,370,314,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.573199,126.81182
2524364773,단지내상가,월세,1/7,580,1억,170,104,남향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.573782,126.812289
2524607998,일반상가,월세,2/4,200,"3,000",164,148,서향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.573254,126.813718
2524333401,일반상가,월세,2/2,300,"4,000",220,220,동향,20250508,"['10년이내', '융자금없는', '역세권', '고층']",37.569033,126.81259
2524545608,일반상가,월세,1/1,75,"1,500",39,39,남서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.575314,126.811474
2524386378,복합상가,월세,2/8,400,1억,115,115,서향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.569757,126.81312
2524560778,일반상가,월세,1/10,40,"1,000",37,20,남향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.572366,126.806952
2524455456,일반상가,월세,2/7,180,"4,000",260,231,남향,20250508,"['25년이상', '지상층(1층제외)', '주차가능', '엘리베이터']",37.573643,126.813284
2524453350,일반상가,월세,1/12,105,"1,000",53,27,북서향,20250508,"['25년이상', '융자금없는', '테라스', '역세권']",37.578313,126.812813
2524584974,단지내상가,월세,1/2,80,"1,500",36,25,서향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.571061,126.810179
2524453884,일반상가,월세,3/7,400,"5,000",343,290,동향,20250508,"['25년이내', '테라스', '역세권', '중층']",37.565758,126.811536
2524510769,일반상가,월세,1/9,130,"2,000",80,52,북서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.562353,126.80796
2524454915,일반상가,월세,3/4,350,"5,000",359,186,남동향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.573753,126.811813
2524365376,단지내상가,월세,1/7,275,"5,000",75,51,남향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.573782,126.812289
2524457807,일반상가,월세,2/4,270,"5,000",185,96,남동향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.573753,126.811813
2524557150,일반상가,월세,7/7,220,"5,000",187,125,북향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.573199,126.81182
2524414282,복합상가,월세,3/4,350,"5,000",359,186,남향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.573743,126.812096
2524311729,일반상가,월세,3/5,150,"3,000",167,167,남향,20250508,"['2년이내', '역세권', '중층', '관리비20만원이하']",37.567957,126.810559
2524074189,일반상가,월세,1/3,90,"1,000",33,33,북동향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.572544,126.811006
2523805062,일반상가,월세,1/1,700,"1억 5,000",123,123,북향,20250507,"['25년이상', '1층', '북향']",37.573304,126.813084
