articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524630409,일반상가,월세,1/4,220,"4,000",96,92,북서향,20250509,"['25년이상', '융자금없는', '1층', '주차가능']",37.554211,126.852986
2524630176,일반상가,월세,2/5,250,"3,000",128,128,북서향,20250509,"['25년이상', '융자금적은', '중층', '관리비10만원이하']",37.554471,126.853456
2524652376,일반상가,월세,1/5,100,"3,000",59,56,남동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.548005,126.849387
2524657748,일반상가,월세,4/6,150,"3,000",140,139,남서향,20250509,"['25년이상', '중층', '주차가능', '남서향']",37.550981,126.85205
2524530655,일반상가,월세,1/9,"1,300",2억,154,85,,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.530367,126.84718
2524630488,일반상가,월세,2/4,80,"2,000",71,66,남서향,20250509,"['25년이내', '융자금적은', '중층', '관리비10만원이하']",37.553732,126.852217
2524656454,일반상가,월세,1/2,120,"1,700",36,36,남동향,20250509,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.551383,126.851695
2524630780,일반상가,월세,4/7,440,"5,000",226,212,북서향,20250509,"['25년이내', '융자금없는', '중층', '주차가능']",37.55336,126.851926
2524629830,일반상가,월세,3/4,200,"2,000",156,129,서향,20250509,"['4년이내', '융자금적은', '고층', '관리비10만원이하']",37.542799,126.846968
2524672777,일반상가,월세,2/2,60,"2,000",49,49,북서향,20250509,"['25년이상', '융자금없는', '고층', '총2층']",37.546948,126.845837
2524648149,일반상가,월세,1/3,300,"3,000",42,42,남동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.543874,126.842969
2524645484,복합상가,월세,1/4,150,"3,000",49,49,남동향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.538422,126.837666
2524630625,일반상가,월세,1/9,350,"5,000",99,82,북서향,20250509,"['25년이상', '1층', '주차가능', '북서향']",37.553271,126.851181
2524645581,일반상가,월세,1/2,100,"1,000",33,33,남서향,20250509,"['25년이상', '융자금없는', '1층', '총2층']",37.546948,126.845837
2524628890,일반상가,월세,5/8,45,"1,000",39,39,북향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.532506,126.843834
2524644414,일반상가,월세,2/3,80,"1,000",49,49,북동향,20250509,"['25년이상', '중층', '총3층', '북동향']",37.548623,126.850032
2524612829,복합상가,월세,1/3,380,"4,000",114,114,남동향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.544268,126.842207
2524631435,일반상가,월세,1/15,150,"3,000",95,95,남서향,20250509,"['25년이내', '1층', '주차가능', '남서향']",37.52856,126.842743
2524652652,일반상가,월세,3/5,80,"1,000",123,107,남서향,20250509,"['25년이상', '중층', '관리비20만원이하', '주차가능']",37.548005,126.849387
2524647918,일반상가,월세,1/5,150,"2,000",40,39,남동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.545563,126.844444
2524645867,일반상가,월세,B1/3,150,"3,000",149,148,북서향,20250509,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.548648,126.847236
2524651636,일반상가,월세,2/4,100,"2,000",127,105,북서향,20250509,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.547165,126.848837
2524645073,일반상가,월세,1/5,63,"1,000",23,23,서향,20250509,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.54887,126.848455
2524628899,일반상가,월세,6/8,50,"1,000",49,49,북향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.532506,126.843834
2524647522,일반상가,월세,1/1,110,"2,000",33,33,남향,20250509,"['25년이상', '융자금적은', '1층', '남향']",37.534456,126.837655
2524650126,일반상가,월세,1/5,100,"1,000",25,25,북서향,20250509,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.542041,126.843384
2524647611,일반상가,월세,1/5,100,"1,000",40,39,북동향,20250509,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.547014,126.843955
2524620423,일반상가,월세,1/1,70,"1,000",22,22,남향,20250509,"['25년이상', '1층', '관리비10만원이하', '남향']",37.536398,126.847155
2524628917,일반상가,월세,5/8,140,"2,000",163,163,북향,20250509,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.532506,126.843834
2524628885,일반상가,월세,1/8,110,"1,500",35,35,북향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.532506,126.843834
2524606596,일반상가,월세,1/3,80,"1,500",50,50,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.538158,126.837003
2524645419,일반상가,월세,1/5,63,"1,000",20,19,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.549008,126.84816
2524644524,복합상가,월세,1/5,210,"3,000",39,39,북향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.547809,126.835029
2524648758,일반상가,월세,1/2,135,"1,000",26,26,남향,20250509,"['25년이상', '1층', '총2층', '남향']",37.534389,126.837481
2524655162,일반상가,월세,1/9,350,"5,000",109,23,서향,20250509,"['25년이상', '1층', '주차가능', '서향']",37.553271,126.851181
2524657976,일반상가,월세,5/6,200,"5,000",247,244,남서향,20250509,"['25년이상', '고층', '주차가능', '엘리베이터']",37.550981,126.85205
2524646943,일반상가,월세,2/3,130,"2,000",102,79,남동향,20250509,"['25년이상', '중층', '주차가능', '총3층']",37.548305,126.846292
2524648291,일반상가,월세,1/3,240,"4,000",132,42,남동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.543874,126.842969
2524630827,일반상가,월세,2/7,560,"6,000",226,212,북서향,20250509,"['25년이내', '융자금없는', '지상층(1층제외)', '주차가능']",37.55336,126.851926
2524657378,일반상가,월세,2/6,170,"5,000",140,139,남서향,20250509,"['25년이상', '지상층(1층제외)', '주차가능', '엘리베이터']",37.550981,126.85205
2524656158,일반상가,월세,1/2,200,"3,000",72,72,남동향,20250509,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.551383,126.851695
2524659960,일반상가,월세,4/6,135,"2,000",114,99,북동향,20250509,"['25년이내', '융자금적은', '중층', '관리비10만원이하']",37.554407,126.849626
2524657560,일반상가,월세,B1/6,80,"2,000",164,164,남서향,20250509,"['25년이상', '지하층', '주차가능', '엘리베이터']",37.550981,126.85205
2524669341,일반상가,월세,1/8,450,1억,42,42,북향,20250509,"['15년이내', '역세권', '1층', '주차가능']",37.540606,126.837563
2524660975,일반상가,월세,B1/2,130,"1,300",59,49,남향,20250509,"['25년이상', '융자금없는', '지하층', '주차가능']",37.553403,126.847757
2524610923,복합상가,월세,1/3,300,"3,000",99,99,남동향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.544268,126.842207
