articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524628481,일반상가,월세,2/14,270,"6,000",147,74,동향,20250509,"['25년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.474511,126.981394
2524606306,일반상가,월세,3/8,450,"3,000",127,118,동향,20250509,"['15년이내', '역세권', '중층', '주차가능']",37.475206,126.981351
2524606841,일반상가,매매,2/6,,10억,215,119,북서향,20250509,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.47608,126.977715
2524301551,일반상가,월세,1/4,140,"6,000",39,39,남동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.476284,126.977418
2524602278,일반상가,월세,3/5,190,"2,500",120,110,북향,20250508,"['25년이상', '중층', '엘리베이터', '총5층']",37.475768,126.973317
2524420785,일반상가,월세,1/8,347,"3,466",575,575,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.4762,126.978852
2524436079,일반상가,월세,1/2,100,"2,000",33,33,동향,20250508,"['25년이상', '1층', '총2층', '동향']",37.473809,126.97584
2524537163,일반상가,월세,2/8,600,"8,000",117,117,동향,20250508,"['15년이내', '역세권', '지상층(1층제외)', '동향']",37.475108,126.981373
2524518707,일반상가,월세,1/2,130,"1,000",33,33,동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.475294,126.976847
2524415624,일반상가,월세,2/3,150,"1,500",166,166,남향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.475206,126.980408
2524424583,일반상가,전세,1/5,,"8,000",53,53,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.476228,126.975812
2524321533,일반상가,월세,1/6,550,"4,000",150,99,남서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.476019,126.980137
2524533106,일반상가,월세,1/6,800,"1억 5,000",66,66,동향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.474838,126.981432
2524042653,일반상가,월세,2/5,700,2억,153,153,남서향,20250507,"['25년이상', '융자금적은', '역세권', '중층']",37.476066,126.980996
2524299931,일반상가,월세,1/6,500,"5,000",66,66,남향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.476019,126.980137
2523938700,일반상가,월세,1/5,250,"3,000",104,52,남동향,20250507,"['4년이내', '1층', '주차가능', '총5층']",37.474174,126.975955
2524278917,일반상가,월세,1/4,120,"2,000",33,33,동향,20250507,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.473917,126.975858
2524013071,일반상가,월세,2/8,577,"5,000",176,160,남향,20250507,"['10년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.475496,126.980381
