articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524671433,일반상가,월세,1/4,320,"5,000",69,69,서향,20250509,"['2년이내', '1층', '주차가능', '엘리베이터']",37.47747,126.957527
2524667587,일반상가,월세,1/15,600,1억,43,43,북서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.481054,126.952215
2524652270,일반상가,월세,1/4,130,"1,000",36,33,동향,20250509,"['25년이내', '1층', '관리비10만원이하', '총4층']",37.483873,126.946461
2524589169,일반상가,월세,1/3,80,"1,500",33,33,북향,20250509,"['4년이내', '1층', '총3층', '북향']",37.486345,126.951078
2524606815,일반상가,월세,B1/5,160,"2,500",110,110,북향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.479341,126.944169
2524621673,일반상가,월세,2/6,190,"2,000",149,149,남서향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.481683,126.954885
2524617510,일반상가,월세,1/2,350,"5,000",758,29,남향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.479491,126.95206
2524621355,일반상가,월세,1/4,320,"4,000",75,75,남서향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.483058,126.941966
2524636974,단지내상가,매매,B1/4,,"5,000",22,13,남동향,20250509,"['25년이상', '지하층', '총4층', '남동향']",37.492261,126.95846
2524626359,일반상가,월세,1/4,60,"1,000",26,26,동향,20250509,"['25년이상', '융자금적은', '1층', '총4층']",37.483331,126.94699
2524621834,일반상가,월세,1/3,260,"3,000",100,99,남서향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.486253,126.934519
2524617488,일반상가,월세,1/5,80,"1,000",63,33,남동향,20250509,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.478579,126.962758
2524612690,복합상가,월세,4/20,200,"3,000",64,64,남동향,20250509,"['25년이내', '융자금적은', '역세권', '지상층(1층제외)']",37.482736,126.953239
2524614270,일반상가,월세,1/2,260,"3,000",57,57,동향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.47991,126.955127
2524614786,일반상가,월세,1/2,80,"1,000",30,30,북향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.474249,126.967373
2524607679,일반상가,월세,10/10,135,"2,000",93,93,동향,20250509,"['25년이상', '역세권', '고층', '주차가능']",37.4801,126.95215
2524617613,일반상가,월세,B1/4,60,500,81,81,서향,20250509,"['25년이내', '역세권', '지하층', '관리비10만원이하']",37.475276,126.966698
2524607085,일반상가,월세,13/14,450,"7,000",292,132,북향,20250509,"['15년이내', '역세권', '고층', '주차가능']",37.480738,126.953508
