articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524679307,일반상가,월세,B1/4,80,"1,300",99,99,남서향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.487668,126.914723
2524637396,일반상가,월세,1/4,150,"1,500",45,40,서향,20250509,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.486651,126.917929
2524663679,일반상가,월세,1/4,370,"6,000",135,135,서향,20250509,"['25년이상', '1층', '총4층', '서향']",37.469521,126.938997
2524629650,일반상가,월세,B1/5,350,"8,000",225,198,남서향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.481508,126.93024
2524618532,일반상가,월세,1/3,75,"1,000",33,33,북향,20250509,"['25년이상', '1층', '총3층', '북향']",37.482583,126.910336
2524681722,일반상가,월세,1/4,190,"2,000",75,75,남동향,20250509,"['25년이내', '역세권', '1층', '총4층']",37.482832,126.926208
2524676771,일반상가,월세,2/4,140,"2,000",40,40,남서향,20250509,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.484808,126.925707
2524643229,일반상가,월세,B1/4,250,"3,500",56,56,서향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.484876,126.931131
2524629579,일반상가,월세,3/6,"1,200",2억,938,929,남향,20250509,"['25년이내', '융자금없는', '중층', '주차가능']",37.480103,126.902831
2524629464,일반상가,월세,5/6,350,"8,000",187,180,남서향,20250509,"['25년이내', '고층', '주차가능', '남서향']",37.474527,126.917242
2524627325,일반상가,월세,1/1,180,"2,000",33,33,북서향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.482594,126.901637
2524621451,일반상가,월세,3/4,100,"1,000",100,100,남동향,20250509,"['25년이상', '고층', '주차가능', '총4층']",37.48358,126.922664
2524686225,일반상가,월세,1/3,70,"1,000",39,39,서향,20250509,"['25년이상', '1층', '총3층', '서향']",37.467438,126.920792
2524644976,일반상가,월세,2/5,180,"1억 8,000",132,132,서향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.483309,126.928784
2524605080,일반상가,월세,6/8,530,1억,213,213,남향,20250509,"['15년이내', '융자금없는', '역세권', '고층']",37.484936,126.93263
2524603782,일반상가,월세,1/5,700,"5,000",25,25,남향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.484859,126.93235
2524618769,일반상가,월세,1/3,140,"2,000",23,23,남서향,20250509,"['10년이내', '역세권', '1층', '총3층']",37.483359,126.926179
2524617615,일반상가,월세,B1/4,90,"1,500",177,177,북향,20250509,"['25년이상', '지하층', '관리비10만원이하', '총4층']",37.470318,126.939521
2524629478,일반상가,월세,6/6,250,"5,000",118,118,남서향,20250509,"['25년이내', '융자금없는', '고층', '주차가능']",37.474527,126.917242
2524645636,일반상가,월세,2/3,380,"3,000",89,89,북향,20250509,"['25년이상', '역세권', '중층', '천장에어컨']",37.483674,126.92709
2524629497,일반상가,월세,4/6,350,"8,000",187,180,남서향,20250509,"['25년이내', '융자금없는', '중층', '주차가능']",37.474527,126.917242
2524653324,일반상가,월세,3/10,"1,045","2억 5,000",408,300,남향,20250509,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.484607,126.93049
2524623738,일반상가,월세,1/4,650,1억,125,125,북동향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.482767,126.929167
2524618931,일반상가,월세,2/4,350,"4,000",142,142,남동향,20250509,"['10년이내', '중층', '주차가능', '총4층']",37.485063,126.924104
2524625388,일반상가,월세,1/7,90,"3,000",38,38,서향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.486582,126.931563
2524655449,일반상가,월세,2/3,700,"1억 3,000",256,256,북동향,20250509,"['25년이상', '역세권', '중층', '천장에어컨']",37.483592,126.929005
2524644505,단지내상가,월세,B1/4,157,"3,000",90,90,북동향,20250509,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.483529,126.928837
2524643699,일반상가,월세,4/4,100,"2,000",92,82,서향,20250509,"['25년이상', '역세권', '고층', '총4층']",37.483188,126.928541
2524627312,복합상가,월세,1/20,250,"5,000",52,36,남서향,20250509,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.483562,126.92734
2524619131,일반상가,월세,B1/4,220,"5,000",149,149,서향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.488002,126.928839
2524628909,일반상가,월세,1/2,250,"3,000",29,29,서향,20250509,"['25년이내', '역세권', '1층', '총2층']",37.486012,126.913909
2524643067,일반상가,월세,B1/6,100,"1,500",97,97,북향,20250509,"['25년이상', '역세권', '지하층', '북향']",37.485088,126.931693
2524638659,일반상가,월세,1/5,100,"2,000",65,26,동향,20250509,"['10년이내', '마당', '역세권', '1층']",37.482313,126.926627
2524654640,일반상가,월세,1/5,300,"6,000",89,89,서향,20250509,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.487475,126.916617
2524621861,일반상가,월세,5/7,550,"8,000",142,142,남향,20250509,"['2년이내', '역세권', '고층', '주차가능']",37.484941,126.913624
2524622717,일반상가,월세,1/5,350,"3,000",163,163,북향,20250509,"['25년이상', '1층', '주차가능', '총5층']",37.489157,126.91782
2524605333,일반상가,월세,2/3,140,"2,500",150,145,북동향,20250509,"['25년이상', '중층', '주차가능', '총3층']",37.483527,126.908352
2524621142,일반상가,월세,3/4,120,"3,000",86,86,남서향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.486355,126.929969
