articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524636002,일반상가,월세,1/1,250,"4,000",60,41,남향,20250509,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.542578,127.095259
2524607044,일반상가,월세,1/3,60,"1,000",33,29,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.547884,127.105282
2524449184,단지내상가,월세,1/9,180,"3,000",57,47,남향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.545428,127.101872
2524462769,일반상가,월세,1/3,130,"2,000",33,33,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.547531,127.104321
2524588116,일반상가,월세,3/4,350,"5,000",177,177,서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.548208,127.107579
2524404442,단지내상가,월세,전체층/3,120,"2,000",30,30,북동향,20250508,"['25년이상', '관리비10만원이하', '주차가능', '총3층']",37.541945,127.099683
2524339608,일반상가,월세,1/7,210,"3,000",99,82,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.547963,127.108361
2524370548,일반상가,월세,5/10,"2,221","2억 2,218",1335,667,남향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.544067,127.102904
2524460838,일반상가,월세,5/10,660,"6,000",396,198,남향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.544067,127.102904
2524556027,일반상가,월세,1/3,"3,800",6억,1112,1112,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.546348,127.101957
2524372665,일반상가,월세,1/3,"2,400",3억,1112,1061,남향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.546348,127.101957
2524583778,일반상가,월세,4/4,350,"5,000",177,177,서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.548208,127.107579
2524460011,일반상가,월세,5/10,880,"8,000",528,264,남향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.544067,127.102904
2524097216,단지내상가,매매,2/3,,"1억 7,000",33,22,북서향,20250507,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.547086,127.108568
2524231670,일반상가,월세,1/4,100,"2,000",36,33,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.547114,127.102682
2524022620,단지내상가,월세,2/3,120,"2,000",30,30,남서향,20250507,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.541945,127.099683
2524276256,단지내상가,매매,1/2,,"1억 5,000",25,12,동향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.549662,127.108884
2523864995,단지내상가,월세,3/3,666,"2억 3,470",389,233,,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.543163,127.104201
2524280571,단지내상가,월세,B1/1,250,"4,000",58,41,서향,20250507,"['25년이내', '지하층', '관리비20만원이하', '주차가능']",37.542578,127.095259
2523857053,일반상가,월세,1/4,95,"1,000",29,29,남향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.54745,127.103949
2523864438,일반상가,월세,1/5,300,"3,000",120,94,남향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.547402,127.103735
2523866183,일반상가,월세,1/3,210,"3,000",100,89,남동향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.547963,127.108361
2523822432,일반상가,월세,1/8,150,"3,000",33,25,남동향,20250507,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.541972,127.101204
2523865806,단지내상가,월세,2/3,85,"2,940",48,29,,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.543163,127.104201
2524276775,일반상가,매매,1/11,,"3억 9,000",43,21,남동향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.551623,127.11096
2523869235,일반상가,월세,1/4,230,"3,000",55,39,남서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.548208,127.107579
2524185512,일반상가,월세,B1/5,400,"7,000",191,191,남향,20250507,"['2년이내', '역세권', '지하층', '주차가능']",37.547402,127.103735
2524103578,단지내상가,월세,3/3,63,"2,300",38,22,,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.543163,127.104201
2523840167,일반상가,월세,1/4,600,"8,500",153,140,남서향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.547397,127.106809
2523857534,일반상가,월세,1/4,350,"5,000",173,162,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.547166,127.10696
2523893865,단지내상가,매매,1/1,,"3억 9,000",50,26,남동향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.54694,127.104846
2523867614,복합상가,전세,1/11,,"4억 5,000",145,88,남향,20250507,"['25년이상', '융자금적은', '1층', '주차가능']",37.551413,127.110342
2523625324,일반상가,월세,B1/3,"1,400",3억,711,694,북향,20250503,"['25년이내', '융자금없는', '역세권', '지하층']",37.546348,127.101957
2523655608,일반상가,월세,1/2,130,"2,000",35,33,남향,20250503,"['25년이상', '역세권', '1층', '주차가능']",37.547531,127.104321
2523682364,일반상가,월세,1/2,300,"5,000",103,95,남동향,20250503,"['25년이상', '역세권', '1층', '주차가능']",37.547049,127.106658
2523655336,일반상가,월세,1/3,90,"2,000",66,66,남향,20250503,"['25년이상', '역세권', '1층', '총3층']",37.547853,127.105588
2523517390,일반상가,월세,B1/3,"1,400",3억,711,711,동향,20250502,"['25년이내', '역세권', '지하층', '주차가능']",37.546348,127.101957
2523403268,단지내상가,월세,3/3,800,2억,388,233,북동향,20250502,"['25년이상', '역세권', '고층', '주차가능']",37.543163,127.104201
2523403618,단지내상가,월세,3/3,80,"1,000",35,23,남동향,20250502,"['25년이상', '역세권', '고층', '주차가능']",37.543163,127.104201
2523403283,단지내상가,매매,1/15,,"3억 9,000",31,26,남향,20250502,"['25년이내', '역세권', '1층', '주차가능']",37.54694,127.104846
2523589200,일반상가,월세,1/4,750,"1억 5,000",192,180,남향,20250502,"['25년이상', '역세권', '1층', '주차가능']",37.547813,127.106508
2523105386,단지내상가,매매,1/3,,"2억 5,000",30,15,서향,20250430,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.547086,127.108568
2523128341,일반상가,월세,1/3,450,1억,113,113,,20250430,"['25년이상', '1층', '주차가능', '총3층']",37.542367,127.098448
2522902278,복합상가,월세,1/6,350,"6,000",43,40,북향,20250429,"['25년이내', '1층', '주차가능', '북향']",37.541349,127.097284
2522615445,일반상가,월세,1/4,600,"8,500",220,140,서향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.547397,127.106809
2522743286,일반상가,월세,1/4,600,"8,500",339,140,북향,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.547397,127.106809
2522734666,일반상가,월세,1/5,260,"4,000",99,99,남동향,20250428,"['25년이내', '융자금없는', '역세권', '1층']",37.546615,127.103305
2522554182,일반상가,월세,1/4,600,"8,500",198,138,북서향,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.547397,127.106809
2522696121,일반상가,월세,B1/4,250,"5,000",251,250,남동향,20250428,"['25년이상', '역세권', '지하층', '주차가능']",37.547813,127.106508
2522688598,복합상가,월세,1/11,150,1억,102,88,남향,20250428,"['25년이상', '1층', '주차가능', '남향']",37.551413,127.110342
2522744396,일반상가,월세,1/3,80,"1,000",33,33,북향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.547709,127.106018
2522578339,단지내상가,월세,3/3,490,1억,264,247,북동향,20250428,"['25년이상', '역세권', '고층', '주차가능']",37.543163,127.104201
2522619093,일반상가,월세,1/5,750,"1억 5,000",192,192,남동향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.547813,127.106508
2522720080,일반상가,월세,1/8,150,"3,000",23,23,남향,20250428,"['10년이내', '융자금없는', '역세권', '1층']",37.541972,127.101204
2522716282,일반상가,월세,1/2,88,"1,000",33,33,남동향,20250428,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.547709,127.106018
2522628910,단지내상가,월세,B1/B1,257,"3,000",58,41,남서향,20250428,"['25년이내', '융자금없는', '지하층', '주차가능']",37.542578,127.095259
2522554721,일반상가,월세,1/4,110,"2,000",39,29,북서향,20250428,"['25년이상', '융자금적은', '역세권', '1층']",37.547397,127.106809
2522737389,일반상가,월세,B1/3,"3,800",6억,1824,1112,동향,20250428,"['25년이내', '융자금없는', '역세권', '지하층']",37.546348,127.101957
2522340490,단지내상가,매매,1/3,,"2억 5,000",20,15,서향,20250426,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.547086,127.108568
2522118881,단지내상가,월세,1/4,200,"2,000",56,39,남서향,20250425,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.540625,127.098617
2522087659,일반상가,월세,1/3,450,1억,130,113,남서향,20250425,"['25년이상', '융자금없는', '1층', '주차가능']",37.542367,127.098448
2522115453,일반상가,월세,1/1,"1,400",3억,900,820,동향,20250425,"['25년이상', '역세권', '1층', '주차가능']",37.546348,127.101957
2522198697,일반상가,월세,1/8,180,"3,000",61,43,남향,20250425,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.542594,127.098509
2521847767,일반상가,월세,1/5,400,"8,000",132,115,서향,20250424,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.547352,127.10806
2522024941,일반상가,월세,2/5,250,"3,000",132,130,서향,20250424,"['15년이내', '테라스', '역세권', '중층']",37.547352,127.10806
2521920005,일반상가,월세,B1/4,250,"5,000",251,211,동향,20250424,"['25년이상', '융자금적은', '역세권', '지하층']",37.547813,127.106508
2521980004,단지내상가,매매,2/3,,"14억 5,000",111,101,남향,20250424,"['25년이상', '중층', '주차가능', '총3층']",37.550529,127.106565
2521862143,단지내상가,월세,1/29,"1,200",1억,161,160,남향,20250424,"['2년이내', '1층', '주차가능', '천장에어컨']",37.542985,127.094441
2522031719,일반상가,월세,1/4,110,"2,000",40,30,서향,20250424,"['25년이상', '융자금없는', '역세권', '1층']",37.547397,127.106809
2522025171,일반상가,월세,1/5,400,"8,000",140,132,남동향,20250424,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.547352,127.10806
2521996468,일반상가,월세,1/2,250,"5,000",90,71,남동향,20250424,"['25년이상', '1층', '주차가능', '총2층']",37.547816,127.108134
2521721513,단지내상가,월세,1/4,200,"2,000",57,38,서향,20250423,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.540625,127.098617
2521577216,단지내상가,월세,1/2,130,"2,000",36,33,남향,20250422,"['25년이상', '역세권', '1층', '주차가능']",37.547531,127.104321
2521463962,일반상가,월세,1/4,200,"3,000",80,76,남동향,20250422,"['25년이상', '역세권', '1층', '주차가능']",37.547166,127.10696
2521466543,일반상가,월세,1/4,320,"5,000",165,163,남동향,20250422,"['25년이상', '역세권', '1층', '주차가능']",37.547166,127.10696
2521427325,일반상가,월세,1/3,210,"3,000",100,80,남동향,20250422,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.547963,127.108361
2521426744,일반상가,월세,1/5,230,"3,000",50,40,서향,20250422,"['25년이상', '역세권', '1층', '주차가능']",37.548208,127.107579
2521288538,단지내상가,월세,3/3,50,"1,000",15,15,북동향,20250421,"['25년이상', '융자금없는', '고층', '관리비10만원이하']",37.550529,127.106565
2521332750,일반상가,월세,1/3,80,"2,000",30,30,동향,20250421,"['25년이상', '역세권', '1층', '총3층']",37.547156,127.103864
2521273600,단지내상가,월세,1/3,200,"3,000",38,33,남동향,20250421,"['25년이상', '1층', '주차가능', '총3층']",37.540625,127.098617
2521141542,일반상가,월세,1/4,80,"2,000",30,25,남서향,20250421,"['25년이상', '융자금없는', '역세권', '1층']",37.546701,127.102639
2521260681,단지내상가,월세,3/3,40,"1,000",34,22,북동향,20250421,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.543163,127.104201
2521235470,일반상가,월세,1/2,90,"2,000",56,49,남향,20250421,"['25년이상', '역세권', '1층', '주차가능']",37.547853,127.105588
2520918070,일반상가,월세,1/3,60,"1,000",29,29,남동향,20250419,"['25년이상', '역세권', '1층', '총3층']",37.547884,127.105282
2520975119,일반상가,월세,1/7,210,"3,000",102,82,남동향,20250419,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.547963,127.108361
2520669858,일반상가,월세,B1/3,"1,400",3억,711,677,북향,20250418,"['25년이내', '역세권', '지하층', '주차가능']",37.546348,127.101957
2520781146,단지내상가,월세,2/4,20,500,12,8,남동향,20250418,"['25년이상', '중층', '주차가능', '총4층']",37.540625,127.098617
2520399439,단지내상가,월세,B1/4,55,"1,000",47,34,남향,20250417,"['25년이상', '융자금없는', '지하층', '관리비20만원이하']",37.540625,127.098617
2520599309,일반상가,월세,1/9,180,"3,000",59,47,동향,20250417,"['25년이상', '역세권', '1층', '주차가능']",37.545428,127.101872
2520612427,단지내상가,월세,B1/4,100,"3,000",39,39,남동향,20250417,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.540625,127.098617
