articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524658164,일반상가,월세,1/3,120,"2,000",39,34,서향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.540854,127.085422
2524619007,단지내상가,월세,2/13,80,"1,000",16,16,북향,20250509,"['4년이내', '지상층(1층제외)', '관리비10만원이하', '주차가능']",37.545505,127.08879
2524657328,일반상가,월세,1/2,200,"4,000",28,28,서향,20250509,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.537784,127.083678
2524656397,일반상가,월세,1/3,150,"2,500",35,32,서향,20250509,"['25년이상', '1층', '총3층', '서향']",37.544837,127.085469
2524619255,일반상가,월세,2/5,150,"2,000",109,100,동향,20250509,"['25년이내', '중층', '주차가능', '총5층']",37.546406,127.088541
2524629516,일반상가,월세,1/2,300,"5,000",71,71,남향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.538103,127.08426
2524619151,일반상가,월세,B1/3,100,"1,000",93,28,북향,20250509,"['4년이내', '지하층', '관리비10만원이하', '주차가능']",37.545078,127.088876
2524603824,단지내상가,월세,1/4,110,"2,000",35,33,남향,20250509,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.541053,127.094101
2524647872,일반상가,월세,B1/4,100,"1,000",178,155,동향,20250509,"['25년이상', '융자금적은', '지하층', '관리비10만원이하']",37.544258,127.089316
2524580963,일반상가,월세,2/5,260,"4,000",195,195,남향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.53873,127.088334
2524449521,일반상가,월세,1/6,300,"3,000",94,94,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.537966,127.084239
2524459486,일반상가,월세,5/6,740,1억,214,214,서향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.535969,127.089487
2524530733,일반상가,월세,1/5,250,"3,000",72,72,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.540371,127.084896
2524531763,일반상가,월세,1/5,240,"4,000",87,76,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.539228,127.085079
2524481834,일반상가,월세,3/9,300,"5,000",151,151,서향,20250508,"['15년이내', '지상층(1층제외)', '주차가능', '서향']",37.543205,127.084796
2524442262,일반상가,월세,1/4,95,"2,000",55,26,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.540101,127.088427
2524370761,일반상가,월세,4/8,"1,400","2억 5,000",363,347,북향,20250508,"['2년이내', '중층', '주차가능', '엘리베이터']",37.53917,127.093073
