articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524606039,일반상가,월세,2/5,250,"3,500",166,132,서향,20250509,"['25년이상', '융자금적은', '역세권', '중층']",37.556871,127.076487
2524625467,일반상가,월세,2/3,240,"3,000",96,96,남동향,20250509,"['25년이상', '중층', '관리비10만원이하', '총3층']",37.548529,127.067939
2524642331,단지내상가,월세,2/2,290,"4,000",116,116,북향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.548447,127.0711
2524633576,일반상가,월세,2/3,240,"3,000",80,79,남서향,20250509,"['25년이상', '융자금적은', '중층', '관리비10만원이하']",37.548529,127.067939
2524390043,일반상가,월세,1/1,100,"2,000",37,19,북향,20250508,"['25년이상', '1층', '북향']",37.551022,127.070978
2524349592,일반상가,월세,1/2,150,"1,500",30,27,북향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.557009,127.077516
2524307754,일반상가,월세,1/17,250,"5,000",86,48,남서향,20250508,"['10년이내', '융자금적은', '역세권', '1층']",37.557744,127.077007
2524483990,일반상가,월세,1/2,250,"2,500",59,58,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.54922,127.071103
2524345875,일반상가,월세,1/3,180,"5,000",35,35,남향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.548186,127.071759
2524436210,일반상가,월세,1/5,295,"5,000",80,80,남동향,20250508,"['25년이내', '융자금없는', '역세권', '1층']",37.554265,127.077595
2524460811,일반상가,월세,1/2,200,"3,000",130,130,,20250508,"['25년이상', '역세권', '1층', '총2층']",37.549289,127.070564
2524512410,단지내상가,월세,1/5,90,"2,000",40,33,서향,20250508,"['2년이내', '마당', '1층', '관리비10만원이하']",37.549674,127.069999
2524438743,일반상가,월세,1/4,230,"4,000",76,52,,20250508,"['25년이상', '역세권', '1층', '총4층']",37.55412,127.077516
2524475217,일반상가,월세,B1/4,90,"1,000",115,99,,20250508,"['25년이상', '지하층', '관리비10만원이하', '총4층']",37.555539,127.074105
2524310662,일반상가,월세,1/4,200,"3,000",60,60,남동향,20250508,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.554333,127.074819
2524307321,일반상가,월세,2/4,120,"2,000",126,99,북동향,20250508,"['25년이내', '역세권', '중층', '관리비20만원이하']",37.554312,127.075443
2524523606,일반상가,월세,1/4,170,"1,000",72,66,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.558617,127.074301
2524333343,일반상가,월세,1/2,500,"5,000",213,192,남동향,20250508,"['25년이상', '1층', '총2층', '남동향']",37.55421,127.074687
2524483422,일반상가,월세,3/5,400,"5,000",232,214,남향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.548437,127.068984
2524493142,일반상가,월세,1/3,97,"1,000",42,39,북서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.549218,127.072677
2524581891,일반상가,월세,1/4,"3,500",6억,1188,1060,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.557625,127.077351
2524484514,단지내상가,월세,2/20,290,"4,000",362,116,남향,20250508,"['25년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.548447,127.0711
2524571584,일반상가,월세,1/3,260,"4,000",74,70,남향,20250508,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.557766,127.076117
2524356610,일반상가,월세,5/5,424,"4,240",196,175,북동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.558428,127.075294
2524515680,일반상가,월세,1/4,380,"5,000",138,130,서향,20250508,"['25년이상', '1층', '주차가능', '천장에어컨']",37.558915,127.073849
2524256661,일반상가,월세,2/5,250,"3,000",81,81,동향,20250507,"['2년이내', '중층', '주차가능', '총5층']",37.555044,127.075222
2524288153,일반상가,월세,1/2,160,"2,000",60,49,서향,20250507,"['25년이상', '1층', '총2층', '서향']",37.552204,127.071562
2524288558,단지내상가,월세,1/2,170,"2,200",91,66,서향,20250507,"['25년이상', '1층', '총2층', '서향']",37.551709,127.071336
2524077130,일반상가,월세,1/3,170,"1,000",80,80,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.554743,127.075672
2524222696,일반상가,월세,2/3,200,"2,000",115,115,남향,20250507,"['25년이상', '중층', '주차가능', '총3층']",37.54844,127.068666
2524233290,일반상가,월세,1/3,130,"2,500",39,39,북서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.554097,127.075062
2524109332,일반상가,월세,1/3,500,"5,000",184,181,서향,20250507,"['25년이상', '융자금적은', '1층', '주차가능']",37.556409,127.072356
2523869540,단지내상가,월세,1/6,220,"5,000",49,49,북향,20250507,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.549909,127.06921
2524071366,일반상가,월세,2/3,200,"2,000",115,105,남향,20250507,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.54844,127.068666
2524124070,일반상가,월세,1/2,250,"5,000",74,74,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.555885,127.077251
2524127483,일반상가,월세,1/2,150,"1,500",28,28,북동향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.557009,127.077516
2523853949,단지내상가,월세,2/18,230,"3,000",253,81,남향,20250507,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.548447,127.0711
2523871635,일반상가,월세,1/3,230,"2,000",49,42,서향,20250507,"['25년이상', '융자금없는', '1층', '총3층']",37.548529,127.067939
2524213733,일반상가,월세,1/5,450,"4,500",99,89,북동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.558428,127.075294
2524219840,일반상가,월세,1/3,130,"2,500",39,33,북서향,20250507,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.554097,127.075062
2524235409,일반상가,월세,1/4,380,"5,000",138,138,서향,20250507,"['25년이상', '융자금없는', '1층', '주차가능']",37.558915,127.073849
2524039386,일반상가,월세,1/3,180,"2,000",24,24,남향,20250507,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.548529,127.067939
2523870713,단지내상가,월세,B1/20,130,900,506,161,남향,20250507,"['25년이내', '융자금없는', '역세권', '지하층']",37.548447,127.0711
2524094978,일반상가,월세,1/5,90,"2,000",40,23,북향,20250507,"['2년이내', '1층', '관리비10만원이하', '주차가능']",37.549674,127.069999
2523630642,일반상가,월세,1/3,260,"4,000",74,74,남향,20250503,"['25년이상', '융자금적은', '역세권', '1층']",37.557766,127.076117
2523656465,단지내상가,월세,B1/20,200,"2,000",180,57,남향,20250503,"['25년이내', '역세권', '지하층', '주차가능']",37.548447,127.0711
2523749662,일반상가,월세,1/4,230,"4,000",74,52,남동향,20250503,"['25년이상', '융자금없는', '역세권', '1층']",37.55412,127.077516
2523624281,일반상가,월세,1/3,95,"1,000",39,39,북서향,20250503,"['25년이내', '융자금적은', '역세권', '1층']",37.554477,127.075737
2523619717,일반상가,월세,1/5,450,"4,500",99,99,북동향,20250503,"['25년이상', '역세권', '1층', '주차가능']",37.558428,127.075294
2523628405,일반상가,월세,2/4,275,"2,000",89,85,동향,20250503,"['25년이상', '융자금적은', '역세권', '중층']",37.556649,127.078395
2523737368,일반상가,월세,B1/5,250,"2,500",198,198,북동향,20250503,"['25년이상', '융자금없는', '역세권', '지하층']",37.558428,127.075294
2523216648,복합상가,월세,1/5,120,"2,000",33,33,남서향,20250502,"['15년이내', '1층', '관리비10만원이하', '총5층']",37.54939,127.069227
