articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524636281,일반상가,월세,1/6,190,"3,000",40,40,서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.554475,127.078345
2524633632,일반상가,월세,B1/9,240,"5,000",135,99,남향,20250509,"['2년이내', '테라스', '역세권', '지하층']",37.556171,127.080223
2524413071,일반상가,월세,1/6,190,"3,000",50,40,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.554475,127.078345
2524337212,일반상가,월세,1/4,110,"3,000",29,29,남서향,20250508,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.555287,127.081019
2524410156,일반상가,월세,B1/7,70,"2,000",64,64,남동향,20250508,"['15년이내', '역세권', '지하층', '관리비10만원이하']",37.555873,127.079303
2524505157,일반상가,월세,1/6,840,"1억 2,000",220,200,서향,20250508,"['10년이내', '테라스', '역세권', '1층']",37.552749,127.088395
2524596420,일반상가,월세,B1/5,462,"5,000",274,231,북동향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.555986,127.079937
2524304096,일반상가,월세,1/4,90,"2,000",26,26,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.555336,127.079096
2524253955,일반상가,월세,1/4,60,"1,000",21,21,북동향,20250507,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.554428,127.080875
2524204884,일반상가,월세,1/5,60,"1,000",23,11,북향,20250507,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.552745,127.085164
2524077836,일반상가,월세,1/2,65,"1,000",26,25,남향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.554848,127.080352
2524265141,일반상가,월세,B1/4,70,"1,000",66,66,북동향,20250507,"['15년이내', '융자금없는', '역세권', '지하층']",37.55511,127.082379
2523933384,일반상가,월세,1/4,90,"2,000",24,24,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.555336,127.079096
2523860055,일반상가,월세,1/3,850,1억,491,491,,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.554992,127.084106
2524068303,일반상가,월세,B1/2,40,500,52,50,남향,20250507,"['25년이상', '역세권', '지하층', '총2층']",37.554848,127.080352
2524082641,일반상가,월세,1/4,396,"1억 1,000",113,113,동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.555538,127.081227
2524080163,일반상가,월세,1/3,65,"1,000",21,20,북동향,20250507,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.554428,127.080875
2523988057,일반상가,월세,1/4,300,"5,000",65,58,동향,20250507,"['15년이내', '역세권', '1층', '관리비20만원이하']",37.555287,127.081019
2524054225,일반상가,월세,B1/17,500,1억,425,314,북서향,20250507,"['10년이내', '역세권', '지하층', '주차가능']",37.556537,127.080146
2524061647,일반상가,월세,1/5,425,"5,000",82,66,북서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.555681,127.081637
