articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524658860,일반상가,월세,2/5,300,"4,000",164,133,북동향,20250509,"['25년이상', '융자금적은', '역세권', '중층']",37.541124,127.064757
2524625289,일반상가,월세,1/5,250,"5,000",42,42,남동향,20250509,"['15년이내', '역세권', '1층', '관리비10만원이하']",37.538161,127.068467
2524624738,일반상가,월세,2/5,180,"2,000",105,100,남향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.540541,127.066512
2524625200,일반상가,월세,1/5,200,"4,500",49,49,남향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.540464,127.066705
2524625079,일반상가,월세,1/4,250,"3,000",140,140,남향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.535989,127.065099
2524624624,일반상가,월세,1/1,290,"5,000",132,80,동향,20250509,"['25년이상', '마당', '역세권', '1층']",37.53411,127.067633
2524614131,일반상가,월세,1/7,600,1억,148,132,북향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.538331,127.0753
2524624813,일반상가,월세,3/3,200,"3,000",199,199,서향,20250509,"['25년이상', '역세권', '고층', '총3층']",37.538896,127.067401
2524625236,일반상가,월세,2/5,265,"5,000",132,115,북향,20250509,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.538104,127.068671
2524625119,일반상가,월세,4/5,150,"2,000",119,119,남서향,20250509,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.540541,127.066512
2524605762,단지내상가,매매,1/2,,"3억 1,000",34,29,북동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.528207,127.081413
2524622514,일반상가,월세,B1/3,70,"1,000",54,54,서향,20250509,"['25년이상', '융자금적은', '지하층', '관리비10만원이하']",37.536349,127.063831
2524625025,일반상가,월세,1/5,135,"3,000",26,26,남향,20250509,"['25년이상', '역세권', '1층', '총5층']",37.539356,127.065693
