articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524644320,일반상가,월세,1/4,60,"1,000",35,35,동향,20250509,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.483035,126.853448
2524658722,일반상가,월세,5/5,230,"5,000",324,160,북향,20250509,"['25년이내', '고층', '주차가능', '총5층']",37.50754,126.845227
2524339630,단지내상가,매매,2/2,,"1억 7,500",71,39,동향,20250508,"['2년이내', '고층', '주차가능', '총2층']",37.499254,126.84688
2524339557,일반상가,월세,4/4,150,"2,000",232,232,남서향,20250508,"['25년이상', '융자금없는', '고층', '총4층']",37.499377,126.853543
2524453256,일반상가,월세,4/5,75,"1,000",63,45,남동향,20250508,"['15년이내', '고층', '주차가능', '엘리베이터']",37.500957,126.846516
2524422014,일반상가,월세,1/1,200,"3,000",54,54,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.489201,126.856396
2524308368,일반상가,월세,1/3,140,"2,000",33,33,북향,20250508,"['25년이상', '1층', '총3층', '북향']",37.49147,126.854055
2524411126,일반상가,매매,1/5,,25억,140,140,남동향,20250508,"['25년이상', '역세권', '1층', '총5층']",37.496247,126.856721
2524588847,일반상가,월세,1/2,220,"5,000",48,48,북향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.494266,126.858267
2524415304,일반상가,월세,1/4,70,700,20,20,북향,20250508,"['25년이상', '융자금없는', '1층', '총4층']",37.489943,126.856727
2524545684,일반상가,월세,B1/4,60,"1,000",149,149,동향,20250508,"['25년이상', '지하층', '총4층', '동향']",37.503542,126.846581
2524538188,일반상가,월세,1/2,120,"2,000",96,96,남동향,20250508,"['25년이상', '1층', '총2층', '남동향']",37.50148,126.845613
2524416095,일반상가,월세,1/4,80,"2,000",19,19,북동향,20250508,"['25년이내', '1층', '관리비10만원이하', '총4층']",37.490673,126.858217
2524415653,일반상가,월세,1/3,350,"5,000",137,137,남동향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.502762,126.845013
2524414810,일반상가,월세,1/4,160,"1,500",27,27,북향,20250508,"['25년이상', '융자금없는', '1층', '총4층']",37.491557,126.855331
2524345017,일반상가,월세,1/3,75,"1,000",26,26,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.486036,126.852679
2524323856,일반상가,월세,1/3,85,"1,000",33,33,서향,20250508,"['25년이상', '1층', '총3층', '서향']",37.48391,126.853785
2524411949,일반상가,월세,1/2,180,"4,000",49,49,남동향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.488489,126.856466
2524586157,일반상가,월세,1/2,90,"1,000",40,33,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.496655,126.85795
2524412879,일반상가,월세,6/7,210,"3,000",198,198,서향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.492672,126.856372
2524442031,단지내상가,월세,1/3,40,"1,000",29,15,남향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.495023,126.852655
2524365865,일반상가,월세,3/4,100,"1,500",136,136,북향,20250508,"['25년이상', '고층', '주차가능', '총4층']",37.501265,126.846126
2524552926,일반상가,월세,3/4,60,"1,000",63,63,동향,20250508,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.488389,126.858245
2524326526,일반상가,월세,4/4,310,1억,145,145,남향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.495426,126.858812
2524366583,단지내상가,월세,1/2,450,"5,000",167,114,북향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.496189,126.854277
2524344398,일반상가,월세,1/4,80,"1,000",25,25,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.48374,126.853765
2524426412,일반상가,월세,1/4,110,"2,000",50,34,남향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.501133,126.848781
2524345465,일반상가,월세,1/3,40,"1,000",16,16,북향,20250508,"['25년이상', '1층', '총3층', '북향']",37.487788,126.852734
