articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524665096,일반상가,월세,1/10,500,1억,265,172,남서향,20250509,"['25년이내', '1층', '주차가능', '천장에어컨']",37.483787,126.89252
2524654861,일반상가,월세,B1/12,220,"3,000",50,26,남동향,20250509,"['25년이내', '지하층', '주차가능', '천장에어컨']",37.483328,126.893712
2524658560,단지내상가,월세,1/1,150,"2,000",22,20,북서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.488525,126.890785
2524648895,단지내상가,매매,1/14,,35억,558,338,남동향,20250509,"['25년이내', '1층', '주차가능', '천장에어컨']",37.485735,126.89553
2524627277,복합상가,월세,B1/20,203,"2,000",145,73,남서향,20250509,"['15년이내', '지하층', '주차가능', '남서향']",37.487201,126.894622
2524647087,일반상가,월세,1/2,120,"1,500",45,40,동향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.486109,126.887065
2524604280,복합상가,월세,1/2,130,"2,000",34,34,남서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.488695,126.889848
2524604160,복합상가,월세,1/4,55,"1,000",18,14,남서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.485098,126.888214
2524658212,일반상가,매매,B1/4,,"8,500",52,29,동향,20250509,"['25년이상', '지하층', '주차가능', '총4층']",37.505531,126.875876
2524647460,일반상가,월세,2/2,500,"6,000",174,174,북동향,20250509,"['25년이상', '테라스', '역세권', '고층']",37.484583,126.900311
2524650311,일반상가,월세,2/2,600,"8,000",316,165,동향,20250509,"['25년이상', '역세권', '고층', '총2층']",37.483259,126.900123
2524653906,단지내상가,월세,2/15,600,"6,000",350,200,북동향,20250509,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.485918,126.897296
2524651651,단지내상가,매매,1/20,,"1억 6,000",30,14,북향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.490291,126.876904
2524603987,복합상가,월세,1/4,90,"1,000",33,33,남서향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.490984,126.888069
2524604060,복합상가,월세,4/21,270,"2,700",297,165,남서향,20250509,"['25년이상', '융자금없는', '지상층(1층제외)', '주차가능']",37.49516,126.889407
2524646864,일반상가,매매,10/40,,"1억 2,000",83,37,,20250509,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.506988,126.890351
2524650038,일반상가,월세,1/13,250,"4,000",234,141,북동향,20250509,"['25년이내', '1층', '주차가능', '천장에어컨']",37.486923,126.893154
2524248144,단지내상가,월세,B1/14,550,"5,500",550,332,북서향,20250509,"['25년이내', '지하층', '주차가능', '천장에어컨']",37.483968,126.894127
2524650630,일반상가,월세,2/13,160,"2,500",126,74,북동향,20250509,"['25년이내', '지상층(1층제외)', '주차가능', '천장에어컨']",37.485184,126.89279
2524509888,일반상가,월세,B2/24,120,"2,000",401,214,남서향,20250508,"['25년이상', '지하층', '주차가능', '천장에어컨']",37.50046,126.891684
2524354704,단지내상가,월세,1/20,50,"1,000",28,13,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.490291,126.876904
2524321922,일반상가,월세,1/4,85,"1,000",33,33,동향,20250508,"['25년이상', '1층', '총4층', '동향']",37.4955,126.882418
2524335370,일반상가,단기임대,B1/4,170,500,132,132,북향,20250508,"['25년이상', '지하층', '총4층', '북향']",37.489938,126.884598
2524599516,단지내상가,월세,1/20,400,1억,152,87,북향,20250508,"['25년이내', '1층', '주차가능', '엘리베이터']",37.483691,126.895434
2524523397,일반상가,매매,B1/24,,"4억 5,000",954,520,남서향,20250508,"['25년이상', '지하층', '주차가능', '천장에어컨']",37.50046,126.891684
2524303837,복합상가,월세,2/20,380,"5,000",204,117,남동향,20250508,"['25년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.483691,126.895434
2524370279,일반상가,월세,2/20,150,"3,000",86,50,남동향,20250508,"['25년이내', '지상층(1층제외)', '주차가능', '천장에어컨']",37.483691,126.895434
2524303750,복합상가,월세,2/20,150,"3,000",85,49,남동향,20250508,"['25년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.483691,126.895434
