articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524620011,일반상가,월세,1/3,130,"2,000",130,87,서향,20250509,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.494865,126.831409
2524618142,일반상가,월세,1/5,150,"2,000",66,66,동향,20250509,"['25년이내', '1층', '총5층', '동향']",37.495845,126.83119
2524618008,일반상가,월세,1/2,50,"1,000",79,22,서향,20250509,"['25년이상', '1층', '총2층', '서향']",37.493422,126.833344
2524615486,일반상가,월세,1/4,140,"2,000",70,47,서향,20250509,"['25년이상', '1층', '총4층', '서향']",37.494327,126.833562
2524356898,일반상가,월세,2/3,100,"2,000",158,158,서향,20250508,"['25년이상', '중층', '관리비10만원이하', '총3층']",37.494865,126.831409
2524359530,일반상가,월세,1/5,100,"1,000",30,30,남서향,20250508,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.496294,126.83003
2524362870,일반상가,월세,3/4,85,"1,500",138,138,남향,20250508,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.493475,126.833936
2524566430,일반상가,월세,2/2,90,"1,000",63,63,남향,20250508,"['25년이상', '고층', '주차가능', '총2층']",37.501877,126.830916
2524299916,일반상가,월세,B1/3,40,"1,000",99,99,북향,20250507,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.49781,126.83007
2524019665,복합상가,매매,B1/5,,"5억 7,000",452,376,,20250507,"['25년이상', '지하층', '주차가능', '총5층']",37.494186,126.833831
2524043741,일반상가,월세,1/4,60,"1,000",33,33,동향,20250507,"['25년이상', '테라스', '1층', '주차가능']",37.49762,126.830076
2523494069,일반상가,월세,B1/5,180,"3,000",269,269,동향,20250502,"['25년이상', '융자금적은', '지하층', '관리비10만원이하']",37.496564,126.829382
2523584976,일반상가,월세,1/4,70,"1,000",34,34,남향,20250502,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.497803,126.829896
2523399821,일반상가,월세,1/1,200,"2,000",165,165,남향,20250502,"['25년이내', '1층', '주차가능', '남향']",37.498792,126.827076
2522373369,일반상가,월세,1/4,180,"3,000",125,125,동향,20250426,"['15년이내', '1층', '주차가능', '총4층']",37.497473,126.829665
2521896342,일반상가,월세,4/5,105,"1,500",112,112,남서향,20250424,"['25년이상', '고층', '관리비10만원이하', '엘리베이터']",37.494473,126.8311
2521748315,단지내상가,월세,B1/3,130,"1,500",302,273,동향,20250423,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.494245,126.830523
2521436494,일반상가,월세,1/5,380,"5,000",151,115,서향,20250422,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.497786,126.829413
2521436776,단지내상가,매매,B1/3,,"4억 5,000",137,137,동향,20250422,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.496575,126.825423
2520199210,복합상가,월세,1/5,110,"2,000",43,43,남서향,20250416,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.495096,126.832218
2520148954,일반상가,월세,2/4,200,"5,000",264,264,남서향,20250415,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.497313,126.829601
2520152037,일반상가,월세,3/5,160,"3,000",155,155,서향,20250415,"['25년이상', '중층', '주차가능', '엘리베이터']",37.497786,126.829413
2519763914,일반상가,월세,2/5,230,"3,000",182,175,동향,20250414,"['25년이상', '융자금적은', '중층', '관리비10만원이하']",37.496564,126.829382
2519755165,일반상가,월세,1/3,150,"2,000",90,90,남동향,20250414,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.494865,126.831409
2519650923,일반상가,월세,2/5,230,"3,000",182,182,동향,20250414,"['25년이상', '중층', '주차가능', '엘리베이터']",37.496564,126.829382
2519745307,일반상가,월세,2/3,100,"2,000",158,126,남동향,20250414,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.494865,126.831409
2519755514,일반상가,월세,B1/3,90,"2,000",183,148,남동향,20250414,"['25년이상', '융자금없는', '지하층', '관리비10만원이하']",37.494865,126.831409
2519814365,일반상가,월세,B1/5,110,"1,000",49,49,서향,20250414,"['25년이상', '지하층', '총5층', '서향']",37.496294,126.83003
2519875479,일반상가,월세,1/5,90,"2,000",25,22,서향,20250414,"['4년이내', '1층', '주차가능', '총5층']",37.495096,126.832218
2519596697,일반상가,월세,3/5,200,"5,000",264,264,서향,20250414,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.497313,126.829601
2519075193,일반상가,월세,1/3,130,"2,000",130,130,서향,20250410,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.494865,126.831409
