articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524636356,일반상가,월세,1/30,450,1억,94,52,남동향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.509442,126.887773
2524654929,일반상가,매매,8/8,,"7억 5,000",102,102,남서향,20250509,"['25년이내', '고층', '주차가능', '엘리베이터']",37.506453,126.883393
2524661375,일반상가,매매,전체층/8,,7억,104,104,남서향,20250509,"['25년이내', '급매', '주차가능', '남서향']",37.506453,126.883393
2524645291,단지내상가,월세,1/20,300,"5,000",50,25,남동향,20250509,"['2년이내', '융자금없는', '1층', '주차가능']",37.507079,126.884648
2524646233,복합상가,월세,6/8,250,"5,000",156,96,남서향,20250509,"['25년이내', '고층', '주차가능', '남서향']",37.506453,126.883393
2524666340,일반상가,매매,1/19,,16억,93,61,북동향,20250509,"['10년이내', '1층', '주차가능', '북동향']",37.506444,126.88378
2524628146,일반상가,월세,B1/6,"2,000","2억 7,000",1704,1702,북서향,20250509,"['25년이상', '융자금적은', '역세권', '지하층']",37.504522,126.882566
2524646641,단지내상가,매매,3/3,,7억,129,90,서향,20250509,"['25년이내', '고층', '주차가능', '총3층']",37.505841,126.880601
2524541467,복합상가,매매,2/20,,13억,83,83,동향,20250508,"['2년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.507079,126.884648
2524479669,일반상가,매매,8/8,,"6억 5,000",140,97,북서향,20250508,"['25년이내', '급매', '고층', '주차가능']",37.506453,126.883393
2524433257,단지내상가,매매,1/2,,"3억 5,000",25,21,북동향,20250508,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.509565,126.884221
2524474915,단지내상가,월세,2/20,700,1억,133,67,남향,20250508,"['2년이내', '지상층(1층제외)', '주차가능', '남향']",37.507079,126.884648
2524442451,일반상가,매매,5/8,,7억,169,104,남서향,20250508,"['25년이내', '중층', '주차가능', '남서향']",37.506453,126.883393
2524533498,일반상가,월세,4/8,300,"5,000",195,146,남동향,20250508,"['25년이내', '중층', '주차가능', '남동향']",37.511317,126.884461
2524528985,일반상가,월세,4/6,263,"3,000",174,112,남서향,20250508,"['25년이내', '중층', '주차가능', '엘리베이터']",37.509543,126.88514
2524355819,단지내상가,매매,1/2,,"3억 8,000",29,29,북서향,20250508,"['25년이내', '1층', '주차가능', '총2층']",37.508494,126.88279
2524452860,단지내상가,월세,3/3,130,"3,000",47,47,북서향,20250508,"['25년이내', '고층', '관리비20만원이하', '주차가능']",37.505841,126.880601
2524432620,단지내상가,월세,3/3,220,"3,000",151,92,북서향,20250508,"['25년이내', '고층', '관리비20만원이하', '주차가능']",37.505841,126.880601
2524382279,일반상가,월세,1/3,80,800,40,29,북서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.504787,126.879607
2524441225,일반상가,월세,1/4,95,"1,000",65,65,남동향,20250508,"['25년이상', '1층', '총4층', '남동향']",37.507838,126.879329
2524351820,일반상가,월세,1/8,380,"7,000",64,38,남서향,20250508,"['25년이내', '1층', '주차가능', '남서향']",37.506453,126.883393
2524534244,일반상가,월세,1/8,85,"1,000",22,16,남동향,20250508,"['25년이내', '융자금없는', '1층', '주차가능']",37.511317,126.884461
2523930902,복합상가,월세,1/30,"1,500",2억,250,125,남향,20250507,"['25년이내', '융자금없는', '역세권', '1층']",37.509442,126.887773
2523838551,일반상가,매매,1/10,,"7억 8,000",88,75,남동향,20250507,"['10년이내', '역세권', '1층', '급매']",37.507328,126.887625
2523930599,복합상가,월세,2/30,600,1억,282,155,남서향,20250507,"['25년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.509442,126.887773
2523865694,단지내상가,월세,1/17,160,"4,000",50,26,남동향,20250507,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.505685,126.882837
2524241608,복합상가,월세,1/20,180,"5,000",58,28,북동향,20250507,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.507079,126.884648
2523925423,단지내상가,월세,2/2,160,"5,000",98,58,남동향,20250507,"['25년이내', '고층', '관리비20만원이하', '주차가능']",37.508564,126.885919
