articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524617564,일반상가,매매,1/6,,"2억 3,000",37,32,남서향,20250509,"['15년이내', '역세권', '1층', '주차가능']",37.492464,126.820306
2524668095,일반상가,월세,1/5,100,"2,000",48,33,북서향,20250509,"['25년이내', '역세권', '1층', '주차가능']",37.491436,126.825015
2524325633,일반상가,매매,2/7,,1억,30,23,북동향,20250508,"['15년이내', '급매', '지상층(1층제외)', '주차가능']",37.49691,126.822171
2524402401,일반상가,월세,1/4,155,"3,000",42,33,북서향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.491743,126.823547
2524406195,일반상가,월세,1/1,100,"3,000",59,59,북서향,20250508,"['25년이내', '역세권', '1층', '북서향']",37.491563,126.82486
2523944415,일반상가,월세,1/4,100,"2,000",39,33,남동향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.491812,126.823094
2523920104,단지내상가,월세,1/3,60,"1,000",40,40,남동향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.495622,126.825066
2524138717,단지내상가,월세,1/7,160,"2,000",75,66,동향,20250507,"['25년이내', '융자금없는', '1층', '주차가능']",37.495875,126.817579
2523946678,일반상가,월세,2/6,250,"5,000",137,120,남동향,20250507,"['2년이내', '테라스', '역세권', '지상층(1층제외)']",37.492961,126.824001
2524269749,일반상가,월세,1/6,200,"3,000",115,115,남향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.492961,126.824001
2523739879,단지내상가,매매,3/3,,4억,42,41,남향,20250503,"['25년이상', '역세권', '고층', '주차가능']",37.490999,126.825435
2523494701,단지내상가,월세,1/4,80,"1,500",44,17,동향,20250502,"['25년이내', '1층', '주차가능', '총4층']",37.497255,126.821805
2523267075,일반상가,월세,2/6,700,1억,427,427,남동향,20250501,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.492924,126.823648
2523045377,단지내상가,월세,1/1,160,"2,000",66,57,남서향,20250430,"['25년이내', '융자금없는', '1층', '주차가능']",37.495875,126.817579
2522921486,일반상가,매매,B1/5,,"4억 5,000",247,227,남서향,20250429,"['25년이상', '지하층', '주차가능', '총5층']",37.495225,126.818237
2522585253,일반상가,월세,1/4,100,"2,000",42,39,남동향,20250428,"['25년이내', '역세권', '1층', '주차가능']",37.491812,126.823094
2521982557,일반상가,월세,1/4,130,"3,000",127,82,북향,20250424,"['25년이상', '역세권', '1층', '주차가능']",37.496131,126.824204
2521415029,일반상가,월세,2/6,250,"4,000",137,137,남향,20250422,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.492961,126.824001
2521537919,단지내상가,매매,3/4,,"4억 7,000",292,177,동향,20250422,"['25년이내', '고층', '관리비20만원이하', '총4층']",37.497255,126.821805
2521164553,일반상가,월세,4/4,170,"2,000",149,149,남향,20250421,"['25년이내', '융자금적은', '역세권', '고층']",37.491812,126.823094
2521414831,일반상가,월세,4/6,200,"3,000",137,137,남향,20250421,"['2년이내', '역세권', '중층', '주차가능']",37.492961,126.824001
2520888194,일반상가,월세,3/6,250,"3,000",116,116,남향,20250418,"['2년이내', '역세권', '중층', '주차가능']",37.492961,126.824001
2520437948,일반상가,월세,1/4,310,"5,000",63,63,북향,20250417,"['25년이내', '역세권', '1층', '주차가능']",37.491743,126.823547
2520633116,복합상가,월세,1/7,75,"2,000",61,47,서향,20250417,"['25년이내', '융자금없는', '1층', '관리비10만원이하']",37.49691,126.822171
2520305701,일반상가,매매,1/5,,"3억 3,000",55,53,동향,20250416,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.493015,126.818919
2519652257,일반상가,월세,1/4,40,"1,000",30,30,남향,20250414,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.491849,126.819354
2519228760,일반상가,월세,2/4,180,"4,000",159,159,북향,20250411,"['25년이내', '역세권', '중층', '주차가능']",37.491743,126.823547
2518983504,일반상가,월세,4/4,350,"5,000",317,317,남동향,20250410,"['25년이내', '역세권', '고층', '주차가능']",37.491812,126.823094
2519104172,일반상가,월세,2/2,160,"3,000",54,54,남향,20250410,"['25년이내', '융자금없는', '역세권', '고층']",37.492228,126.820156
2518993515,일반상가,월세,B1/4,80,"1,000",227,227,남서향,20250410,"['25년이상', '융자금없는', '지하층', '총4층']",37.495225,126.818237
