articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524494378,복합상가,월세,1/8,110,"2,000",51,31,남동향,20250508,"['15년이내', '융자금없는', '역세권', '1층']",37.485977,126.838853
2524494182,복합상가,매매,1/8,,"6억 1,000",26,24,북동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.485977,126.838853
2524492986,일반상가,매매,6/7,,"2억 2,000",120,68,북동향,20250508,"['15년이내', '역세권', '고층', '관리비20만원이하']",37.486048,126.838562
2523872668,일반상가,매매,2/10,,"4억 5,000",150,98,남서향,20250507,"['15년이내', '지상층(1층제외)', '주차가능', '남서향']",37.481305,126.838966
2523872600,단지내상가,매매,1/2,,"4억 2,000",48,29,남향,20250507,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.482536,126.840178
2523872539,일반상가,월세,1/10,165,"4,000",45,30,남서향,20250507,"['15년이내', '융자금없는', '1층', '관리비10만원이하']",37.481305,126.838966
2524315460,일반상가,월세,1/2,150,"2,000",113,113,남서향,20250507,"['2년이내', '1층', '주차가능', '총2층']",37.482217,126.843087
2523879177,일반상가,매매,4/10,,"4억 8,000",153,73,남서향,20250505,"['10년이내', '역세권', '중층', '주차가능']",37.486445,126.839531
2523545743,복합상가,매매,1/10,,"9억 5,000",84,40,남서향,20250502,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.486445,126.839531
2523541254,일반상가,월세,1/8,210,"5,000",50,24,북동향,20250502,"['15년이내', '융자금없는', '역세권', '1층']",37.485977,126.838853
2523094512,복합상가,매매,2/10,,"3억 6,000",122,87,남서향,20250430,"['15년이내', '지상층(1층제외)', '주차가능', '남서향']",37.481305,126.838966
2522931978,일반상가,매매,5/8,,7억,398,214,남서향,20250429,"['15년이내', '급매', '중층', '주차가능']",37.480672,126.839727
2522980638,복합상가,월세,B1/10,250,"3,000",58,30,남동향,20250429,"['15년이내', '역세권', '지하층', '관리비10만원이하']",37.486598,126.838237
2522905208,일반상가,매매,4/7,,"7억 7,000",318,175,남서향,20250429,"['15년이내', '중층', '주차가능', '남서향']",37.481021,126.839308
2522909512,일반상가,매매,5/7,,11억,532,292,남서향,20250429,"['15년이내', '고층', '주차가능', '남서향']",37.481021,126.839308
2522764492,일반상가,매매,2/2,,"1억 6,000",51,34,,20250428,"['15년이내', '급매', '고층', '총2층']",37.478392,126.841295
2522383230,일반상가,매매,4/7,,"5억 9,000",244,134,남서향,20250426,"['15년이내', '중층', '주차가능', '남서향']",37.481021,126.839308
2522355685,단지내상가,월세,1/1,160,"3,000",77,40,남서향,20250426,"['10년이내', '융자금적은', '1층', '주차가능']",37.483691,126.842483
2522026109,일반상가,월세,1/2,90,"2,000",47,32,북향,20250424,"['15년이내', '1층', '관리비10만원이하', '주차가능']",37.478392,126.841295
2521546248,일반상가,월세,1/7,230,"4,000",88,48,남서향,20250422,"['15년이내', '융자금없는', '1층', '관리비20만원이하']",37.481021,126.839308
2521545191,일반상가,매매,1/7,,8억,140,77,서향,20250422,"['15년이내', '1층', '주차가능', '서향']",37.481021,126.839308
2521274172,일반상가,월세,1/1,150,"2,000",106,106,남서향,20250421,"['2년이내', '1층', '주차가능', '남서향']",37.482217,126.843087
2521244285,단지내상가,매매,2/2,,"1억 6,500",27,27,남향,20250421,"['15년이내', '고층', '관리비10만원이하', '주차가능']",37.482536,126.840178
2521164859,일반상가,월세,1/10,165,"4,000",42,30,남서향,20250421,"['15년이내', '1층', '관리비20만원이하', '주차가능']",37.481305,126.838966
2521007721,일반상가,매매,1/7,,"6억 3,000",90,52,남서향,20250419,"['15년이내', '1층', '급매', '관리비20만원이하']",37.481021,126.839308
2520927731,단지내상가,월세,1/9,340,"4,000",94,63,남서향,20250419,"['10년이내', '1층', '주차가능', '남서향']",37.481411,126.838835
2520829782,복합상가,매매,1/10,,"8억 5,000",89,42,남서향,20250418,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.486445,126.839531
2520826490,일반상가,월세,2/7,140,"3,000",181,100,남서향,20250418,"['15년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.486048,126.838562
2520828602,일반상가,매매,3/7,,12억,275,137,북서향,20250418,"['15년이내', '역세권', '중층', '주차가능']",37.486048,126.838562
2520540055,단지내상가,월세,1/1,100,"2,000",36,36,남서향,20250417,"['15년이내', '역세권', '1층', '주차가능']",37.486414,126.840087
2520491823,단지내상가,월세,1/1,110,"2,000",34,34,남서향,20250417,"['15년이내', '1층', '관리비10만원이하', '남서향']",37.483265,126.844774
2519884238,복합상가,월세,2/8,320,"5,000",280,141,남서향,20250414,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.486445,126.839531
2519415806,일반상가,매매,2/8,,7억,134,75,남동향,20250412,"['15년이내', '지상층(1층제외)', '주차가능', '남동향']",37.480672,126.839727
