articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524664779,복합상가,매매,1/7,,"7억 5,000",80,39,북서향,20250509,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.480343,126.823707
2524663882,복합상가,월세,1/7,160,"2,000",47,24,북동향,20250509,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.480159,126.823434
2524663318,일반상가,매매,1/7,,5억,44,23,북서향,20250509,"['10년이내', '1층', '주차가능', '엘리베이터']",37.479961,126.823151
2524665191,복합상가,월세,1/7,200,"3,000",71,36,북서향,20250509,"['10년이내', '1층', '주차가능', '엘리베이터']",37.479961,126.823151
2524639640,단지내상가,월세,1/1,150,"2,500",67,41,서향,20250509,"['10년이내', '융자금없는', '1층', '주차가능']",37.479497,126.825792
2524251773,단지내상가,월세,1/11,90,"1,000",82,41,북향,20250508,"['4년이내', '1층', '주차가능', '엘리베이터']",37.476963,126.816593
2524533842,복합상가,매매,2/5,,"2억 7,500",88,43,북서향,20250508,"['10년이내', '중층', '관리비20만원이하', '주차가능']",37.478792,126.822642
2524440227,일반상가,매매,2/7,,"3억 8,000",100,52,남동향,20250508,"['10년이내', '지상층(1층제외)', '주차가능', '남동향']",37.47976,126.822882
2524441227,일반상가,월세,1/7,250,"3,000",72,33,남동향,20250508,"['4년이내', '1층', '주차가능', '남동향']",37.481178,126.824768
2524431668,일반상가,월세,3/7,150,"4,000",103,56,남동향,20250508,"['4년이내', '중층', '주차가능', '남동향']",37.47976,126.822882
2524439256,일반상가,월세,2/7,250,"4,000",139,67,남동향,20250508,"['4년이내', '지상층(1층제외)', '주차가능', '남동향']",37.481178,126.824768
2524446174,단지내상가,월세,1/1,120,"2,000",59,36,북동향,20250508,"['10년이내', '1층', '주차가능', '북동향']",37.476906,126.820523
2524444246,일반상가,월세,1/7,200,"3,000",70,36,북서향,20250508,"['10년이내', '1층', '주차가능', '북서향']",37.479961,126.823151
