articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524647218,일반상가,월세,1/4,80,"1,000",50,50,남동향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.483651,126.883719
2524605133,일반상가,월세,1/2,150,"3,000",52,49,남향,20250509,"['25년이상', '1층', '총2층', '화재경보기']",37.475558,126.892325
2524605375,단지내상가,월세,1/20,750,1억,296,148,북동향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.467624,126.886498
2524558363,일반상가,월세,1/4,200,"3,000",84,84,북동향,20250508,"['25년이상', '융자금적은', '1층', '주차가능']",37.478327,126.889831
2524571317,단지내상가,월세,1/20,250,"3,000",100,50,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.480756,126.880698
2524566334,일반상가,월세,2/15,160,"1,600",70,35,북향,20250508,"['10년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.465877,126.888881
2524359265,단지내상가,월세,1/15,200,"5,000",108,59,북동향,20250508,"['15년이내', '융자금없는', '역세권', '1층']",37.48031,126.885364
2524366635,단지내상가,월세,1/13,150,"3,000",82,41,남향,20250508,"['10년이내', '1층', '주차가능', '엘리베이터']",37.472353,126.884102
2524591904,일반상가,월세,1/20,220,"2,200",109,56,동향,20250508,"['10년이내', '마당', '1층', '주차가능']",37.485206,126.878709
2524568288,일반상가,월세,1/2,120,"3,000",31,31,남서향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.476362,126.892778
2524544830,단지내상가,월세,1/20,"1,120","1억 2,000",330,171,북서향,20250508,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.476714,126.889788
2524419672,복합상가,월세,1/12,300,1억,65,65,남동향,20250508,"['4년이내', '1층', '관리비20만원이하', '주차가능']",37.483022,126.876617
2524240478,복합상가,월세,1/20,810,1억,200,103,북동향,20250508,"['2년이내', '1층', '주차가능', '엘리베이터']",37.476714,126.889788
2524392104,복합상가,매매,1/17,,12억,134,69,남동향,20250508,"['10년이내', '1층', '급매', '주차가능']",37.47457,126.889818
2524359956,일반상가,월세,1/7,120,"1,500",93,88,남향,20250508,"['25년이내', '마당', '1층', '관리비10만원이하']",37.473887,126.887229
2524392937,복합상가,매매,1/17,,13억,104,53,남동향,20250508,"['10년이내', '1층', '급매', '주차가능']",37.47457,126.889818
2524314355,일반상가,월세,1/20,500,"8,000",202,116,서향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.477241,126.883753
2524398805,복합상가,월세,3/16,110,"1,100",76,38,동향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.480722,126.885105
2524567012,일반상가,월세,1/4,75,"1,000",35,35,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '천장에어컨']",37.47379,126.890731
2524366208,단지내상가,월세,2/19,160,"4,000",100,50,남향,20250508,"['4년이내', '테라스', '역세권', '지상층(1층제외)']",37.477031,126.879629
2524340274,일반상가,월세,7/13,409,"4,093",311,173,남서향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.482161,126.87985
2524544387,일반상가,매매,B1/14,,19억,621,475,동향,20250508,"['4년이내', '지하층', '주차가능', '동향']",37.477482,126.891238
2524542449,복합상가,월세,B1/20,198,"3,000",125,65,서향,20250508,"['15년이내', '역세권', '지하층', '주차가능']",37.481404,126.883927
2524423460,단지내상가,월세,3/20,280,"2,800",239,117,동향,20250508,"['2년이내', '지상층(1층제외)', '주차가능', '동향']",37.476714,126.889788
2524341295,일반상가,월세,2/12,820,"8,200",501,251,남동향,20250508,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.466143,126.889062
2524592114,일반상가,월세,1/19,150,"2,000",63,32,동향,20250508,"['4년이내', '마당', '역세권', '1층']",37.477031,126.879629
2524609293,복합상가,월세,1/15,180,"2,000",82,42,동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.479996,126.882514
2524539596,일반상가,월세,1/2,330,"5,000",111,111,남동향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.482554,126.885031
2524390024,복합상가,월세,2/20,100,"1,000",103,53,서향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.480993,126.886343
2524366525,단지내상가,월세,1/20,150,"2,000",62,35,남향,20250508,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.476015,126.886107
2524336997,일반상가,월세,1/5,70,"1,500",72,56,북동향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.478183,126.895724
2524313809,복합상가,월세,B1/15,70,"1,000",13,13,서향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.477736,126.885353
2524518518,일반상가,월세,1/20,500,"5,000",211,109,북향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.480993,126.886343
2524409706,복합상가,월세,1/15,751,"2억 3,100",310,146,서향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.482005,126.881533
2524419548,단지내상가,월세,1/20,490,"5,000",179,93,북동향,20250508,"['2년이내', '1층', '주차가능', '북동향']",37.476714,126.889788
2524520242,복합상가,매매,B1/20,,"5억 7,000",195,101,서향,20250508,"['15년이내', '역세권', '지하층', '주차가능']",37.481404,126.883927
2524497941,단지내상가,월세,1/20,130,"1,300",119,60,남서향,20250508,"['10년이내', '융자금없는', '1층', '주차가능']",37.474662,126.882139
2524344066,복합상가,월세,1/19,130,"3,000",52,26,남동향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.477031,126.879629
2524404519,단지내상가,월세,B1/15,497,"1억 3,352",375,205,동향,20250508,"['25년이내', '역세권', '지하층', '주차가능']",37.482005,126.881533
2524387992,단지내상가,월세,1/20,240,"3,000",87,45,남서향,20250508,"['2년이내', '마당', '1층', '주차가능']",37.476714,126.889788
