articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524616296,일반상가,월세,2/2,90,"1,000",35,35,,20250509,"['25년이상', '고층', '총2층']",37.6257,127.079671
2524636440,일반상가,월세,1/3,200,"2,000",100,82,동향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.62139,127.072568
2524607294,일반상가,월세,1/7,250,"4,000",60,41,동향,20250509,"['2년이내', '역세권', '1층', '주차가능']",37.622871,127.073553
2524606898,일반상가,월세,4/7,670,"9,000",349,236,동향,20250509,"['2년이내', '역세권', '중층', '주차가능']",37.622871,127.073553
2524482011,일반상가,월세,1/3,70,"1,000",40,28,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.617753,127.074178
2524350977,일반상가,월세,1/4,60,500,63,25,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.61972,127.079599
2524355348,일반상가,월세,1/5,180,"3,000",92,92,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.62536,127.070605
2524448935,일반상가,월세,B1/5,100,"1,000",104,104,동향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.628681,127.077109
2524583769,복합상가,월세,1/36,90,"1,000",65,21,서향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.618342,127.075899
2524403525,일반상가,월세,1/5,180,"5,000",41,41,서향,20250508,"['25년이내', '1층', '주차가능', '총5층']",37.624998,127.089094
2524570026,일반상가,월세,2/3,130,"2,000",93,93,,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.619571,127.07307
2524401430,일반상가,월세,1/2,360,"4,000",67,67,서향,20250508,"['25년이상', '1층', '총2층', '서향']",37.626825,127.079387
2524408642,일반상가,월세,2/5,130,"2,000",92,92,동향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.621413,127.082671
2524404537,일반상가,매매,3/5,,5억,92,92,북향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.622202,127.086402
2524317802,일반상가,월세,4/6,160,"2,000",105,92,북동향,20250508,"['25년이내', '융자금없는', '역세권', '중층']",37.623265,127.073136
2524421089,일반상가,월세,2/5,250,"3,000",165,111,북향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.620826,127.083603
2524442232,일반상가,월세,1/4,250,"4,000",76,76,동향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.628033,127.070375
2524439907,일반상가,월세,1/5,110,"3,000",43,33,서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.621092,127.078044
2524582624,일반상가,월세,2/4,250,"5,000",182,182,남향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.623321,127.080444
2524470447,일반상가,월세,1/2,75,"1,000",24,22,서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.620087,127.078074
2524442631,일반상가,월세,3/4,140,"2,000",91,66,동향,20250508,"['10년이내', '융자금없는', '역세권', '고층']",37.628033,127.070375
2524425066,일반상가,매매,3/5,,"6억 3,000",170,104,북향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.620826,127.083603
2524595821,일반상가,월세,1/2,600,"6,000",149,149,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.619463,127.080192
2524485369,일반상가,월세,1/7,130,"3,000",60,49,동향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.621268,127.074086
2524485999,일반상가,월세,1/2,55,"1,000",30,29,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.619754,127.074
2524484759,일반상가,월세,1/20,400,"5,000",105,87,남향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.618263,127.076312
2524487059,일반상가,월세,1/3,429,"7,000",500,477,남동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.621095,127.074143
2524488900,일반상가,월세,1/8,130,"2,000",45,38,남서향,20250508,"['10년이내', '융자금적은', '역세권', '1층']",37.622652,127.073342
2524581918,일반상가,월세,1/6,65,"1,000",49,42,서향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.624148,127.071663
2524486608,일반상가,월세,1/4,150,"3,000",80,71,남향,20250508,"['4년이내', '융자금적은', '역세권', '1층']",37.619514,127.072827
2524583114,일반상가,월세,1/4,120,"2,000",49,42,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.623868,127.071111
2524586349,복합상가,월세,B2/36,70,"1,000",90,51,동향,20250508,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.618342,127.075899
2524586666,일반상가,월세,B1/3,150,"2,000",44,44,서향,20250508,"['25년이상', '지하층', '관리비10만원이하', '총3층']",37.622467,127.078352
2524599265,일반상가,월세,2/5,230,"4,000",153,128,남서향,20250508,"['10년이내', '중층', '주차가능', '엘리베이터']",37.626046,127.079338
2524585728,복합상가,월세,B2/36,55,"1,000",42,28,동향,20250508,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.618342,127.075899
2524582742,단지내상가,매매,2/36,,"4억 5,000",108,53,동향,20250508,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.618342,127.075899
2524456408,일반상가,월세,1/2,145,"3,000",35,33,동향,20250508,"['25년이상', '1층', '총2층', '동향']",37.629401,127.076523
2524450444,단지내상가,월세,1/5,120,"2,400",1354,30,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.621951,127.075326
2524436215,일반상가,월세,B1/4,120,"2,000",162,162,동향,20250508,"['25년이상', '융자금적은', '역세권', '지하층']",37.626204,127.07684
2524320611,복합상가,월세,1/5,"2,000",5억,1300,1161,북동향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.621998,127.086627
2524364107,일반상가,월세,1/4,180,"3,000",95,95,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.62536,127.070605
2524351209,일반상가,매매,B1/3,,8억,252,252,동향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.628087,127.076841
2524317463,일반상가,매매,1/6,,"7억 2,000",89,45,북향,20250508,"['25년이내', '1층', '관리비20만원이하', '엘리베이터']",37.626884,127.07949
2524460748,일반상가,월세,1/2,150,"2,000",35,33,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.624926,127.073506
2524453984,일반상가,월세,B1/5,90,"1,500",123,120,북향,20250508,"['25년이상', '역세권', '지하층', '총5층']",37.625793,127.073954
