articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524611273,일반상가,월세,1/3,320,"6,000",198,98,북향,20250509,"['25년이내', '융자금없는', '역세권', '1층']",37.622838,127.060697
2524635852,일반상가,월세,B1/4,100,"2,000",240,175,남동향,20250509,"['25년이상', '역세권', '지하층', '주차가능']",37.617925,127.063759
2524636278,일반상가,월세,1/4,100,"2,000",30,30,북서향,20250509,"['25년이상', '역세권', '1층', '총4층']",37.617073,127.063116
2524634868,단지내상가,월세,1/3,75,"1,000",26,14,북서향,20250509,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.618555,127.062594
2524435799,단지내상가,매매,1/1,,"1억 6,000",35,30,남동향,20250508,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.640552,127.052845
2524414687,일반상가,월세,3/6,270,"3,000",157,157,남동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.620894,127.058772
2524415940,일반상가,월세,3/5,120,"2,000",134,134,북서향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.617177,127.06327
2524394403,일반상가,월세,2/4,110,"2,000",99,99,남동향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.631625,127.057521
2524509870,일반상가,월세,1/5,90,"2,000",30,29,북서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.629465,127.058217
2524418851,일반상가,월세,2/5,380,"5,000",329,190,북서향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.616155,127.063885
2524513323,일반상가,월세,2/3,290,"5,000",75,75,남동향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.616406,127.06389
2524391819,일반상가,월세,3/7,450,"6,000",181,181,북동향,20250508,"['2년이내', '융자금적은', '역세권', '중층']",37.631233,127.057359
2524403477,단지내상가,매매,1/5,,"5억 5,000",98,98,동향,20250508,"['25년이내', '1층', '급매', '주차가능']",37.632559,127.051663
2524540124,단지내상가,월세,1/2,160,"2,000",47,43,,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.621282,127.067671
2524556122,일반상가,매매,2/2,,"2억 9,000",58,58,남향,20250508,"['10년이내', '역세권', '급매', '고층']",37.630303,127.057355
2524430874,일반상가,월세,1/5,140,"2,000",26,26,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.629151,127.057849
2524407663,일반상가,월세,6/6,125,"1,500",66,66,남향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.622657,127.059542
2524402676,단지내상가,월세,2/2,100,"3,000",115,58,남동향,20250508,"['10년이내', '역세권', '고층', '총2층']",37.630303,127.057355
2524395823,단지내상가,매매,1/2,,"1억 5,000",25,25,서향,20250508,"['25년이상', '1층', '주차가능', '총2층']",37.635595,127.051571
2524415129,일반상가,월세,5/6,200,"3,000",176,176,남향,20250508,"['25년이내', '역세권', '고층', '주차가능']",37.622657,127.059542
2524492559,일반상가,월세,2/3,450,"6,000",206,206,남동향,20250508,"['25년이내', '융자금적은', '역세권', '중층']",37.622838,127.060697
2524410377,일반상가,월세,1/3,160,"4,000",122,122,남향,20250508,"['25년이상', '융자금적은', '1층', '주차가능']",37.62303,127.05247
2524580477,단지내상가,매매,B1/1,,"2억 2,000",43,43,동향,20250508,"['10년이내', '역세권', '지하층', '관리비10만원이하']",37.640552,127.052845
2524507954,단지내상가,매매,4/5,,2억,84,47,동향,20250508,"['25년이내', '고층', '관리비10만원이하', '주차가능']",37.632559,127.051663
2524385051,단지내상가,월세,1/4,300,"4,000",79,56,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.616032,127.063832
2524380990,단지내상가,월세,3/3,100,"3,000",109,109,남서향,20250508,"['25년이상', '역세권', '고층', '총3층']",37.616234,127.063483
2524515283,일반상가,월세,3/3,100,"1,000",82,82,동향,20250508,"['25년이상', '역세권', '고층', '총3층']",37.617663,127.063857
2524347989,단지내상가,월세,2/5,90,"1,500",164,164,남향,20250508,"['25년이상', '역세권', '중층', '총5층']",37.622399,127.059298
2524537362,일반상가,월세,1/3,120,"2,000",36,36,북서향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.620889,127.059336
2524415435,일반상가,월세,2/5,210,"3,000",180,180,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.622368,127.059791
2524453858,일반상가,월세,3/5,140,"5,000",204,204,동향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.628624,127.059236
2524448568,일반상가,월세,3/5,80,"3,000",204,103,동향,20250508,"['25년이상', '융자금적은', '역세권', '중층']",37.628624,127.059236
2524509252,단지내상가,매매,1/15,,"5억 5,000",75,40,동향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.624016,127.060571
2524552569,단지내상가,월세,1/7,200,"3,000",49,49,남동향,20250508,"['10년이내', '융자금적은', '역세권', '1층']",37.629817,127.058849
2524569364,일반상가,월세,1/3,90,500,24,24,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.631712,127.057407
2524594280,일반상가,월세,1/6,150,"3,000",28,28,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.620894,127.058772
