articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524381834,일반상가,월세,8/9,135,"2,000",154,99,동향,20250508,"['25년이상', '고층', '주차가능', '엘리베이터']",37.640267,127.072745
2524590511,일반상가,월세,1/9,500,"6,000",102,102,동향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.639509,127.073377
2524530707,단지내상가,월세,1/5,140,"3,000",27,27,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.6332,127.071076
2524410081,일반상가,월세,4/9,155,"2,000",154,100,동향,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.640267,127.072745
2524411531,일반상가,월세,1/3,130,"3,000",50,43,북향,20250508,"['10년이내', '1층', '총3층', '북향']",37.634576,127.070742
2524355440,일반상가,월세,1/7,500,"5,000",105,105,남서향,20250508,"['25년이내', '1층', '남서향']",37.640211,127.073581
2524397801,일반상가,월세,5/8,110,"1,500",49,49,남향,20250508,"['25년이상', '중층', '주차가능', '남향']",37.639114,127.075155
2524364459,단지내상가,매매,1/2,,"1억 7,000",21,21,서향,20250508,"['25년이상', '1층', '주차가능', '총2층']",37.639399,127.071563
2524381060,일반상가,월세,8/9,105,"2,000",132,82,남향,20250508,"['25년이상', '고층', '주차가능', '남향']",37.640267,127.072745
2524403904,일반상가,월세,2/8,385,"5,000",289,237,남향,20250508,"['25년이상', '지상층(1층제외)', '주차가능', '남향']",37.639114,127.075155
2524414161,일반상가,월세,2/3,170,"3,500",123,123,동향,20250508,"['25년이내', '역세권', '중층', '주차가능']",37.639207,127.070044
2524431898,단지내상가,월세,2/2,50,"1,000",30,25,서향,20250508,"['25년이상', '고층', '주차가능', '총2층']",37.639065,127.07703
2524592548,일반상가,월세,1/9,"1,500",2억,313,313,동향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.639509,127.073377
2524437562,복합상가,월세,9/9,930,"1억 5,000",500,500,서향,20250508,"['25년이상', '고층', '주차가능', '서향']",37.639509,127.073377
2524463254,단지내상가,월세,4/4,530,"7,500",270,240,동향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.63545,127.064251
2524410075,일반상가,월세,9/9,930,"1억 5,000",358,358,동향,20250508,"['25년이상', '융자금없는', '고층', '주차가능']",37.639509,127.073377
2524409071,일반상가,월세,1/9,"1,500",2억,280,280,동향,20250508,"['25년이상', '1층', '주차가능', '동향']",37.639509,127.073377
2524403808,일반상가,월세,3/9,150,"3,000",154,111,남향,20250508,"['25년이상', '융자금없는', '지상층(1층제외)', '주차가능']",37.640267,127.072745
2524312089,일반상가,월세,1/3,50,500,16,16,북서향,20250507,"['25년이상', '융자금없는', '1층', '총3층']",37.636953,127.074424
2523942086,일반상가,월세,1/4,130,"2,000",64,49,남향,20250507,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.635745,127.074003
2523942533,단지내상가,월세,1/3,150,"3,000",40,24,남향,20250507,"['25년이상', '1층', '주차가능', '총3층']",37.639399,127.071563
2523953997,단지내상가,월세,2/3,60,"1,500",28,28,북향,20250507,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.639399,127.071563
2523885048,일반상가,월세,1/3,330,"5,000",143,143,동향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.638963,127.070404
2524113811,일반상가,월세,2/2,50,"1,000",25,25,동향,20250507,"['25년이상', '고층', '총2층', '동향']",37.639065,127.07703
2523896951,단지내상가,매매,1/2,,11억,34,29,북향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.636854,127.066394
2524119178,일반상가,월세,4/7,110,"1,000",66,66,북서향,20250507,"['25년이내', '중층', '엘리베이터', '북서향']",37.640211,127.073581
2523942998,복합상가,월세,B1/5,100,"1,500",171,171,동향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.633923,127.071062
2524208557,단지내상가,월세,1/3,140,"2,000",60,50,북향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.634685,127.069553
2523955724,일반상가,월세,4/9,155,"2,000",375,110,남향,20250507,"['25년이상', '중층', '주차가능', '남향']",37.640267,127.072745
2523807344,단지내상가,매매,1/3,,"1억 7,500",29,21,남향,20250503,"['25년이상', '1층', '주차가능', '총3층']",37.639399,127.071563
2523700098,단지내상가,월세,1/5,65,"1,000",22,22,북향,20250503,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.6332,127.071076
2523700135,일반상가,월세,1/4,400,"5,000",156,132,동향,20250503,"['25년이내', '1층', '주차가능', '총4층']",37.640443,127.070427
2523669176,단지내상가,매매,1/3,,"1억 7,000",21,21,남향,20250503,"['25년이상', '1층', '주차가능', '총3층']",37.639399,127.071563
2523656665,단지내상가,월세,3/3,60,"1,000",67,47,동향,20250503,"['25년이상', '융자금없는', '고층', '관리비10만원이하']",37.644614,127.072079
2523720841,일반상가,월세,1/3,60,"1,000",26,21,남향,20250503,"['25년이상', '1층', '주차가능', '총3층']",37.639399,127.071563
2523656840,단지내상가,월세,2/3,60,"2,000",38,27,동향,20250503,"['25년이상', '융자금없는', '중층', '관리비10만원이하']",37.644614,127.072079
2523263091,일반상가,월세,2/3,230,"3,000",160,160,동향,20250502,"['25년이내', '중층', '주차가능', '총3층']",37.640443,127.070427
2523226351,일반상가,매매,1/9,,"6억 9,000",67,34,남서향,20250502,"['25년이내', '1층', '관리비20만원이하', '주차가능']",37.639686,127.074119
2523360983,일반상가,월세,2/6,90,"1,000",75,75,북향,20250502,"['25년이내', '지상층(1층제외)', '관리비10만원이하', '주차가능']",37.63545,127.072842
2523443307,복합상가,월세,1/5,90,"1,000",49,49,남향,20250502,"['25년이상', '1층', '관리비10만원이하', '총5층']",37.63574,127.07333
2523486446,일반상가,월세,1/5,100,"1,000",35,35,북향,20250502,"['15년이내', '1층', '총5층', '북향']",37.634206,127.072245
2523084886,단지내상가,월세,1/3,140,"2,000",29,21,서향,20250430,"['25년이상', '융자금없는', '역세권', '1층']",37.634685,127.069553
2523183650,일반상가,매매,3/5,,3억,54,54,남향,20250430,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.6332,127.071076
2523160865,단지내상가,월세,3/5,70,"1,000",44,44,북향,20250430,"['25년이상', '역세권', '중층', '주차가능']",37.6332,127.071076
2523182379,일반상가,월세,3/4,100,"2,000",101,101,,20250430,"['25년이상', '융자금적은', '고층', '주차가능']",37.634267,127.07205
2523164313,일반상가,월세,1/6,250,"3,000",34,34,남향,20250430,"['25년이내', '1층', '주차가능', '남향']",37.639686,127.074119
2522657727,단지내상가,월세,B1/2,70,"1,000",33,29,동향,20250429,"['25년이상', '융자금없는', '역세권', '지하층']",37.636354,127.061349
2522936729,단지내상가,매매,B1/18,,1억,46,32,동향,20250429,"['25년이내', '역세권', '지하층', '주차가능']",37.632644,127.064589
2522878870,일반상가,월세,3/8,60,"1,000",59,59,동향,20250429,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.634867,127.070548
2522892911,일반상가,월세,1/3,330,"5,000",143,132,동향,20250429,"['25년이내', '역세권', '1층', '주차가능']",37.638963,127.070404
2522595848,복합상가,월세,1/9,500,"6,000",109,109,서향,20250428,"['25년이상', '1층', '주차가능', '서향']",37.639509,127.073377
2522559900,단지내상가,월세,2/2,120,"2,000",44,44,북향,20250428,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.636854,127.066394
2522563224,일반상가,월세,2/3,95,"1,000",98,98,동향,20250428,"['25년이내', '중층', '관리비20만원이하', '주차가능']",37.641565,127.07026
2522628728,일반상가,월세,8/10,135,"2,000",154,111,남향,20250428,"['25년이상', '고층', '주차가능', '남향']",37.640267,127.072745
2522688604,일반상가,월세,8/9,135,"2,500",110,110,남향,20250428,"['25년이상', '고층', '주차가능', '남향']",37.640267,127.072745
