articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524662871,일반상가,월세,1/6,700,1억,213,213,남향,20250509,"['15년이내', '융자금적은', '역세권', '1층']",37.675377,127.047321
2524646860,일반상가,월세,1/3,140,"3,000",41,41,남향,20250509,"['25년이내', '융자금없는', '1층', '주차가능']",37.68442,127.043815
2524647209,일반상가,월세,1/4,80,"1,000",40,40,서향,20250509,"['25년이상', '1층', '주차가능', '총4층']",37.685191,127.043864
2524425739,일반상가,월세,1/6,220,"3,000",59,59,남동향,20250508,"['25년이내', '융자금적은', '1층', '주차가능']",37.672744,127.046372
2524354272,일반상가,월세,1/2,95,"2,500",83,83,북향,20250508,"['25년이상', '융자금적은', '1층', '총2층']",37.686083,127.042422
2524424630,일반상가,월세,2/3,140,"3,000",100,100,동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.674686,127.044165
2524534395,일반상가,월세,1/5,210,"4,000",87,87,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.67257,127.045269
2524519566,일반상가,월세,1/3,100,"2,000",39,39,서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.670512,127.04659
2524495306,일반상가,월세,2/2,160,"3,000",196,196,동향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.681539,127.045287
2524355093,일반상가,월세,1/5,190,"4,000",140,140,동향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.685589,127.045721
2524436150,단지내상가,월세,1/18,200,"3,000",75,75,동향,20250508,"['25년이상', '1층', '주차가능', '동향']",37.676276,127.047675
2524503382,일반상가,월세,1/3,60,"1,000",33,33,남향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.670173,127.042405
2524345460,일반상가,월세,1/2,300,"6,000",148,148,동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.671442,127.043524
2524520709,일반상가,월세,1/3,150,"3,000",69,69,서향,20250508,"['10년이내', '융자금적은', '역세권', '1층']",37.688492,127.04187
2524343645,일반상가,월세,3/3,350,"5,000",121,121,북향,20250508,"['4년이내', '고층', '주차가능', '총3층']",37.686843,127.040473
2524570087,단지내상가,매매,1/14,,"5억 8,000",59,48,남향,20250508,"['10년이내', '역세권', '1층', '급매']",37.682542,127.047496
2524393877,일반상가,월세,3/4,100,"2,000",213,80,북향,20250508,"['25년이상', '융자금없는', '역세권', '고층']",37.679982,127.04739
2524534939,일반상가,월세,1/5,70,"1,000",29,29,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.67257,127.045269
2524523784,일반상가,월세,2/3,160,"2,000",153,153,북서향,20250508,"['25년이상', '중층', '주차가능', '총3층']",37.675332,127.047952
2524406370,일반상가,월세,1/5,140,"3,000",58,58,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.67257,127.045269
2524346825,일반상가,월세,1/3,80,"3,000",24,24,동향,20250508,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.684338,127.043465
2523929610,일반상가,월세,1/4,230,"6,000",144,144,서향,20250507,"['25년이내', '융자금없는', '1층', '주차가능']",37.685954,127.043951
2523848422,일반상가,월세,1/3,210,"3,000",88,88,남향,20250507,"['10년이내', '역세권', '1층', '주차가능']",37.688884,127.042229
2523900578,단지내상가,월세,1/2,70,"1,000",33,33,북향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.679882,127.047857
2524201463,일반상가,월세,1/6,700,1억,213,141,동향,20250507,"['15년이내', '역세권', '1층', '주차가능']",37.675377,127.047321
2524077133,일반상가,월세,1/2,320,"3,800",121,121,북향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.678167,127.045561
2524199046,일반상가,월세,2/3,65,"1,000",70,70,동향,20250507,"['25년이상', '중층', '총3층', '동향']",37.671709,127.046318
2524199601,일반상가,월세,1/2,200,"3,000",67,67,서향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.676774,127.048844
2524242069,일반상가,월세,B1/6,50,"1,000",196,90,북동향,20250507,"['15년이내', '역세권', '지하층', '주차가능']",37.677778,127.049364
2524133443,일반상가,월세,1/1,270,"5,000",72,72,남서향,20250507,"['25년이상', '역세권', '1층', '남서향']",37.669568,127.045941
2523983589,일반상가,월세,5/5,150,"3,000",148,148,동향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.675991,127.044149
2524111054,일반상가,월세,1/3,50,500,26,26,북향,20250507,"['25년이상', '1층', '총3층', '북향']",37.673432,127.043409
2523902760,일반상가,월세,1/6,140,"3,000",38,38,서향,20250507,"['15년이내', '역세권', '1층', '주차가능']",37.677778,127.049364
2524227344,단지내상가,월세,1/20,100,"3,000",69,33,남향,20250507,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.683398,127.048365
2524219376,일반상가,월세,1/2,135,"3,000",59,56,남동향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.670114,127.041698
2524074490,일반상가,월세,1/4,50,"1,000",34,34,서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.680681,127.043604
2523882503,일반상가,월세,1/2,85,"1,500",18,18,동향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.682971,127.045623
2523900433,일반상가,월세,1/2,340,"5,000",115,115,북동향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.677906,127.044757
2523929693,일반상가,월세,1/4,80,"1,000",70,56,서향,20250507,"['25년이상', '융자금없는', '1층', '주차가능']",37.685191,127.043864
2524072012,일반상가,월세,1/4,45,500,26,26,남향,20250507,"['25년이상', '융자금없는', '1층', '주차가능']",37.68595,127.043451
2523886723,일반상가,월세,2/2,140,"1,500",151,151,남동향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.671442,127.043524
2523902432,일반상가,월세,1/2,60,500,33,33,남향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.67285,127.044867
2524100903,일반상가,월세,1/3,100,"2,000",26,26,남향,20250507,"['25년이상', '융자금적은', '역세권', '1층']",37.669948,127.043271
2524216101,일반상가,월세,1/6,100,"1,000",37,37,북향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.680342,127.04621
2524241431,일반상가,월세,2/4,140,"3,000",100,100,동향,20250507,"['25년이상', '역세권', '중층', '주차가능']",37.674686,127.044165
2524147372,일반상가,월세,2/2,160,"2,000",303,152,남동향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.671442,127.043524
2523902204,일반상가,월세,3/4,100,"2,000",80,80,북향,20250507,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.679982,127.04739
2524139457,일반상가,월세,1/1,400,"4,000",106,106,남동향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.674134,127.044027
2524089429,복합상가,월세,1/4,100,"1,000",20,20,북향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.68028,127.04651
2524046702,일반상가,월세,1/2,75,"1,500",50,50,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.671442,127.043524
2524072926,일반상가,월세,1/5,100,"1,500",66,57,남동향,20250507,"['25년이내', '융자금적은', '역세권', '1층']",37.679334,127.043093
2523980743,단지내상가,월세,4/4,200,"5,000",145,132,동향,20250507,"['25년이상', '융자금적은', '역세권', '고층']",37.678381,127.045638
2524220431,단지내상가,월세,1/20,320,"5,000",106,51,남서향,20250507,"['2년이내', '1층', '관리비20만원이하', '주차가능']",37.683398,127.048365
2523951373,일반상가,월세,1/3,200,"3,000",97,97,남동향,20250506,"['10년이내', '역세권', '1층', '주차가능']",37.688398,127.043497
2523936028,일반상가,월세,1/3,250,"2,500",77,77,북동향,20250506,"['15년이내', '융자금적은', '역세권', '1층']",37.688159,127.043129
2523927397,일반상가,월세,3/4,200,"2,000",193,193,동향,20250506,"['25년이상', '역세권', '고층', '주차가능']",37.682013,127.045402
2523865212,일반상가,월세,1/3,80,"2,000",44,44,남향,20250505,"['10년이내', '역세권', '1층', '주차가능']",37.674475,127.046387
2523860278,단지내상가,매매,1/1,,11억,42,37,남향,20250505,"['2년이내', '1층', '주차가능', '엘리베이터']",37.683398,127.048365
2523662555,일반상가,월세,1/3,250,"4,000",100,100,동향,20250503,"['25년이상', '역세권', '1층', '주차가능']",37.674686,127.044165
2523752260,일반상가,월세,1/3,80,"2,000",45,45,남향,20250503,"['10년이내', '역세권', '1층', '주차가능']",37.674475,127.046387
2523731238,단지내상가,월세,1/20,150,"3,000",57,27,북동향,20250503,"['2년이내', '융자금없는', '1층', '관리비10만원이하']",37.683398,127.048365
2523740771,일반상가,매매,1/5,,"9,500",36,23,남향,20250503,"['25년이내', '1층', '관리비10만원이하', '주차가능']",37.674011,127.042157
2523657512,일반상가,월세,B1/6,250,"4,000",358,303,서향,20250503,"['25년이상', '역세권', '지하층', '주차가능']",37.677988,127.04943
2523727309,일반상가,월세,1/4,170,"3,000",83,83,남향,20250503,"['25년이상', '역세권', '1층', '관리비20만원이하']",37.671409,127.042663
2523737529,일반상가,월세,1/2,130,"3,500",56,56,남향,20250503,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.670114,127.041698
2523799669,일반상가,월세,1/3,50,500,24,24,북향,20250503,"['25년이상', '테라스', '1층', '총3층']",37.673432,127.043409
2523739765,일반상가,월세,1/1,200,1억,79,79,남향,20250503,"['25년이상', '역세권', '1층', '남향']",37.677722,127.044651
2523758276,일반상가,월세,1/2,50,500,14,14,서향,20250503,"['25년이상', '역세권', '1층', '총2층']",37.676778,127.04378
