articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524673641,일반상가,월세,1/3,80,"1,000",35,35,,20250509,[],37.665263,127.042139
2524641216,일반상가,월세,1/2,80,"1,000",26,26,남향,20250509,"['25년이상', '1층', '총2층', '남향']",37.664748,127.038871
2524655781,복합상가,매매,2/2,,"5억 3,000",151,151,동향,20250509,"['25년이내', '역세권', '고층', '주차가능']",37.666477,127.045614
2524631294,일반상가,월세,1/4,300,"3,000",84,80,남동향,20250509,"['25년이상', '1층', '총4층', '남동향']",37.662822,127.035302
2524627306,일반상가,월세,2/4,200,"2,000",144,140,남서향,20250509,"['25년이상', '중층', '주차가능', '총4층']",37.664639,127.036607
2524641685,일반상가,월세,1/5,200,"2,500",89,89,서향,20250509,"['25년이내', '1층', '주차가능', '총5층']",37.663054,127.036201
2524639591,일반상가,월세,1/5,150,"2,000",97,33,북향,20250509,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.665189,127.035556
2524451730,일반상가,월세,1/5,150,"2,000",43,43,서향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.668633,127.041079
2524482334,일반상가,월세,1/7,300,"4,000",191,132,남향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.664442,127.044151
2524386954,일반상가,월세,B1/5,80,"1,000",124,124,북동향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.669854,127.041356
2524386641,일반상가,월세,3/4,400,"5,000",322,322,서향,20250508,"['25년이상', '고층', '주차가능', '총4층']",37.66216,127.033637
2524367287,일반상가,월세,2/4,260,"4,000",108,108,서향,20250508,"['2년이내', '중층', '총4층', '서향']",37.659994,127.027892
2524453636,일반상가,월세,4/4,800,1억,676,676,남동향,20250508,"['25년이상', '융자금적은', '고층', '주차가능']",37.664922,127.035438
2524383600,일반상가,월세,3/7,210,"2,000",197,197,서향,20250508,"['25년이상', '융자금없는', '중층', '주차가능']",37.661814,127.03501
2524449161,복합상가,월세,1/3,45,700,23,23,북서향,20250508,"['25년이상', '1층', '총3층', '북서향']",37.667351,127.037601
2524501723,일반상가,월세,1/3,120,"1,500",29,29,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.662579,127.033223
2524366818,일반상가,월세,4/4,150,"3,000",61,61,서향,20250508,"['2년이내', '고층', '총4층', '서향']",37.659994,127.027892
2524337192,일반상가,월세,1/8,280,"5,000",101,71,동향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.664946,127.042316
2524386857,일반상가,월세,2/4,300,"5,000",221,221,서향,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.66216,127.033637
2524426665,일반상가,월세,1/3,300,"5,000",95,95,남향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.663075,127.037982
2524336844,일반상가,월세,2/4,110,"2,500",148,148,남서향,20250508,"['25년이상', '융자금적은', '중층', '관리비10만원이하']",37.667448,127.035441
2524518501,일반상가,월세,1/4,70,"1,000",90,90,북서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.66896,127.035987
2524335844,일반상가,월세,B1/4,60,"1,500",119,110,북동향,20250508,"['25년이상', '지하층', '총4층', '북동향']",37.667038,127.032682
2524544400,일반상가,월세,3/3,60,800,90,87,남향,20250508,"['25년이상', '융자금없는', '고층', '총3층']",37.668046,127.034164
2524507420,일반상가,월세,1/3,100,"1,000",42,42,서향,20250508,"['25년이상', '1층', '총3층', '서향']",37.662072,127.037822
2524419377,일반상가,월세,1/4,190,"3,000",28,28,북향,20250508,"['25년이상', '역세권', '1층', '총4층']",37.669324,127.045604
