articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524620169,일반상가,월세,3/4,200,"4,000",82,48,남동향,20250509,"['25년이상', '고층', '주차가능', '총4층']",37.658761,127.028084
2524620763,일반상가,월세,3/4,200,"4,000",81,44,남동향,20250509,"['25년이상', '고층', '주차가능', '엘리베이터']",37.658761,127.028084
2524612269,일반상가,월세,6/6,250,"2,250",72,72,남향,20250509,"['2년이내', '융자금적은', '테라스', '역세권']",37.652664,127.03666
2524639615,일반상가,월세,1/3,85,"1,000",33,33,동향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.647861,127.033067
2524611992,일반상가,월세,5/6,250,"2,250",72,72,남향,20250509,"['2년이내', '융자금적은', '테라스', '역세권']",37.652664,127.03666
2524611709,일반상가,월세,5/5,130,"2,000",90,56,서향,20250509,"['10년이내', '테라스', '역세권', '고층']",37.654163,127.013134
2524440080,일반상가,매매,1/20,,"1억 7,000",36,15,,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.658329,127.035813
2524498968,일반상가,월세,4/7,480,"1억 3,000",714,346,동향,20250508,"['25년이내', '중층', '주차가능', '동향']",37.6564,127.038745
2524368532,일반상가,월세,1/3,70,"1,000",45,45,남서향,20250508,"['25년이상', '1층', '총3층', '남서향']",37.647439,127.029909
2524412860,일반상가,월세,B1/14,120,"1,500",112,72,남동향,20250508,"['10년이내', '역세권', '지하층', '관리비20만원이하']",37.645392,127.032438
2524449748,일반상가,월세,B1/2,250,"2,500",217,217,남서향,20250508,"['25년이상', '융자금없는', '역세권', '지하층']",37.65303,127.036972
2524384527,일반상가,월세,1/4,270,"6,000",95,95,서향,20250508,"['25년이상', '융자금없는', '1층', '관리비20만원이하']",37.655737,127.037072
2524364369,일반상가,월세,3/5,450,"9,000",247,191,북향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.651319,127.013379
2524362540,일반상가,월세,2/3,165,"1,300",99,99,남동향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.651693,127.03613
2524371437,단지내상가,월세,B2/7,100,"1,500",42,42,남서향,20250508,"['4년이내', '지하층', '주차가능', '남서향']",37.647094,127.026695
2524357218,일반상가,월세,1/2,230,,49,49,북향,20250508,"['25년이상', '역세권', '무보증', '1층']",37.648401,127.033016
