articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524638892,일반상가,월세,1/2,150,"3,000",29,29,동향,20250509,"['25년이상', '역세권', '1층', '총2층']",37.647527,127.035298
2524637051,일반상가,월세,1/3,90,"2,000",29,29,남향,20250509,"['25년이상', '역세권', '1층', '총3층']",37.646959,127.036177
2524640682,단지내상가,월세,3/3,90,"1,000",59,35,남동향,20250509,"['25년이상', '고층', '주차가능', '총3층']",37.659751,127.048052
2524642054,단지내상가,월세,B1/3,40,500,36,22,남서향,20250509,"['25년이상', '지하층', '주차가능', '총3층']",37.659751,127.048052
2524607048,일반상가,월세,1/10,250,"3,000",60,56,서향,20250509,"['25년이상', '역세권', '1층', '주차가능']",37.652451,127.050063
2524631423,일반상가,월세,1/2,75,"1,000",25,25,북동향,20250509,"['25년이상', '1층', '총2층', '북동향']",37.63988,127.039676
2524612322,일반상가,월세,B1/4,150,"3,000",174,174,동향,20250509,"['25년이상', '역세권', '지하층', '관리비20만원이하']",37.653629,127.046196
2524355352,일반상가,월세,2/5,700,"1억 3,000",169,169,북서향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.648757,127.035208
2524545918,복합상가,매매,4/10,,"2,500",10,10,동향,20250508,"['2년이내', '역세권', '중층', '주차가능']",37.653381,127.047705
2524474047,일반상가,월세,4/11,320,"5,000",297,199,북서향,20250508,"['10년이내', '역세권', '중층', '주차가능']",37.649699,127.035743
2524349961,일반상가,월세,1/4,480,"1억 8,000",65,57,북서향,20250508,"['25년이상', '역세권', '1층', '급매']",37.647327,127.034431
2524357119,일반상가,월세,1/2,280,"4,800",26,26,남서향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.647622,127.034983
2524357552,단지내상가,월세,1/3,80,"2,000",21,21,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.646959,127.036177
2524347513,일반상가,월세,4/5,270,"4,000",147,147,서향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.652214,127.046481
2524353976,일반상가,매매,1/7,,15억,40,24,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.653296,127.049373
2524356578,일반상가,월세,1/3,500,"5,000",103,103,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.646009,127.033509
2524362878,일반상가,월세,1/4,130,"2,000",73,70,서향,20250508,"['25년이상', '1층', '총4층', '서향']",37.64381,127.037988
2524364336,일반상가,월세,1/4,210,"5,000",36,36,남서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.647327,127.034431
2524359591,일반상가,월세,1/3,60,"1,000",31,31,남서향,20250508,"['25년이상', '1층', '총3층', '남서향']",37.64035,127.036557
2524350267,일반상가,월세,1/6,170,"3,000",89,89,남향,20250508,"['25년이내', '1층', '주차가능', '남향']",37.643504,127.038737
2524360152,일반상가,월세,B1/4,40,500,84,84,남향,20250508,"['25년이상', '역세권', '지하층', '총4층']",37.646353,127.036659
2524358821,일반상가,월세,2/4,150,"1,500",140,140,,20250508,"['25년이상', '중층', '주차가능', '총4층']",37.638923,127.034566
2524360895,일반상가,월세,1/2,120,"1,500",57,57,남동향,20250508,"['25년이상', '1층', '주차가능', '총2층']",37.637847,127.035675
2524311683,단지내상가,월세,1/2,170,"2,000",35,26,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.654375,127.046498
2524423838,일반상가,월세,1/5,600,"1억 3,000",50,33,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.652793,127.046969
2524499402,일반상가,월세,1/9,140,"3,000",44,44,북동향,20250508,"['25년이내', '1층', '주차가능', '북동향']",37.655694,127.040276
2524400553,일반상가,월세,1/7,290,"5,000",31,31,북향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.65339,127.049732
2524421742,일반상가,월세,1/10,250,"3,000",100,60,서향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.652451,127.050063
2524422799,일반상가,월세,1/17,200,"2,000",64,41,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.652238,127.049074
2524410507,일반상가,월세,1/7,350,"5,000",32,32,서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.653239,127.049128
2524376433,일반상가,월세,2/2,180,"5,000",184,184,남서향,20250508,"['25년이상', '역세권', '고층', '총2층']",37.647527,127.035298
2524434920,일반상가,월세,B1/7,350,"4,000",396,329,남동향,20250508,"['25년이내', '역세권', '지하층', '관리비20만원이하']",37.657097,127.046199
