articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524655157,단지내상가,월세,1/4,250,"5,000",69,35,북서향,20250509,"['4년이내', '1층', '주차가능', '총4층']",37.575266,127.054961
2524656605,단지내상가,월세,1/4,200,"5,000",64,32,동향,20250509,"['4년이내', '1층', '주차가능', '총4층']",37.575266,127.054961
2524659221,단지내상가,월세,1/4,325,"5,300",124,65,북서향,20250509,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.575266,127.054961
2524634846,일반상가,월세,3/5,250,"4,000",144,144,남향,20250509,"['25년이내', '중층', '관리비20만원이하', '주차가능']",37.573099,127.056938
2524645560,단지내상가,월세,1/3,100,"1,000",36,36,남동향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.574861,127.066044
2524653890,단지내상가,월세,1/4,182,"7,000",59,30,남동향,20250509,"['4년이내', '1층', '주차가능', '총4층']",37.575266,127.054961
2524501471,일반상가,월세,1/1,170,"3,000",70,70,남동향,20250508,"['25년이상', '1층', '남동향']",37.572665,127.051287
2524494390,일반상가,월세,1/5,200,"3,000",66,62,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.571954,127.057598
2524577654,일반상가,매매,1/5,,10억,97,50,동향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.572479,127.05566
2524347425,일반상가,월세,B1/3,80,"1,000",89,89,북서향,20250508,"['25년이상', '지하층', '총3층', '북서향']",37.572662,127.057654
2524314627,일반상가,월세,1/4,100,"2,000",76,30,서향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.5711,127.056074
2524464330,일반상가,월세,1/1,130,"1,300",26,18,남서향,20250508,"['25년이상', '역세권', '1층', '남서향']",37.567972,127.053297
2524496034,일반상가,월세,1/1,130,"1,300",21,18,남향,20250508,"['25년이상', '역세권', '1층', '남향']",37.567972,127.053297
2524551116,단지내상가,매매,1/13,,"6억 5,000",63,37,남서향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.565225,127.056278
2524573769,단지내상가,월세,2/4,240,"3,000",406,245,남서향,20250508,"['25년이내', '중층', '주차가능', '총4층']",37.567745,127.06177
2524598991,일반상가,월세,1/4,55,"2,000",16,16,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.574161,127.048582
2524597674,일반상가,월세,1/6,700,1억,300,247,서향,20250508,"['25년이내', '1층', '주차가능', '서향']",37.573236,127.066112
2524550850,일반상가,월세,B1/4,100,"1,000",132,92,남동향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.568467,127.05294
2524551536,복합상가,월세,B1/21,85,"2,000",65,36,남서향,20250508,"['15년이내', '융자금없는', '역세권', '지하층']",37.568975,127.050621
2524451695,일반상가,월세,1/2,60,"1,000",27,19,남향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.567678,127.055901
2524461208,일반상가,매매,B1/3,,3억,30,30,,20250508,"['25년이상', '지하층', '총3층']",37.565271,127.060172
2524501637,일반상가,월세,1/3,50,"1,000",26,26,동향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.569737,127.058909
2524496287,일반상가,월세,1/2,75,"1,000",25,25,동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.569303,127.053375
2524496519,단지내상가,월세,1/5,340,"5,000",120,62,동향,20250508,"['10년이내', '융자금없는', '1층', '관리비20만원이하']",37.572479,127.05566
2524514946,일반상가,월세,1/5,250,"5,000",90,52,남동향,20250508,"['10년이내', '융자금없는', '1층', '관리비20만원이하']",37.568016,127.05745
2524350299,일반상가,월세,8/9,550,1억,251,221,남서향,20250508,"['2년이내', '융자금없는', '고층', '주차가능']",37.568293,127.057314
2524452939,일반상가,월세,2/11,650,2억,376,376,남향,20250508,"['25년이상', '역세권', '지상층(1층제외)', '주차가능']",37.567844,127.052063
2524519356,일반상가,월세,1/1,180,"2,000",46,46,남동향,20250508,"['25년이상', '1층', '남동향']",37.572665,127.051287
2524495438,일반상가,월세,2/3,250,"3,000",150,132,남향,20250508,"['25년이상', '중층', '관리비20만원이하', '총3층']",37.573171,127.057789
2524428001,일반상가,월세,1/5,100,"2,000",40,31,북동향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.573133,127.05002
2524513469,일반상가,월세,1/3,140,"2,500",35,28,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.567204,127.056527
2524440659,일반상가,월세,1/5,300,"5,000",93,48,동향,20250508,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.572479,127.05566
2524419203,일반상가,월세,1/4,150,"2,000",52,52,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.574161,127.048582
2524451755,일반상가,월세,7/9,550,1억,237,224,서향,20250508,"['2년이내', '고층', '주차가능', '서향']",37.568293,127.057314
2524488600,단지내상가,매매,1/3,,"2억 6,000",37,37,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.571429,127.060397
2524487326,일반상가,월세,전체층/2,75,"1,000",30,30,북향,20250508,"['25년이상', '융자금없는', '역세권', '총2층']",37.569303,127.053375
2524397575,단지내상가,매매,B1/4,,22억,635,326,동향,20250508,"['10년이내', '지하층', '주차가능', '총4층']",37.575266,127.054961
2524503858,일반상가,월세,1/3,120,"1,000",65,56,남향,20250508,"['25년이상', '1층', '총3층', '남향']",37.570029,127.058172
2524307592,일반상가,월세,1/4,550,"9,000",65,52,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.572627,127.057108
2524419069,일반상가,월세,B1/4,150,"2,000",206,200,남서향,20250508,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.574161,127.048582
2524455811,단지내상가,월세,1/15,100,"2,000",20,20,동향,20250508,"['25년이내', '역세권', '1층', '관리비20만원이하']",37.56951,127.049924
2524495787,일반상가,월세,1/2,50,"1,000",68,28,동향,20250508,"['25년이상', '1층', '총2층', '동향']",37.570186,127.057646
2524385507,단지내상가,월세,1/2,85,"2,000",28,18,남서향,20250508,"['10년이내', '융자금없는', '역세권', '1층']",37.571459,127.047316
2524441949,일반상가,월세,1/3,160,"2,000",35,30,동향,20250508,"['25년이상', '1층', '총3층', '동향']",37.573542,127.057297
2523987834,일반상가,월세,1/5,80,"1,000",45,30,북동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.571289,127.050657
2523920324,일반상가,월세,1/6,132,"2,000",73,73,남향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.569647,127.051608
2523986168,일반상가,월세,1/2,70,500,23,20,동향,20250507,"['25년이상', '역세권', '1층', '총2층']",37.568573,127.054333
2524231438,일반상가,월세,1/4,120,"1,500",49,49,서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.569468,127.052629
2523872355,단지내상가,매매,1/12,,23억,210,132,남서향,20250507,"['15년이내', '1층', '주차가능', '남서향']",37.572048,127.053976
2523924803,복합상가,매매,1/15,,60억,1099,531,남서향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.564831,127.056091
2523909657,일반상가,월세,1/3,110,"2,000",72,72,남향,20250507,"['25년이상', '1층', '주차가능', '총3층']",37.567056,127.0598
2523831862,일반상가,월세,8/11,700,2억,602,454,남동향,20250507,"['25년이상', '융자금없는', '역세권', '고층']",37.567844,127.052063
2523842850,복합상가,매매,B1/21,,"6억 5,000",290,145,남서향,20250507,"['15년이내', '역세권', '지하층', '주차가능']",37.568975,127.050621
2523831851,일반상가,월세,3/11,200,1억,222,151,남동향,20250507,"['25년이상', '융자금없는', '역세권', '지상층(1층제외)']",37.567844,127.052063
2524183116,일반상가,월세,1/5,350,"5,000",80,80,서향,20250507,"['25년이상', '1층', '주차가능', '에어컨']",37.571276,127.057065
2524313522,단지내상가,월세,1/5,320,1억,83,48,북동향,20250507,"['10년이내', '융자금없는', '1층', '관리비20만원이하']",37.572479,127.05566
2524182258,일반상가,월세,1/3,160,"3,000",80,80,서향,20250507,"['25년이상', '1층', '총3층', '서향']",37.570271,127.056087
2524183290,일반상가,월세,1/6,140,"3,000",46,46,서향,20250507,"['10년이내', '융자금없는', '1층', '관리비10만원이하']",37.567396,127.061983
