articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524427377,단지내상가,월세,1/20,190,"3,000",67,39,남향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.573887,127.026076
2524419482,일반상가,월세,3/16,"2,000",2억,1003,700,북동향,20250508,"['10년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.575973,127.02523
2524554153,단지내상가,월세,1/17,190,"3,500",30,28,동향,20250508,"['10년이내', '역세권', '1층', '관리비20만원이하']",37.573197,127.02364
2524518363,일반상가,월세,1/5,318,"5,000",165,165,남향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.577764,127.025289
2524449112,일반상가,월세,1/5,80,"1,000",34,34,서향,20250508,"['25년이상', '융자금적은', '역세권', '1층']",37.574358,127.026975
2524418613,일반상가,월세,3/16,"1,000",1억,501,350,북동향,20250508,"['10년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.575973,127.02523
2523961680,단지내상가,월세,1/1,100,"1,000",22,13,동향,20250507,"['2년이내', '역세권', '1층', '관리비10만원이하']",37.573887,127.026076
2523922679,일반상가,월세,1/4,250,"3,000",130,115,남향,20250507,"['25년이내', '역세권', '1층', '주차가능']",37.573466,127.02557
2524163174,일반상가,월세,3/5,40,300,20,20,북서향,20250507,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.577955,127.026179
2524032148,일반상가,월세,4/16,"4,000",4억,2024,1360,북동향,20250507,"['10년이내', '역세권', '지상층(1층제외)', '주차가능']",37.575973,127.02523
2523961024,단지내상가,월세,1/2,300,"5,000",68,40,남향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.573887,127.026076
2524114936,단지내상가,월세,1/2,250,"5,000",55,32,남향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.573887,127.026076
2524235011,일반상가,월세,1/5,207,"2,000",202,202,남향,20250507,"['25년이상', '역세권', '1층', '총5층']",37.575301,127.025876
2524195033,일반상가,월세,1/20,270,"3,000",44,26,동향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.573887,127.026076
2524257786,일반상가,월세,1/3,180,"2,200",60,60,북서향,20250507,"['25년이상', '역세권', '1층', '총3층']",37.577523,127.025478
2524010425,일반상가,월세,1/2,190,"3,000",39,39,남서향,20250507,"['2년이내', '역세권', '1층', '주차가능']",37.573887,127.026076
2523928193,일반상가,월세,1/5,120,"2,000",38,38,동향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.571623,127.026724
2523950227,단지내상가,월세,4/5,308,"3,000",144,133,남향,20250507,"['10년이내', '융자금없는', '테라스', '역세권']",37.574624,127.026948
2524132069,일반상가,월세,3/5,250,"5,000",136,136,남향,20250507,"['2년이내', '역세권', '중층', '주차가능']",37.576668,127.023531
2523919909,복합상가,월세,B1/15,230,"3,000",183,152,남동향,20250507,"['10년이내', '역세권', '지하층', '주차가능']",37.577431,127.025447
2524020836,일반상가,월세,1/5,120,"1,000",50,50,서향,20250507,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.571977,127.027056
2524190065,일반상가,월세,1/4,200,"2,000",50,50,남향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.573661,127.025091
2523861503,복합상가,월세,1/14,110,"1,000",29,29,북향,20250507,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.574617,127.026364
2523789536,일반상가,월세,6/10,570,"5,000",320,247,남서향,20250503,"['25년이내', '융자금없는', '역세권', '중층']",37.575048,127.023607
