articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524657604,단지내상가,월세,1/16,150,"3,000",46,28,남향,20250509,"['10년이내', '1층', '관리비20만원이하', '주차가능']",37.570842,127.032739
2524650618,일반상가,월세,3/5,220,"4,000",200,104,동향,20250509,"['25년이내', '역세권', '중층', '주차가능']",37.575361,127.037637
2524369725,일반상가,월세,1/6,230,"3,000",65,38,남서향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.578177,127.042238
2524371360,일반상가,월세,1/6,380,"7,000",77,45,서향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.578177,127.042238
2524387540,일반상가,월세,3/4,200,"5,000",200,90,북동향,20250508,"['25년이상', '역세권', '고층', '관리비10만원이하']",37.577066,127.041814
2524320074,단지내상가,매매,1/28,,8억,38,23,서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.577367,127.038844
2524338875,단지내상가,매매,1/28,,"8억 5,000",40,24,북향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.577367,127.038844
2524319036,단지내상가,매매,1/28,,12억,50,31,서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.577367,127.038844
2524393316,일반상가,월세,1/6,500,1억,89,52,동향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.578177,127.042238
2524320846,단지내상가,매매,1/28,,"14억 4,100",64,40,북향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.577367,127.038844
2524315969,단지내상가,매매,1/28,,"18억 2,200",77,47,서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.577367,127.038844
2524390626,일반상가,월세,2/3,180,"3,000",70,70,북서향,20250508,"['25년이상', '역세권', '중층', '총3층']",37.576988,127.041429
2524391854,일반상가,월세,B1/4,200,"4,000",155,145,북서향,20250508,"['25년이상', '역세권', '지하층', '관리비10만원이하']",37.577066,127.041814
2524321792,단지내상가,월세,1/40,450,1억,100,58,남동향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.578177,127.042238
2524393727,일반상가,월세,B2/8,700,1억,709,495,동향,20250508,"['10년이내', '역세권', '지하층', '주차가능']",37.573715,127.037777
