articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524624398,일반상가,월세,1/5,80,800,19,19,남서향,20250509,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.565222,127.063173
2524666758,일반상가,월세,1/4,120,"2,500",71,71,남향,20250509,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.563905,127.068436
2524668521,일반상가,월세,1/3,70,"1,000",30,30,남향,20250509,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.56986,127.067478
2524563728,일반상가,월세,1/3,220,"3,500",36,36,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.562946,127.066611
2524615628,일반상가,월세,B1/5,120,"1,000",164,164,북동향,20250508,"['25년이상', '지하층', '주차가능', '총5층']",37.56708,127.063802
2524602894,일반상가,월세,1/3,65,"1,000",29,29,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.565838,127.063418
2524434504,일반상가,월세,1/2,65,"1,000",74,33,남향,20250508,"['25년이상', '1층', '총2층', '남향']",37.577432,127.069395
2524537549,일반상가,월세,1/3,65,"1,000",26,19,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.573311,127.069093
2524363854,일반상가,월세,1/5,90,"1,000",56,56,북동향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.5717,127.066506
2524533942,일반상가,월세,B1/4,130,"1,500",109,109,남향,20250508,"['25년이상', '지하층', '주차가능', '총4층']",37.571899,127.069787
2524557160,일반상가,월세,1/11,50,500,49,49,남서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.562882,127.069388
2524318862,일반상가,월세,2/4,400,"5,000",220,211,북향,20250508,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.561911,127.06621
2524572523,일반상가,월세,1/4,60,"1,000",69,31,남향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.570375,127.069037
2524562483,일반상가,월세,3/4,400,"6,000",270,221,남동향,20250508,"['25년이내', '고층', '주차가능', '엘리베이터']",37.570518,127.07024
2524563842,일반상가,월세,2/9,500,1억,506,330,북서향,20250508,"['10년이내', '지상층(1층제외)', '주차가능', '엘리베이터']",37.57044,127.07162
2524597894,단지내상가,월세,2/20,230,"3,000",57,57,북동향,20250508,"['2년이내', '융자금없는', '지상층(1층제외)', '주차가능']",37.570261,127.070992
2524562594,일반상가,월세,1/5,150,"1,500",63,62,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.571985,127.069558
2524562247,일반상가,월세,2/3,260,"3,000",99,99,남향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.562174,127.066283
2524595806,일반상가,월세,1/5,55,500,25,25,서향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.564069,127.062823
2524562725,일반상가,월세,1/4,130,"2,000",57,56,북서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.568476,127.066159
2524310274,일반상가,월세,1/6,185,"3,500",115,115,남동향,20250508,"['25년이내', '융자금없는', '1층', '관리비20만원이하']",37.567076,127.067293
2524535739,일반상가,월세,1/6,400,"5,000",81,81,남동향,20250508,"['25년이상', '1층', '주차가능', '남동향']",37.5729,127.071418
2524563538,일반상가,월세,1/5,100,"1,000",67,48,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.569142,127.066778
2524563621,일반상가,월세,1/3,80,"1,000",27,26,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '총3층']",37.569834,127.067141
2524563946,일반상가,월세,1/4,280,"3,000",93,92,북동향,20250508,"['25년이상', '1층', '관리비10만원이하', '총4층']",37.569932,127.069528
2524517296,단지내상가,월세,2/3,200,"4,000",169,111,동향,20250508,"['25년이내', '중층', '주차가능', '총3층']",37.575975,127.075377
2524478701,일반상가,월세,1/5,150,"1,500",89,66,동향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.571985,127.069558
2524309307,일반상가,월세,1/4,110,"2,000",29,29,북서향,20250508,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.570538,127.065218
2524518657,일반상가,월세,1/20,450,1억,119,60,서향,20250508,"['2년이내', '1층', '주차가능', '엘리베이터']",37.568012,127.069434
2524309684,일반상가,월세,1/5,460,"8,000",179,179,동향,20250508,"['25년이내', '1층', '주차가능', '총5층']",37.580193,127.070367
2524372762,일반상가,월세,1/2,80,"1,000",24,24,북향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.580896,127.069105
2524429880,일반상가,월세,1/8,250,"5,000",115,82,북향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.562747,127.060369
2524308993,일반상가,월세,1/2,70,"1,000",43,43,남동향,20250508,"['25년이상', '융자금없는', '1층', '총2층']",37.565915,127.064929
2524304599,일반상가,월세,1/3,450,"5,000",83,69,서향,20250508,"['25년이상', '1층', '주차가능', '총3층']",37.575135,127.07225
2524320148,일반상가,월세,1/3,320,"6,000",102,99,남서향,20250508,"['25년이상', '역세권', '1층', '천장에어컨']",37.562432,127.066748
2524317733,일반상가,월세,1/5,700,1억,436,132,서향,20250508,"['25년이상', '1층', '주차가능', '총5층']",37.574396,127.072262
2524546285,일반상가,월세,2/7,250,"3,000",148,132,서향,20250508,"['25년이내', '지상층(1층제외)', '엘리베이터', '베란다']",37.581005,127.071055
2524497086,일반상가,월세,3/3,75,"1,000",93,92,동향,20250508,"['25년이상', '고층', '관리비10만원이하', '주차가능']",37.572782,127.073757
2524522652,일반상가,월세,1/6,300,"4,000",46,46,남향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.564184,127.066076
2524532687,일반상가,월세,2/5,850,1억,277,194,서향,20250508,"['25년이상', '중층', '관리비10만원이하', '주차가능']",37.570595,127.070993
2524533128,일반상가,월세,1/5,"1,300","1억 5,000",277,194,서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.570595,127.070993
2524564172,일반상가,월세,2/4,420,"5,000",199,198,북향,20250508,"['25년이상', '역세권', '중층', '총4층']",37.561911,127.06621
2524310085,일반상가,월세,2/5,850,1억,277,215,서향,20250508,"['25년이상', '중층', '관리비10만원이하', '총5층']",37.570595,127.070993
2524563458,일반상가,월세,1/7,550,"5,000",103,102,서향,20250508,"['10년이내', '1층', '주차가능', '엘리베이터']",37.566827,127.068607
2524562832,일반상가,월세,6/8,430,"7,000",198,198,남동향,20250508,"['25년이상', '고층', '주차가능', '엘리베이터']",37.572762,127.071208
