articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524608154,단지내상가,월세,2/2,800,1억,162,92,북서향,20250509,"['2년이내', '융자금없는', '역세권', '고층']",37.578862,127.045169
2524499503,복합상가,월세,3/20,170,"3,000",58,32,북향,20250509,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.579407,127.044062
2524639430,단지내상가,월세,4/20,100,"2,000",23,23,남동향,20250509,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.579407,127.044062
2524435992,단지내상가,월세,4/20,90,"1,000",24,24,북서향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",37.579407,127.044062
2524372741,일반상가,월세,1/3,140,"3,000",84,80,북동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.577369,127.049034
2524452120,일반상가,월세,1/5,550,1억,152,152,서향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.575709,127.047614
2524463212,단지내상가,월세,3/15,150,"3,000",59,33,북향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.579427,127.043789
2524469746,단지내상가,월세,1/43,260,"5,000",63,37,남서향,20250508,"['2년이내', '역세권', '1층', '관리비10만원이하']",37.578562,127.043755
2524590044,일반상가,매매,4/4,,14억,106,106,남향,20250508,"['4년이내', '고층', '주차가능', '천장에어컨']",37.57652,127.055431
2524506204,일반상가,월세,1/3,180,"2,000",65,65,남서향,20250508,"['25년이상', '1층', '총3층', '남서향']",37.574757,127.047467
2524592241,단지내상가,월세,1/1,120,"3,000",50,23,남서향,20250508,"['15년이내', '융자금없는', '1층', '주차가능']",37.576291,127.050683
2524370416,일반상가,월세,1/1,180,"2,000",32,32,북서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.577998,127.04944
2524397033,일반상가,월세,1/6,80,"2,000",46,36,서향,20250508,"['10년이내', '융자금적은', '1층', '관리비10만원이하']",37.583146,127.052897
2524381882,일반상가,월세,1/2,750,"8,000",144,82,북서향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.579311,127.037007
2524453246,일반상가,월세,1/5,200,"2,000",176,88,남향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.584157,127.051352
2524373302,일반상가,월세,2/2,260,"3,000",64,36,북서향,20250508,"['2년이내', '역세권', '고층', '주차가능']",37.580054,127.037786
2524380416,일반상가,월세,1/2,350,"5,000",80,48,남동향,20250508,"['2년이내', '역세권', '1층', '주차가능']",37.578562,127.043755
2524412286,단지내상가,월세,2/2,50,"1,000",29,29,동향,20250508,"['25년이상', '융자금없는', '고층', '관리비20만원이하']",37.574899,127.045713
2524452801,단지내상가,월세,1/20,350,"5,000",39,27,북향,20250508,"['4년이내', '융자금없는', '역세권', '1층']",37.579534,127.044412
2524499655,일반상가,월세,1/4,110,"2,000",45,33,남서향,20250508,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.575135,127.049652
2524441768,일반상가,매매,1/6,,"3억 5,000",42,32,서향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.582007,127.053163
2524371013,일반상가,월세,1/5,190,"2,000",91,76,남서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.578844,127.050258
2524418925,단지내상가,월세,1/43,300,"5,000",80,48,남동향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.578562,127.043755
2524545407,단지내상가,월세,2/43,370,"5,000",94,56,북동향,20250508,"['2년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.578562,127.043755
2524464565,단지내상가,월세,3/15,150,"3,000",64,36,북향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.579427,127.043789
