articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524581353,복합상가,월세,2/3,110,"2,000",92,92,북서향,20250508,"['25년이상', '역세권', '중층', '주차가능']",37.582365,127.030144
2524419084,일반상가,월세,1/4,350,"5,000",110,110,동향,20250508,"['25년이상', '역세권', '1층', '주차가능']",37.586376,127.038175
2524353173,일반상가,월세,1/3,400,"4,000",125,125,동향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.582365,127.030144
2524464810,일반상가,월세,1/1,240,"3,000",43,43,서향,20250508,"['25년이상', '역세권', '1층', '서향']",37.586196,127.032896
2524505454,일반상가,월세,1/6,120,"3,000",54,49,동향,20250508,"['2년이내', '역세권', '1층', '관리비20만원이하']",37.585772,127.038791
2524306430,일반상가,월세,1/4,350,"3,000",111,111,동향,20250508,"['25년이상', '역세권', '1층', '관리비10만원이하']",37.586376,127.038175
2524307174,단지내상가,월세,1/5,100,"1,000",56,56,남향,20250508,"['10년이내', '1층', '관리비10만원이하', '주차가능']",37.584938,127.037047
2524400590,일반상가,월세,1/2,150,"2,000",34,34,서향,20250508,"['25년이상', '1층', '총2층', '서향']",37.584215,127.038808
2524368183,일반상가,월세,1/3,60,"2,000",22,22,남향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.579788,127.040245
2524511309,일반상가,월세,1/4,100,"1,000",115,115,북향,20250508,"['25년이상', '1층', '총4층', '북향']",37.585538,127.03933
2524337713,일반상가,월세,1/1,65,"2,000",33,33,북서향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.584782,127.031642
2524520493,일반상가,월세,1/5,240,"3,000",114,95,북향,20250508,"['25년이상', '융자금적은', '1층', '관리비10만원이하']",37.58254,127.031258
2524573731,일반상가,월세,1/4,45,500,30,23,동향,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.584374,127.035148
2524571598,일반상가,월세,1/1,50,500,39,23,북향,20250508,"['25년이상', '역세권', '1층', '현관보안']",37.587169,127.033879
2524574206,일반상가,월세,1/6,150,"2,000",76,76,동향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.591052,127.038275
2524406174,일반상가,월세,1/4,130,"3,000",50,50,북향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.586109,127.033586
2524498623,일반상가,월세,1/3,60,"1,000",33,33,남서향,20250508,"['25년이상', '역세권', '1층', '총3층']",37.58183,127.042135
