articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524646615,일반상가,월세,2/5,200,"2,000",135,83,남서향,20250509,"['25년이상', '역세권', '중층', '주차가능']",37.583558,127.048676
2524645457,복합상가,월세,1/5,100,"2,000",71,46,남동향,20250509,"['25년이상', '융자금없는', '역세권', '1층']",37.582147,127.047124
2524602818,일반상가,매매,1/1,,38억,74,74,남동향,20250509,"['25년이상', '역세권', '1층', '남동향']",37.5814,127.046459
2524400681,복합상가,매매,2/5,,7억,53,51,북서향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.582147,127.047124
2524338704,일반상가,월세,B1/3,70,"1,000",39,39,남향,20250508,"['10년이내', '융자금없는', '지하층', '관리비10만원이하']",37.59014,127.047632
2524474029,일반상가,월세,1/4,120,"2,000",46,46,,20250508,"['25년이상', '1층', '주차가능', '총4층']",37.585308,127.050387
2524489925,단지내상가,월세,B1/20,200,"2,000",98,52,남동향,20250508,"['4년이내', '역세권', '지하층', '주차가능']",37.583058,127.048249
2524460803,단지내상가,월세,1/20,300,"5,000",56,29,남동향,20250508,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.583058,127.048249
2524363303,일반상가,월세,1/1,60,500,21,21,북향,20250508,"['25년이내', '1층', '북향']",37.584588,127.05024
2524577377,일반상가,매매,1/1,,38억,100,74,남동향,20250508,"['25년이상', '역세권', '1층', '남동향']",37.5814,127.046459
2524473024,일반상가,월세,B1/3,40,"1,000",68,68,북향,20250508,"['25년이상', '지하층', '총3층', '북향']",37.586334,127.050054
2524491865,일반상가,월세,1/4,65,800,69,69,동향,20250508,"['25년이상', '1층', '총4층', '동향']",37.585597,127.047427
2524337105,일반상가,월세,2/3,90,"1,000",84,84,남향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.581904,127.044053
2524338116,일반상가,월세,2/4,110,"1,100",26,26,남동향,20250508,"['25년이상', '융자금없는', '역세권', '중층']",37.581109,127.046105
2524084552,일반상가,월세,1/4,"2,900","3억 5,000",650,650,남동향,20250507,"['25년이상', '역세권', '1층', '주차가능']",37.580066,127.043873
2523843958,일반상가,월세,1/5,70,"1,000",49,49,동향,20250507,"['25년이상', '1층', '관리비20만원이하', '주차가능']",37.584222,127.049071
2524071965,복합상가,월세,3/6,300,"3,000",654,343,남동향,20250507,"['25년이내', '중층', '주차가능', '남동향']",37.583747,127.048427
2524179501,일반상가,월세,1/4,120,"1,800",50,50,북향,20250507,"['25년이상', '융자금없는', '1층', '총4층']",37.586581,127.042631
2523818599,일반상가,월세,1/5,150,"3,000",63,63,남동향,20250507,"['2년이내', '융자금적은', '1층', '관리비10만원이하']",37.586254,127.051402
2524141187,일반상가,월세,2/2,200,"2,000",64,64,남향,20250507,"['25년이상', '융자금없는', '테라스', '역세권']",37.58363,127.044969
2524138264,복합상가,월세,3/5,60,"1,000",49,48,남동향,20250507,"['25년이상', '융자금없는', '역세권', '중층']",37.582147,127.047124
2524100043,단지내상가,월세,1/20,120,"1,000",113,19,남동향,20250507,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.583058,127.048249
2524100587,단지내상가,월세,1/20,130,"1,000",97,26,북서향,20250507,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.583058,127.048249
2523840020,일반상가,월세,1/1,70,"2,000",25,24,남향,20250507,"['25년이상', '융자금없는', '1층', '남향']",37.584462,127.050243
2523835687,일반상가,월세,1/1,180,"1,500",62,62,남서향,20250507,"['25년이상', '융자금없는', '역세권', '1층']",37.580602,127.043658
2524127882,단지내상가,월세,B1/3,50,"1,000",72,64,동향,20250507,"['25년이상', '지하층', '관리비20만원이하', '주차가능']",37.588008,127.049227
2523872052,일반상가,월세,2/4,90,"2,000",72,72,북향,20250505,"['25년이상', '중층', '총4층', '북향']",37.583829,127.04906
2523873008,단지내상가,월세,2/20,140,"2,000",59,30,남동향,20250505,"['4년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.583058,127.048249
2523874557,단지내상가,월세,3/20,95,"2,000",49,25,남동향,20250505,"['4년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.583058,127.048249
2523874222,단지내상가,월세,1/20,200,"3,000",78,40,북동향,20250505,"['4년이내', '융자금없는', '역세권', '1층']",37.583058,127.048249
2523872846,단지내상가,월세,2/20,120,"2,000",54,28,남동향,20250505,"['4년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.583058,127.048249
2523783408,단지내상가,월세,3/4,100,"1,000",49,25,남동향,20250503,"['4년이내', '역세권', '고층', '주차가능']",37.583058,127.048249
2523790986,단지내상가,월세,1/20,150,"2,000",49,32,서향,20250503,"['4년이내', '융자금없는', '역세권', '1층']",37.583058,127.048249
2523535542,단지내상가,월세,1/20,150,"2,000",72,37,남동향,20250502,"['4년이내', '융자금없는', '역세권', '1층']",37.583058,127.048249
2523240844,일반상가,월세,B1/6,170,"2,000",130,116,남서향,20250502,"['15년이내', '융자금없는', '지하층', '관리비10만원이하']",37.586687,127.049932
2523492730,일반상가,월세,1/3,80,"2,000",60,52,동향,20250502,"['25년이상', '1층', '총3층', '동향']",37.589597,127.042411
2523281535,일반상가,월세,1/1,60,"1,000",27,20,서향,20250501,"['25년이상', '융자금없는', '1층', '서향']",37.587085,127.042124
2523087321,단지내상가,월세,1/20,250,"5,000",29,29,남향,20250430,"['4년이내', '역세권', '1층', '관리비20만원이하']",37.583058,127.048249
2523088004,일반상가,월세,4/6,200,"3,000",120,120,남동향,20250430,"['25년이상', '역세권', '중층', '관리비10만원이하']",37.583899,127.049475
2522790539,단지내상가,월세,2/20,150,"3,000",59,31,남동향,20250429,"['4년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.583058,127.048249
2522836857,일반상가,월세,1/5,57,"1,000",25,25,북동향,20250429,"['25년이상', '1층', '관리비10만원이하', '주차가능']",37.585208,127.050614
2522873390,복합상가,월세,5/5,30,500,34,33,남동향,20250429,"['25년이상', '융자금없는', '역세권', '고층']",37.582147,127.047124
2522874320,복합상가,매매,4/5,,"6억 9,000",35,32,남동향,20250429,"['25년이상', '역세권', '고층', '관리비20만원이하']",37.582147,127.047124
2522835266,일반상가,월세,2/20,200,"3,000",69,36,남서향,20250429,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.583058,127.048249
2522789639,단지내상가,월세,2/20,150,"3,000",77,40,남동향,20250429,"['4년이내', '역세권', '지상층(1층제외)', '관리비20만원이하']",37.583058,127.048249
2522636255,단지내상가,매매,2/20,,"6억 4,000",70,36,동향,20250428,"['4년이내', '역세권', '급매', '지상층(1층제외)']",37.583058,127.048249
2522562939,단지내상가,월세,B1/20,95,"2,000",72,37,남동향,20250428,"['4년이내', '역세권', '지하층', '관리비20만원이하']",37.583058,127.048249
2522709411,단지내상가,월세,3/20,150,"2,000",70,36,남동향,20250428,"['4년이내', '융자금없는', '역세권', '지상층(1층제외)']",37.583058,127.048249
2522670526,일반상가,월세,1/4,"2,700","3억 5,000",501,501,남향,20250428,"['25년이상', '역세권', '1층', '주차가능']",37.580066,127.043873
