articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524632141,일반상가,월세,1/14,284,"4,000",55,55,남동향,20250509,"['15년이내', '역세권', '1층', '주차가능']",37.590847,127.056063
2524631432,일반상가,월세,B1/4,150,"2,000",65,65,동향,20250509,"['25년이상', '지하층', '총4층', '동향']",37.591652,127.052913
2524631536,일반상가,월세,1/4,120,"2,000",30,30,서향,20250509,"['25년이상', '융자금없는', '1층', '관리비10만원이하']",37.591236,127.051435
2524632021,일반상가,월세,2/14,400,"6,000",430,225,남동향,20250509,"['15년이내', '역세권', '지상층(1층제외)', '주차가능']",37.590847,127.056063
2524631477,일반상가,월세,B1/4,50,"1,000",39,39,북향,20250509,"['25년이상', '융자금적은', '지하층', '총4층']",37.59127,127.051303
2524632952,일반상가,월세,1/4,180,"5,000",52,52,서향,20250509,"['10년이내', '융자금적은', '1층', '관리비10만원이하']",37.592102,127.051552
2524633745,일반상가,월세,2/3,250,"3,000",118,118,동향,20250509,"['25년이상', '중층', '총3층', '동향']",37.592064,127.052776
2524631576,일반상가,월세,1/4,100,"1,000",33,33,북서향,20250509,"['10년이내', '융자금적은', '1층', '총4층']",37.5933,127.055286
2524632772,일반상가,월세,B1/5,150,"3,000",192,192,북향,20250509,"['25년이상', '지하층', '천장에어컨', '총5층']",37.59268,127.051274
2524368790,일반상가,월세,1/4,130,"3,000",65,65,북서향,20250508,"['25년이상', '1층', '총4층', '북서향']",37.591176,127.05281
2524372008,일반상가,월세,1/4,160,"4,000",49,49,남향,20250508,"['25년이상', '1층', '총4층', '남향']",37.592503,127.053532
2524501500,일반상가,월세,2/5,380,"3,000",140,140,남서향,20250508,"['10년이내', '중층', '주차가능', '총5층']",37.59194,127.051509
2524341107,일반상가,월세,1/5,100,"1,000",18,18,북동향,20250508,"['25년이상', '융자금없는', '역세권', '1층']",37.591405,127.055479
2524439584,일반상가,월세,1/3,300,"5,000",40,40,남동향,20250508,"['25년이상', '1층', '총3층', '남동향']",37.591719,127.05261
2524426311,일반상가,월세,1/4,220,"5,000",85,80,서향,20250508,"['10년이내', '융자금없는', '1층', '총4층']",37.592023,127.05153
2524422486,일반상가,월세,1/3,600,"1억 3,000",99,99,동향,20250508,"['25년이상', '1층', '총3층', '동향']",37.592523,127.052297
2523882502,일반상가,월세,B1/4,80,"1,000",89,89,남향,20250507,"['25년이상', '지하층', '관리비10만원이하', '주차가능']",37.591631,127.050083
2524031493,일반상가,월세,1/3,140,"1,500",41,41,남서향,20250507,"['2년이내', '1층', '총3층', '남서향']",37.59328,127.053334
2524031132,일반상가,월세,1/2,220,"4,000",72,72,서향,20250507,"['25년이상', '1층', '총2층', '서향']",37.592502,127.051657
